activity_label,activity_id_original,activity_name
0,1,Right arm swipe to the left
1,2,Right arm swipe to the right
2,3,Right hand wave
3,4,Two hand front clap
4,5,Right arm throw
5,6,Cross arms in the chest
6,7,Basketball shoot
7,8,Right hand draw X
8,9,Right hand draw circle clockwise
9,10,Right hand draw circle counter clockwise
10,11,Draw triangle
11,12,Bowling (right hand)
12,13,Front boxing
13,14,Baseball swing from right
14,15,Tennis right hand forehand swing
15,16,Arm curl (two arms)
16,17,Tennis serve
17,18,Two hand push
18,19,Right hand knock on door
19,20,Right hand catch an object
20,21,Right hand pick up and throw
21,22,Jogging in place
22,23,Walking in place
23,24,Sit to stand
24,25,Stand to sit
25,26,Forward lunge (left foot forward)
26,27,Squat (two arms stretch out)
