ID,Name,Precision,Recall,F1,Correct,Status
1,Gesture 1,100.0%,100.0%,100.0%,4/4,✓ GOOD
2,Gesture 2,100.0%,100.0%,100.0%,1/1,✓ GOOD
3,Gesture 3,0.0%,0.0%,0.0%,0/0,❌ PROBLEMATIC
4,Gesture 4,100.0%,100.0%,100.0%,3/3,✓ GOOD
5,Gesture 5,0.0%,0.0%,0.0%,0/0,❌ PROBLEMATIC
6,Gesture 6,100.0%,100.0%,100.0%,2/2,✓ GOOD
7,Gesture 7,100.0%,100.0%,100.0%,3/3,✓ GOOD
8,Gesture 8,100.0%,100.0%,100.0%,3/3,✓ GOOD
9,Gesture 9,100.0%,100.0%,100.0%,4/4,✓ GOOD
10,Gesture 10,100.0%,100.0%,100.0%,2/2,✓ GOOD
11,Gesture 11,100.0%,100.0%,100.0%,1/1,✓ GOOD
