Index,Label,Description
1079,1,Up
1086,1,Up
1104,1,Up
1096,1,Up
1105,1,Up
1095,1,Up
1110,1,Up
870,1,Up
1085,1,Up
1069,1,Up
831,2,Down
1130,2,Down
23,2,Down
18,2,Down
88,2,Down
910,2,Down
14,2,Down
26,2,Down
1067,2,Down
2,2,Down
891,3,Left
1102,3,Left
859,3,Left
845,3,Left
872,3,Left
853,3,Left
878,3,Left
1097,3,Left
1128,3,Left
869,3,Left
819,4,Right
879,4,Right
826,4,Right
1155,4,Right
920,4,Right
823,4,Right
926,4,Right
1048,4,Right
1044,4,Right
817,4,Right
1083,5,CW Rotation
1080,5,CW Rotation
560,5,CW Rotation
504,5,CW Rotation
540,5,CW Rotation
537,5,CW Rotation
682,5,CW Rotation
513,5,CW Rotation
512,5,CW Rotation
520,5,CW Rotation
595,6,CCW Rotation
606,6,CCW Rotation
1054,6,CCW Rotation
34,6,CCW Rotation
586,6,CCW Rotation
695,6,CCW Rotation
594,6,CCW Rotation
688,6,CCW Rotation
12,6,CCW Rotation
587,6,CCW Rotation
610,7,Up Jerk
975,7,Up Jerk
634,7,Up Jerk
97,7,Up Jerk
31,7,Up Jerk
79,7,Up Jerk
989,7,Up Jerk
969,7,Up Jerk
40,7,Up Jerk
605,7,Up Jerk
478,8,Down Jerk
214,8,Down Jerk
125,8,Down Jerk
222,8,Down Jerk
565,8,Down Jerk
542,8,Down Jerk
237,8,Down Jerk
1138,8,Down Jerk
207,8,Down Jerk
567,8,Down Jerk
382,9,Left Jerk
381,9,Left Jerk
73,9,Left Jerk
426,9,Left Jerk
430,9,Left Jerk
420,9,Left Jerk
427,9,Left Jerk
414,9,Left Jerk
83,9,Left Jerk
431,9,Left Jerk
1162,10,Right Jerk
1135,10,Right Jerk
1152,10,Right Jerk
1151,10,Right Jerk
1066,10,Right Jerk
1131,10,Right Jerk
1142,10,Right Jerk
1065,10,Right Jerk
1136,10,Right Jerk
1159,10,Right Jerk
980,11,Square
772,11,Square
1008,11,Square
890,11,Square
902,11,Square
864,11,Square
1122,11,Square
897,11,Square
80,11,Square
882,11,Square
227,12,Circle
908,12,Circle
135,12,Circle
219,12,Circle
136,12,Circle
210,12,Circle
811,12,Circle
234,12,Circle
788,12,Circle
787,12,Circle
