class,rec_old,rec_new,rec_delta,prec_old,prec_new,f1_old,f1_new
0,0.9999999999999166,0.9999999999999166,0.0,1.0,1.0,1.0,1.0
1,0.0,0.9999999999998334,0.9999999999998334,0.0,1.0,0.0,1.0
2,0.9999999999999166,0.9999999999999445,2.786659791809143e-14,1.0,0.75,1.0,0.8571428571428571
3,0.9999999999999166,0.4999999999999583,-0.4999999999999583,1.0,1.0,1.0,0.6666666666666666
4,0.59999999999998,0.3999999999999867,-0.1999999999999933,1.0,1.0,0.75,0.5714285714285714
5,0.9999999999998334,0.9999999999998334,0.0,1.0,0.25,1.0,0.4
6,0.9999999999998334,0.9999999999998334,0.0,0.5,1.0,0.6666666666666666,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.9999999999999584,0.0,-0.9999999999999584,1.0,0.0,1.0,0.0
9,0.9999999999999166,0.9999999999999166,0.0,0.6666666666666666,1.0,0.8,1.0
