true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,prob_class_15,prob_class_16,prob_class_17,prob_class_18,prob_class_19,correct
18.0,18,-1.319109,-0.66931957,-3.6975675,-0.53846353,-1.0007385,1.852082,-1.1881139,0.63853997,1.5792387,1.1086863,-2.512121,2.8295865,-1.1773629,0.16047302,-2.385889,-2.2312963,-0.78899455,2.401217,13.352557,3.672456,1
18.0,18,-1.3188144,-0.66966844,-3.6982026,-0.5379921,-1.0007695,1.8525028,-1.1868572,0.64100546,1.575994,1.1077533,-2.5120263,2.8294647,-1.1763132,0.1609212,-2.3856957,-2.2318082,-0.789014,2.4019723,13.351474,3.672188,1
18.0,18,-1.3186707,-0.6694027,-3.6981187,-0.53794783,-1.0000536,1.8526299,-1.1866125,0.64151984,1.5756084,1.106993,-2.5120027,2.829306,-1.1775835,0.16049133,-2.38567,-2.2315304,-0.7884457,2.4025958,13.351418,3.671888,1
18.0,18,-1.3186822,-0.6693824,-3.698094,-0.53796506,-1.0000414,1.8526174,-1.1866564,0.64144063,1.575731,1.1070154,-2.5120049,2.8293078,-1.1776506,0.16046856,-2.3856769,-2.2315075,-0.78843606,2.4025764,13.351455,3.6718876,1
18.0,18,-1.3186865,-0.66942763,-3.6981258,-0.5379546,-1.0000902,1.8526448,-1.186605,0.64149714,1.5756065,1.1070368,-2.5120096,2.829293,-1.1775113,0.16052078,-2.3856587,-2.231527,-0.7884931,2.402527,13.351422,3.6719477,1
18.0,18,-1.318702,-0.6694963,-3.6981435,-0.53795785,-1.000192,1.8526484,-1.1866169,0.6413979,1.5755906,1.1071506,-2.512029,2.8293114,-1.1772864,0.16057731,-2.385649,-2.23154,-0.7885731,2.402414,13.351423,3.6720557,1
0.0,0,12.598425,3.786179,1.0343319,-1.9369152,-3.2868874,-1.9613959,0.9924451,-3.0686023,-1.4204364,0.59954715,-1.7139953,-1.6491376,3.9984584,-1.4001514,-1.9607295,-2.4254959,-0.7698144,-1.6844641,-0.38227865,-3.0641174,1
0.0,0,12.598861,3.7875395,1.0349382,-1.9375311,-3.2855694,-1.9620574,0.99064183,-3.0690408,-1.4175129,0.59784955,-1.7141393,-1.6493024,3.9970732,-1.4029815,-1.9611303,-2.4252806,-0.7688723,-1.6840408,-0.37951502,-3.0631156,1
0.0,0,12.598702,3.7874353,1.0349073,-1.9373652,-3.2860289,-1.9617225,0.9905981,-3.068947,-1.4173979,0.5983154,-1.7144384,-1.6495506,3.9974482,-1.402854,-1.9611589,-2.4254518,-0.7692118,-1.6841469,-0.379158,-3.062886,1
0.0,0,12.598703,3.7873697,1.0348846,-1.9373316,-3.2860072,-1.9617709,0.99069023,-3.0689662,-1.4176252,0.5982649,-1.7143595,-1.6494552,3.9975295,-1.4026654,-1.9610907,-2.4254205,-0.7691997,-1.6841729,-0.37946558,-3.063013,1
0.0,0,12.598755,3.7873962,1.034897,-1.9373835,-3.2858527,-1.961884,0.9907141,-3.0689979,-1.4176779,0.5981081,-1.714255,-1.6493698,3.997409,-1.4026997,-1.9610778,-2.4253633,-0.76908225,-1.6841389,-0.379606,-3.0630956,1
0.0,0,12.598804,3.7874336,1.0349069,-1.937428,-3.2857099,-1.9619836,0.99070287,-3.0690327,-1.4176662,0.5979509,-1.7141759,-1.6493009,3.9973063,-1.4027728,-1.9610738,-2.425309,-0.7689759,-1.6841111,-0.37966198,-3.063143,1
2.0,2,-2.3915708,-2.0414443,9.780057,-0.81940144,0.062113866,-3.1716397,1.374538,-1.3433914,-0.034116957,2.276598,-0.26929012,-2.8415036,-0.3604006,-2.39902,0.5122481,1.2401068,-0.18984157,-2.9928355,-1.9050944,8.311717,1
2.0,2,-2.3915763,-2.0414338,9.7800255,-0.81940985,0.062086344,-3.1716356,1.3745208,-1.3433926,-0.03411934,2.2766328,-0.26929513,-2.841504,-0.3604322,-2.3990343,0.51224506,1.24013,-0.18984918,-2.9928236,-1.9050949,8.311748,1
2.0,2,-2.3915708,-2.0414362,9.780031,-0.8194174,0.06209542,-3.1716282,1.3745183,-1.3434038,-0.0341208,2.2766454,-0.26929912,-2.8415,-0.360433,-2.3990417,0.5122457,1.2401398,-0.1898438,-2.9928155,-1.9051144,8.311728,1
2.0,2,-2.3915708,-2.041435,9.78004,-0.8194158,0.06209588,-3.1716285,1.3745204,-1.3434039,-0.034120116,2.2766438,-0.2692978,-2.8414996,-0.3604279,-2.3990378,0.5122463,1.240136,-0.18984435,-2.9928186,-1.9051224,8.311715,1
2.0,2,-2.3915722,-2.0414367,9.780039,-0.81941354,0.062091887,-3.1716304,1.3745223,-1.3433996,-0.034120668,2.2766428,-0.26929677,-2.8415008,-0.3604269,-2.399035,0.5122452,1.240132,-0.18984637,-2.9928203,-1.9051149,8.311722,1
2.0,2,-2.39157,-2.041435,9.78005,-0.8194134,0.062089503,-3.1716294,1.3745252,-1.3434006,-0.034118656,2.2766504,-0.2692951,-2.8415,-0.3604209,-2.3990307,0.5122427,1.2401276,-0.18984768,-2.9928215,-1.905127,8.311698,1
9.0,2,-1.2421296,-1.9051037,9.788077,-1.9978663,-1.9474725,-2.1009386,1.5845548,-1.2311468,0.55554515,6.3870597,-0.7173006,-2.5521448,-0.9351033,-3.704551,-1.8240924,0.6518435,-0.3471307,-2.201333,-0.7195172,5.9440374,0
9.0,2,-1.2421249,-1.9051018,9.788083,-1.9978689,-1.9474746,-2.1009371,1.5845572,-1.2311479,0.55554825,6.387067,-0.71730053,-2.552143,-0.93509656,-3.7045443,-1.8240967,0.6518393,-0.3471308,-2.2013335,-0.7195271,5.944008,0
9.0,2,-1.2421235,-1.905101,9.788089,-1.9978701,-1.9474761,-2.1009367,1.584557,-1.2311487,0.5555498,6.387071,-0.71730155,-2.5521424,-0.9350949,-3.704543,-1.824099,0.6518379,-0.34713107,-2.2013326,-0.7195308,5.943996,0
9.0,2,-1.2421252,-1.9051006,9.788091,-1.9978685,-1.9474747,-2.1009378,1.5845575,-1.2311493,0.5555503,6.3870645,-0.7172998,-2.5521426,-0.9350955,-3.7045429,-1.8240973,0.6518381,-0.3471303,-2.2013323,-0.71952975,5.944001,0
9.0,2,-1.2421257,-1.9051024,9.788083,-1.9978681,-1.947475,-2.1009376,1.5845566,-1.2311475,0.55554813,6.387067,-0.7173005,-2.5521433,-0.93509746,-3.7045457,-1.8240967,0.6518393,-0.34713048,-2.201333,-0.71952546,5.94401,0
9.0,2,-1.2421259,-1.9051011,9.78809,-1.9978677,-1.9474732,-2.1009388,1.5845565,-1.2311492,0.55554855,6.387062,-0.71729916,-2.5521424,-0.9350963,-3.704543,-1.8240962,0.65183896,-0.34712952,-2.2013335,-0.71952826,5.9440074,0
8.0,8,-0.99836135,-1.3984993,0.746424,-3.011694,-3.0255513,-2.8504982,-3.7511284,-4.331749,11.69467,9.438151,-0.6560226,-1.4223225,0.2955504,-2.2224436,-3.069457,-0.46106178,-0.9471978,-0.030727485,1.7265246,-0.4356957,1
8.0,8,-1.0056878,-1.3998317,0.752331,-3.0110452,-3.0225263,-2.853733,-3.7510736,-4.3289447,11.7048,9.427351,-0.6537518,-1.4215522,0.28969523,-2.222212,-3.0708246,-0.46383423,-0.9398527,-0.02970978,1.7345684,-0.43541798,1
8.0,8,-1.009739,-1.4019021,0.7547413,-3.0102983,-3.0209205,-2.8548505,-3.7509212,-4.3279047,11.708835,9.423115,-0.65271527,-1.4207921,0.28706926,-2.2231221,-3.0717862,-0.4647833,-0.93624973,-0.029092917,1.7384899,-0.4339314,1
8.0,8,-1.0090437,-1.4015015,0.7542955,-3.0103645,-3.021185,-2.8547812,-3.7510426,-4.328044,11.708232,9.423696,-0.65287995,-1.4209279,0.28738415,-2.2230895,-3.0715022,-0.4645936,-0.9368603,-0.029282408,1.7378905,-0.43387946,1
8.0,8,-1.0081137,-1.4009095,0.7537263,-3.0105522,-3.0215762,-2.854598,-3.7511473,-4.3282332,11.707352,9.4246,-0.6531025,-1.421127,0.2878225,-2.222861,-3.071196,-0.46434224,-0.9377059,-0.029445307,1.7370367,-0.43412554,1
8.0,8,-1.00719,-1.4004309,0.75306785,-3.0107865,-3.022032,-2.8542445,-3.7511985,-4.3284836,11.7061825,9.425875,-0.65334976,-1.4212872,0.2882712,-2.2226074,-3.0709832,-0.4639945,-0.93862534,-0.029481368,1.7360734,-0.43446755,1
