true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,correct
11.0,11,-0.49158135,-1.8968265,1.6479456,-1.1039301,-1.2791638,0.09774379,-0.16809781,-1.0324773,-1.8209076,-0.90392005,1.6315881,9.25104,1
11.0,11,-0.49158117,-1.8968258,1.6479478,-1.103929,-1.2791643,0.097744,-0.16809955,-1.032477,-1.8209082,-0.90391964,1.6315861,9.25104,1
11.0,11,-0.49158135,-1.8968265,1.6479454,-1.10393,-1.279164,0.097744405,-0.16809802,-1.0324769,-1.8209074,-0.90392005,1.6315876,9.25104,1
11.0,11,-0.4915813,-1.8968263,1.6479465,-1.103929,-1.2791632,0.09774422,-0.1680989,-1.0324769,-1.8209075,-0.90391976,1.6315869,9.251041,1
11.0,11,-0.49158135,-1.8968267,1.6479465,-1.1039298,-1.2791642,0.09774452,-0.1680984,-1.0324765,-1.8209074,-0.90392023,1.6315871,9.25104,1
11.0,11,-0.4915811,-1.8968265,1.647948,-1.1039289,-1.2791654,0.09774405,-0.16809876,-1.0324769,-1.820908,-0.9039203,1.6315869,9.2510395,1
5.0,5,-1.8169361,0.70191765,-1.4861044,-0.102080815,0.09688617,8.237576,0.9801222,-0.15126327,0.40415546,-2.5851095,-1.4934027,-1.0405483,1
5.0,5,-1.8135843,0.6990294,-1.4822649,-0.097439125,0.1052831,8.240426,0.9772206,-0.15695086,0.4051313,-2.5860875,-1.5003197,-1.0399785,1
5.0,5,-1.8139967,0.6986501,-1.483124,-0.09785198,0.10517162,8.240321,0.977421,-0.15677522,0.40601897,-2.5855076,-1.4992138,-1.0408822,1
5.0,5,-1.8128775,0.69872624,-1.4814199,-0.0964136,0.10077852,8.239768,0.97851664,-0.1558751,0.40337977,-2.5888429,-1.4954367,-1.039658,1
5.0,5,-1.815842,0.70176613,-1.4852875,-0.100273125,0.09842682,8.237025,0.9798307,-0.15303566,0.407365,-2.5842855,-1.4997298,-1.0420172,1
5.0,5,-1.8150676,0.6997302,-1.4841319,-0.09943037,0.10062149,8.239263,0.9788325,-0.1541612,0.40426084,-2.5863113,-1.4944152,-1.0404412,1
2.0,2,1.6832017,-0.29890865,8.931775,-0.05626043,-1.5823976,0.70859647,-2.3548849,-0.76916206,-1.7199655,-0.26837522,-2.0686538,1.0844702,1
2.0,2,1.6832035,-0.2989115,8.931775,-0.056267515,-1.5823963,0.70859724,-2.3548863,-0.7691591,-1.7199643,-0.2683716,-2.0686529,1.084471,1
2.0,2,1.6832014,-0.29891092,8.931775,-0.05627124,-1.5823956,0.70859855,-2.3548863,-0.7691575,-1.719967,-0.2683702,-2.0686536,1.0844756,1
2.0,2,1.6832012,-0.29891077,8.931776,-0.05626811,-1.582395,0.7085984,-2.354886,-0.76915807,-1.7199663,-0.26837108,-2.0686545,1.0844743,1
2.0,2,1.683202,-0.29891032,8.931776,-0.056267798,-1.582397,0.70859665,-2.3548853,-0.76915884,-1.7199651,-0.2683715,-2.0686533,1.0844716,1
2.0,2,1.6832014,-0.29890937,8.931777,-0.05626878,-1.5823965,0.7085951,-2.3548844,-0.76915824,-1.719967,-0.26837048,-2.0686538,1.0844735,1
11.0,11,0.16251142,-1.4541118,1.1845925,-2.675186,-1.2893915,-0.973858,1.3442769,-0.34235403,-1.521887,0.62141544,-0.85423946,9.0791,1
11.0,11,0.1625068,-1.4541132,1.1845984,-2.6751869,-1.2893872,-0.9738571,1.3442544,-0.34235036,-1.5218796,0.6214265,-0.8542446,9.079102,1
11.0,11,0.16250294,-1.4541137,1.1845995,-2.675189,-1.2893862,-0.9738575,1.3442473,-0.34234846,-1.5218797,0.6214361,-0.8542435,9.079102,1
11.0,11,0.16250119,-1.4541142,1.1846039,-2.67519,-1.2893841,-0.9738559,1.3442359,-0.3423455,-1.5218792,0.6214399,-0.8542457,9.079108,1
11.0,11,0.16250457,-1.4541132,1.1845973,-2.6751895,-1.2893873,-0.973858,1.3442537,-0.34234935,-1.5218819,0.62143284,-0.8542426,9.0791025,1
11.0,11,0.16251469,-1.4541118,1.1845872,-2.6751838,-1.2893932,-0.9738586,1.344287,-0.3423573,-1.5218847,0.62140703,-0.85423964,9.079097,1
