true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,correct
2.0,2,0.21308592,-0.4387053,10.205059,2.2743547,-3.213897,-0.26489738,-1.5279331,-2.13488,-1.0984621,1.8599333,-0.149362,0.47576523,-1.4185747,-2.619116,0.877487,1
2.0,2,0.21309161,-0.43872282,10.205061,2.274345,-3.2138982,-0.26490125,-1.5279375,-2.134873,-1.0984651,1.8599387,-0.14935057,0.47575444,-1.418571,-2.6190994,0.8774831,1
2.0,2,0.21308619,-0.43871275,10.205059,2.2743716,-3.213896,-0.26489735,-1.5279318,-2.134883,-1.0984575,1.8599256,-0.14935675,0.47574443,-1.4185865,-2.619103,0.87748146,1
2.0,2,0.21307942,-0.438737,10.205037,2.274588,-3.2139103,-0.26487586,-1.5278918,-2.1349416,-1.0984285,1.8598642,-0.1493971,0.47564405,-1.4187307,-2.619051,0.87744427,1
2.0,2,0.21309054,-0.43872413,10.205059,2.2743866,-3.2139003,-0.26489714,-1.5279298,-2.1348853,-1.0984575,1.8599238,-0.14935933,0.47573483,-1.4185988,-2.6190903,0.8774761,1
2.0,2,0.21308967,-0.43872252,10.205062,2.2743485,-3.2138972,-0.26489994,-1.5279366,-2.1348734,-1.0984646,1.8599385,-0.14935003,0.4757524,-1.4185727,-2.6190999,0.87748253,1
3.0,3,0.11303325,-3.818857,-1.6146054,5.6507564,-1.781614,2.3960218,1.5151671,0.6023959,-2.9098086,-0.852239,-1.0297081,2.32107,-3.217754,1.7379899,0.59452116,1
3.0,3,0.11338387,-3.8188956,-1.6146463,5.6504583,-1.781587,2.3958786,1.5149988,0.6025201,-2.9098494,-0.8524383,-1.0297046,2.320898,-3.217981,1.7382483,0.5948393,1
3.0,3,0.11431521,-3.819418,-1.615393,5.6497364,-1.7818286,2.3952034,1.5149307,0.60286635,-2.9086578,-0.8537105,-1.0300095,2.3184795,-3.2193809,1.7396215,0.5967509,1
3.0,3,0.11244294,-3.8189366,-1.614706,5.6508646,-1.7816226,2.396348,1.515386,0.6024635,-2.9095793,-0.85216385,-1.0298833,2.3205564,-3.217932,1.738029,0.59471,1
3.0,3,0.11306248,-3.8189175,-1.6146299,5.650442,-1.7815372,2.3961062,1.5150359,0.6026007,-2.909913,-0.8522756,-1.0297396,2.3209574,-3.2179918,1.7381778,0.5948483,1
3.0,3,0.11254073,-3.8189037,-1.6146291,5.650632,-1.781567,2.3963864,1.5152194,0.60258955,-2.9098663,-0.8520922,-1.0298227,2.3210304,-3.217902,1.7379713,0.59475404,1
12.0,12,-0.092037044,-1.300388,2.7352536,-2.8827147,0.17678255,-3.4489539,-1.6683996,-0.37416026,-0.46278167,0.60302526,6.4569306,-1.5141025,6.535767,-3.0954766,1.6681111,1
12.0,12,-0.09194372,-1.3002392,2.7353365,-2.882696,0.17669868,-3.4488864,-1.6684064,-0.3741602,-0.46265554,0.60267615,6.4570208,-1.5141476,6.5356746,-3.0955105,1.6681211,1
12.0,12,-0.091928475,-1.3000895,2.7361932,-2.882364,0.17554596,-3.4488504,-1.6687675,-0.37454402,-0.46251637,0.6023812,6.4568105,-1.5137167,6.5360394,-3.0953789,1.6680273,1
12.0,12,-0.091885366,-1.3001367,2.7354562,-2.882625,0.17646056,-3.4488494,-1.6684549,-0.37422678,-0.4625436,0.6024094,6.45706,-1.5141336,6.535701,-3.0955076,1.6681323,1
12.0,12,-0.091825254,-1.3000108,2.7356687,-2.882501,0.17606103,-3.4487913,-1.6685506,-0.37434992,-0.4624511,0.6020673,6.4571195,-1.5140302,6.5357523,-3.0954936,1.6681553,1
12.0,12,-0.09204621,-1.3003983,2.735256,-2.8827128,0.17678645,-3.448957,-1.668402,-0.37416318,-0.46279526,0.6030489,6.4569287,-1.5140936,6.5357704,-3.0954714,1.6681093,1
11.0,11,0.11675884,-1.151222,-0.3630496,-0.41303042,-2.6984122,1.5893371,-0.08384288,-0.95621395,1.37947,-0.53275055,-0.09996197,8.609731,-0.46034753,-2.201008,2.7695172,1
