true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,prob_class_15,prob_class_16,prob_class_17,prob_class_18,prob_class_19,correct
18.0,18,-0.055918764,-1.7297858,-1.4965672,0.12704894,-2.028521,-3.2327,1.8731251,-2.9044623,1.8380767,-1.3887419,0.72610414,-0.9256529,-0.9134079,-0.21354374,-1.177275,-1.9117417,-0.44626683,-2.227984,12.868413,3.8279288,1
18.0,18,-0.07788374,-1.7215105,-1.5012401,0.12624362,-2.0475197,-3.2194226,1.8375717,-2.890509,1.8758289,-1.3856949,0.72233444,-0.9177123,-0.9145719,-0.21243097,-1.164512,-1.9083036,-0.47675675,-2.2287261,12.879064,3.840177,1
18.0,18,-0.28936628,-1.6686397,-1.523261,0.06558817,-2.2166896,-3.1729767,1.6134237,-2.6800323,2.1293511,-1.269952,0.7059634,-0.97220516,-0.9616742,-0.27149215,-1.0216348,-1.7763926,-0.8408245,-2.299729,13.003097,4.1848326,1
18.0,18,-0.24886312,-1.6644291,-1.5104927,0.08880927,-2.194793,-3.1830153,1.6506237,-2.7239232,2.0823274,-1.2961743,0.7003536,-0.96028143,-0.9466849,-0.25732166,-1.0415186,-1.8103082,-0.7679982,-2.2741718,12.974691,4.070243,1
18.0,18,-0.06519592,-1.7250664,-1.4968082,0.12690106,-2.037316,-3.2281861,1.8579184,-2.898689,1.8537521,-1.3864851,0.7240678,-0.9238274,-0.91355926,-0.21314171,-1.1714951,-1.9100504,-0.45932078,-2.2282403,12.872573,3.830719,1
18.0,18,-0.054687034,-1.7302997,-1.4967993,0.12709533,-2.027922,-3.2328007,1.8728397,-2.9062037,1.8387605,-1.3896773,0.7266094,-0.9246415,-0.9133264,-0.2129702,-1.1788688,-1.9127918,-0.44314438,-2.227379,12.867453,3.8260527,1
0.0,0,11.204922,9.237869,2.5376532,-0.9147657,-3.3614478,-0.25400263,-1.0340866,-2.0146046,-1.6377146,1.9921745,-2.1102586,-1.8004646,-0.87683105,-0.6097559,-4.7917333,-2.0828764,-2.0831876,-0.41436112,-3.4694445,-2.1199472,1
0.0,0,11.206127,9.236339,2.537542,-0.9146648,-3.3615706,-0.25527686,-1.0339533,-2.0142763,-1.6376663,1.9927291,-2.1098342,-1.800511,-0.8767767,-0.6095586,-4.792714,-2.0829468,-2.0829315,-0.41448042,-3.4692483,-2.1191716,1
0.0,0,11.206005,9.242007,2.5485506,-0.9098009,-3.3619392,-0.26939774,-1.0375876,-2.017629,-1.6345793,1.9887155,-2.1175928,-1.7984915,-0.8728981,-0.61415756,-4.790337,-2.078783,-2.0804794,-0.41264302,-3.4682655,-2.112666,1
0.0,0,11.204484,9.242304,2.5465767,-0.9115356,-3.3619492,-0.26526317,-1.0378743,-2.017722,-1.6341581,1.9896721,-2.1158352,-1.7991809,-0.87365574,-0.61339664,-4.7900352,-2.0796483,-2.0813344,-0.4124091,-3.469129,-2.114892,1
0.0,0,11.205802,9.236907,2.537831,-0.91456354,-3.3615253,-0.2552467,-1.0339954,-2.0144243,-1.6376811,1.9924568,-2.1101913,-1.8004372,-0.8767025,-0.6097286,-4.792369,-2.0828288,-2.082917,-0.41443214,-3.4692345,-2.1192343,1
0.0,0,11.205572,9.237078,2.537388,-0.9146254,-3.3614655,-0.2543916,-1.0337814,-2.0142918,-1.6379972,1.9923142,-2.1100523,-1.80043,-0.87688386,-0.6095825,-4.792202,-2.082939,-2.0831025,-0.41456187,-3.4692826,-2.1196396,1
2.0,2,-1.1559137,-0.12314549,12.316684,-0.08517749,-2.0701308,0.058078147,0.7300622,-1.7166106,1.3603328,1.3648776,0.57609844,-2.326198,-0.27124447,-0.41154,-4.449846,0.44696862,-1.1755165,-0.28596088,-1.7787929,-3.101897,1
2.0,2,-1.1564373,-0.123155326,12.316693,-0.08403976,-2.0705278,0.057852373,0.7303185,-1.7162484,1.3606153,1.3626513,0.5767496,-2.3259385,-0.2711582,-0.41107798,-4.449873,0.44685984,-1.1758853,-0.28561026,-1.7789472,-3.1019964,1
2.0,2,-1.1541052,-0.12329459,12.316667,-0.085365966,-2.0682182,0.056427356,0.7314934,-1.7169614,1.357811,1.3606069,0.58049774,-2.3247871,-0.27182427,-0.41474873,-4.4509797,0.4479865,-1.1748455,-0.28449157,-1.7799499,-3.0991094,1
2.0,2,-1.1566254,-0.12380269,12.316652,-0.08355327,-2.0673404,0.054742128,0.7332093,-1.7159473,1.3579532,1.3508251,0.58542615,-2.3227894,-0.2707606,-0.41367775,-4.451316,0.44723132,-1.1763744,-0.2823846,-1.7805948,-3.0979748,1
2.0,2,-1.1561743,-0.12322235,12.316663,-0.08469318,-2.070184,0.05785227,0.7302719,-1.7164499,1.360397,1.36353,0.57671785,-2.3259645,-0.27115512,-0.41137642,-4.449921,0.4468949,-1.1757066,-0.28571817,-1.7789024,-3.1018193,1
2.0,2,-1.156102,-0.12327051,12.316663,-0.08485131,-2.069922,0.057704195,0.73039156,-1.7164882,1.360207,1.3631905,0.5771152,-2.3258271,-0.27115306,-0.41159186,-4.4500046,0.44694528,-1.1756737,-0.28558284,-1.7789799,-3.1015704,1
9.0,9,0.24754079,0.4094099,6.882777,-4.072484,-2.0656357,-0.6188464,-2.2959735,-3.0415156,2.4467359,7.3532257,-2.9116707,-2.6770105,-0.9508339,0.28571105,-3.4492242,0.40031594,-0.11031554,-1.8189976,1.1666862,7.019676,1
9.0,9,0.24533464,0.40913296,6.8786783,-4.074694,-2.0669484,-0.6207375,-2.2981992,-3.0401473,2.4509454,7.355513,-2.9114819,-2.6757007,-0.9501356,0.28357548,-3.446086,0.40103665,-0.110717535,-1.8190962,1.166562,7.0228734,1
9.0,9,0.24132927,0.4162837,6.8610625,-4.071652,-2.066062,-0.6214935,-2.2977529,-3.0395174,2.4403515,7.3340383,-2.904105,-2.6726732,-0.95157284,0.2734767,-3.4382684,0.41009945,-0.11217962,-1.8137571,1.1775957,7.057184,1
9.0,9,0.24719958,0.41171715,6.8798013,-4.0707407,-2.0650208,-0.61820155,-2.2953455,-3.0420647,2.443377,7.3466268,-2.9100852,-2.676775,-0.95188755,0.28410083,-3.4485853,0.40170008,-0.11048529,-1.8178908,1.1702828,7.0276046,1
9.0,9,0.24670352,0.40976897,6.882927,-4.073597,-2.0672047,-0.6195292,-2.2973268,-3.0403926,2.4498668,7.3543177,-2.9117393,-2.6762774,-0.9503493,0.28412044,-3.4483185,0.4002744,-0.11021854,-1.818573,1.1648763,7.0194306,1
9.0,9,0.24499582,0.40837446,6.8755193,-4.074708,-2.0656393,-0.6210962,-2.2977052,-3.0408895,2.4492311,7.3555703,-2.911233,-2.6758628,-0.95029515,0.28446266,-3.445102,0.40172273,-0.11115049,-1.819716,1.1691028,7.025376,1
8.0,9,-0.68445104,-0.80300474,1.6407835,-4.676568,-3.4349089,-0.018033758,-2.1652608,-0.53892195,3.5290494,12.034955,-2.6328375,-2.3925703,-0.15117948,-1.8074262,-0.6511294,0.28693214,0.49281394,-1.8642826,-1.3646792,3.0173995,0
