true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,correct
11.0,11,-1.8362426,-2.116081,1.3426381,0.24280754,0.63345253,-1.3903841,-0.5631695,-0.7598865,-2.7209713,-0.7480923,2.4812026,8.630826,1
11.0,11,-1.8362439,-2.1160784,1.34264,0.24280721,0.6334522,-1.3903835,-0.5631722,-0.7598865,-2.72097,-0.74809253,2.4812026,8.630825,1
11.0,11,-1.836243,-2.1160803,1.3426384,0.24280712,0.6334526,-1.3903838,-0.5631699,-0.7598863,-2.7209713,-0.74809206,2.4812028,8.630826,1
11.0,11,-1.8362436,-2.11608,1.3426385,0.24280834,0.63345337,-1.3903835,-0.56317085,-0.7598872,-2.72097,-0.7480928,2.4812026,8.630825,1
11.0,11,-1.8362437,-2.1160793,1.342639,0.24280739,0.6334528,-1.3903832,-0.5631709,-0.7598858,-2.7209713,-0.74809206,2.4812016,8.630826,1
11.0,11,-1.8362435,-2.1160789,1.3426403,0.2428082,0.6334511,-1.3903846,-0.5631717,-0.75988674,-2.7209702,-0.7480924,2.4812024,8.630825,1
5.0,5,-1.6423491,1.9487672,0.257535,-0.7071445,0.2532873,8.478869,-0.36027804,-1.4287937,0.7047296,-2.0082653,-1.3661265,-1.9952096,1
5.0,5,-1.6409775,1.9452678,0.25887734,-0.7016224,0.2690762,8.482949,-0.35985264,-1.431432,0.6993359,-2.0092008,-1.3762926,-1.9921874,1
5.0,5,-1.6408294,1.9480512,0.2575694,-0.7031611,0.2675339,8.482289,-0.35903934,-1.4319087,0.699804,-2.008118,-1.3753676,-1.9941474,1
5.0,5,-1.6375253,1.9435377,0.26174235,-0.70016,0.26575884,8.481346,-0.35887307,-1.4342253,0.70024574,-2.014041,-1.3716396,-1.9921385,1
5.0,5,-1.6437759,1.9450991,0.26183715,-0.70767206,0.25287768,8.478625,-0.3632243,-1.4266843,0.70853937,-2.0044851,-1.369872,-1.9953018,1
5.0,5,-1.6400546,1.9486704,0.2575078,-0.70410794,0.2615461,8.480614,-0.35854214,-1.4321177,0.70110476,-2.0102499,-1.3699781,-1.9946312,1
2.0,2,1.0299958,0.64446026,9.168639,1.4620899,-1.1320539,0.19858542,-2.6792164,-1.3677496,-1.3833168,-0.9844085,-2.196269,0.43694708,1
2.0,2,1.029998,0.64445907,9.168641,1.4620857,-1.132054,0.19858494,-2.679217,-1.3677485,-1.3833152,-0.98440754,-2.1962667,0.4369435,1
2.0,2,1.0299964,0.6444601,9.168642,1.4620808,-1.1320541,0.19858438,-2.6792176,-1.367747,-1.3833168,-0.98440564,-2.1962671,0.43694815,1
2.0,2,1.029995,0.6444606,9.168642,1.4620829,-1.1320542,0.19858542,-2.6792178,-1.3677472,-1.3833164,-0.9844063,-2.1962667,0.43694684,1
2.0,2,1.0299969,0.6444609,9.168642,1.4620847,-1.1320541,0.19858474,-2.6792169,-1.3677485,-1.3833159,-0.98440707,-2.1962671,0.4369453,1
2.0,2,1.0299971,0.6444612,9.168642,1.4620836,-1.1320536,0.19858307,-2.6792164,-1.3677481,-1.3833166,-0.9844064,-2.1962686,0.43694702,1
11.0,11,0.30637795,-1.3052956,0.5420844,-2.319653,0.7415655,-2.3653505,1.6335258,-1.2266217,-1.5976995,1.0455991,-0.8677654,8.556548,1
11.0,11,0.30637503,-1.3052927,0.54208714,-2.3196552,0.7415689,-2.3653467,1.6335071,-1.2266234,-1.5976923,1.0456057,-0.86777025,8.556556,1
11.0,11,0.30637294,-1.3052942,0.5420788,-2.3196585,0.74156994,-2.3653514,1.6335013,-1.2266191,-1.5976955,1.0456188,-0.86776537,8.556554,1
11.0,11,0.30636954,-1.3052919,0.5420855,-2.3196588,0.7415728,-2.3653476,1.6334891,-1.2266163,-1.5976981,1.045619,-0.86776686,8.556557,1
11.0,11,0.3063739,-1.3052943,0.542079,-2.319658,0.7415699,-2.3653514,1.6335071,-1.2266186,-1.5976977,1.0456158,-0.8677653,8.556553,1
11.0,11,0.30638278,-1.3052961,0.54208267,-2.3196497,0.74156255,-2.365349,1.6335368,-1.2266282,-1.5976914,1.0455906,-0.8677692,8.556543,1
0.0,0,8.129319,-0.026695367,3.1178048,1.5504187,-1.1980581,-1.9740837,-3.3953733,-1.8349838,0.53972316,-2.22904,-1.1105148,-0.3433125,1
0.0,0,8.129316,-0.026696067,3.1178062,1.5504193,-1.1980577,-1.9740826,-3.3953733,-1.8349835,0.53972286,-2.2290409,-1.1105144,-0.3433117,1
0.0,0,8.129319,-0.02669466,3.1178045,1.550418,-1.198058,-1.9740839,-3.3953736,-1.8349832,0.53972304,-2.2290404,-1.110515,-0.34331188,1
0.0,0,8.129318,-0.026695672,3.1178062,1.5504186,-1.1980578,-1.9740832,-3.3953729,-1.8349841,0.53972286,-2.2290404,-1.1105156,-0.34331122,1
0.0,0,8.129319,-0.026695114,3.1178057,1.5504185,-1.1980582,-1.9740832,-3.3953733,-1.8349832,0.5397229,-2.2290409,-1.110515,-0.34331223,1
0.0,0,8.129319,-0.02669536,3.117805,1.5504179,-1.1980581,-1.9740837,-3.3953733,-1.8349832,0.5397228,-2.2290394,-1.1105152,-0.34331098,1
8.0,8,-1.3169127,-0.70831966,-0.869622,0.9311902,-2.4116933,-0.7819497,-2.3854542,-2.2289155,8.448748,2.1050675,0.047641966,-1.7829775,1
8.0,8,-1.3207028,-0.7192173,-0.86814165,0.97679627,-2.3717704,-0.7325512,-2.361353,-2.30958,8.462078,2.0670714,0.061473925,-1.8270766,1
8.0,8,-1.291991,-0.724803,-0.90414923,1.0330269,-2.3621092,-0.75395805,-2.2843337,-2.3921854,8.481911,2.002584,0.06879842,-1.8259705,1
8.0,8,-1.2575457,-0.7262243,-0.87253404,1.0672283,-2.3577979,-0.7320302,-2.2504222,-2.4436276,8.509196,1.9022845,0.09172253,-1.8573456,1
8.0,8,-1.3958987,-0.7191238,-0.86109096,0.91695803,-2.3540213,-0.6809417,-2.460055,-2.2232537,8.416879,2.2033165,0.031185273,-1.8159412,1
8.0,8,-1.3290161,-0.70523244,-0.85329944,0.92601454,-2.4064274,-0.7548872,-2.4184566,-2.213488,8.44293,2.111976,0.04539265,-1.7886859,1
9.0,9,-1.2217362,-1.3870637,0.7512363,-0.7888023,-2.4043713,-3.9451187,-2.1891332,0.61390406,1.4362986,7.058087,0.473988,-0.09353877,1
9.0,9,-1.6952964,-1.4904022,0.3624911,-1.0235138,-1.4031239,-3.540111,-1.4782816,0.3935444,0.9027452,7.954905,-0.08760555,-0.36446592,1
9.0,9,-1.8211396,-1.429884,0.17317271,-1.1550497,-1.3096538,-3.4564693,-1.3345946,0.58292156,0.6719726,8.089734,-0.19827047,-0.31054744,1
9.0,9,-1.7073226,-1.5461735,0.34230667,-1.0591389,-1.3130413,-3.5399413,-1.3602179,0.32966557,0.84406483,8.00058,-0.06259521,-0.37121543,1
9.0,9,-0.32584423,-1.8621871,2.3557374,0.1252985,-2.6657913,-3.9576974,-2.8795161,-0.20016591,2.356505,5.4268465,1.2645779,-0.6230617,1
9.0,9,-0.8798032,-1.4582261,1.3972803,-0.36016262,-2.6215348,-3.9718688,-2.6435874,0.36847952,1.886547,6.41064,0.68535286,-0.31010482,1
3.0,1,-2.569068,6.3209195,-0.78788036,2.9181533,-1.0211139,4.0450177,-2.1842768,-3.2312222,0.9510654,-2.2801216,-0.92385113,-2.6138816,0
3.0,1,-2.569055,6.3209176,-0.7878978,2.9181128,-1.0210918,4.0450387,-2.1843002,-3.2312193,0.95109254,-2.2800934,-0.9238411,-2.6139114,0
3.0,1,-2.5690722,6.3208857,-0.78786266,2.918202,-1.0210687,4.0450187,-2.1842885,-3.2312562,0.9510761,-2.2801068,-0.9238777,-2.6138873,0
3.0,1,-2.5691004,6.320876,-0.7878077,2.9182785,-1.0211225,4.0449786,-2.1842396,-3.2312732,0.9510137,-2.2801564,-0.9238757,-2.6138394,0
3.0,1,-2.569082,6.3208976,-0.7878466,2.9182012,-1.0211196,4.045003,-2.1842623,-3.2312438,0.9510427,-2.2801337,-0.9238548,-2.6138675,0
3.0,1,-2.56906,6.320919,-0.7878853,2.918114,-1.0211062,4.0450344,-2.1842923,-3.2312171,0.95107925,-2.2801023,-0.9238359,-2.613907,0
7.0,7,-0.43448114,-1.6835617,0.70717025,-1.6552159,-1.2668431,-0.6380596,4.927648,7.5846357,-2.224025,-1.1930726,-0.45295218,-1.9917101,1
7.0,7,-0.43415272,-1.6835028,0.70697093,-1.6550807,-1.2671494,-0.6385282,4.9293003,7.583271,-2.2232273,-1.1933737,-0.4531326,-1.9921552,1
7.0,7,-0.43246704,-1.6832756,0.7077377,-1.655956,-1.2672677,-0.6379165,4.925203,7.5860333,-2.224544,-1.1931926,-0.45301816,-1.9916271,1
7.0,7,-0.4317776,-1.6832222,0.70835876,-1.6561083,-1.2673936,-0.6378636,4.9236026,7.586876,-2.2248747,-1.1933086,-0.45282143,-1.9916669,1
7.0,7,-0.43448448,-1.6835551,0.70738345,-1.6551714,-1.2668881,-0.63805115,4.927425,7.584677,-2.2239356,-1.1931437,-0.4529345,-1.9918059,1
7.0,7,-0.43466043,-1.6836041,0.70692986,-1.6552773,-1.266834,-0.6382883,4.92818,7.584342,-2.223944,-1.1927345,-0.45295775,-1.9917165,1
8.0,8,-1.242184,-0.43419987,-3.9044256,0.09494321,-2.123798,0.8094352,-1.4525477,-2.245478,7.920081,1.0680966,2.2092443,-2.452454,1
