true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,correct
6.0,6,-2.1846533,-2.9523351,-0.5869342,-2.0304196,-1.0187817,1.225366,8.297879,1
6.0,6,-2.1853094,-2.9526658,-0.5913601,-2.031758,-1.0183744,1.23624,8.296514,1
6.0,6,-2.184485,-2.9534168,-0.58628154,-2.031779,-1.0174065,1.2261375,8.297749,1
6.0,6,-2.184826,-2.9541194,-0.587197,-2.032447,-1.0157168,1.2277548,8.297547,1
6.0,6,-2.1853356,-2.9536111,-0.589428,-2.032274,-1.0163882,1.2322326,8.296967,1
6.0,6,-2.185433,-2.953324,-0.5890357,-2.03156,-1.0163555,1.2297922,8.297284,1
1.0,1,-1.8973373,5.476405,-2.2266614,-1.107041,4.1229234,-2.0797753,-4.7684407,1
1.0,1,-1.8973371,5.476407,-2.2266614,-1.1070426,4.1229205,-2.0797746,-4.768441,1
1.0,1,-1.8973372,5.4764066,-2.2266614,-1.1070423,4.122921,-2.0797746,-4.768441,1
1.0,1,-1.8973374,5.4764066,-2.226662,-1.1070412,4.122921,-2.0797749,-4.7684417,1
1.0,1,-1.8973374,5.4764066,-2.226662,-1.1070422,4.1229224,-2.0797746,-4.768441,1
1.0,1,-1.8973377,5.476408,-2.226662,-1.1070416,4.1229196,-2.079773,-4.7684407,1
5.0,3,-3.9146938,-2.501503,-0.22903052,6.155126,0.8645639,2.205362,-2.3650265,0
5.0,3,-3.9146943,-2.5015006,-0.22903275,6.1551266,0.864564,2.2053628,-2.3650274,0
5.0,3,-3.9146943,-2.501503,-0.22903004,6.1551256,0.8645638,2.2053618,-2.3650265,0
5.0,3,-3.9146934,-2.501502,-0.22903201,6.1551266,0.8645631,2.2053638,-2.365026,0
5.0,3,-3.9146936,-2.5015016,-0.22903147,6.1551256,0.86456424,2.2053618,-2.365027,0
5.0,3,-3.914694,-2.501502,-0.22903088,6.155126,0.8645639,2.2053618,-2.3650265,0
4.0,4,-2.499729,1.1963637,-2.5007393,3.3866682,5.682978,-4.986124,-3.3345356,1
4.0,4,-2.4997284,1.1963639,-2.5007403,3.3866677,5.6829786,-4.9861245,-3.3345358,1
4.0,4,-2.499729,1.1963638,-2.5007396,3.3866677,5.6829786,-4.986124,-3.3345354,1
4.0,4,-2.499729,1.1963637,-2.5007396,3.3866682,5.682978,-4.986124,-3.3345354,1
4.0,4,-2.499729,1.1963639,-2.5007398,3.3866682,5.682978,-4.9861245,-3.3345354,1
4.0,4,-2.499729,1.1963645,-2.5007398,3.3866663,5.682979,-4.9861245,-3.3345363,1
2.0,2,0.4973771,-0.099076584,7.3189774,-3.8291614,-0.23732209,-0.8819159,-2.2622335,1
2.0,2,0.49737865,-0.09907682,7.318976,-3.829163,-0.23732153,-0.8819145,-2.2622333,1
2.0,2,0.49737853,-0.09907696,7.3189774,-3.829161,-0.23732361,-0.88191617,-2.2622337,1
2.0,2,0.49737817,-0.09907639,7.318974,-3.8291636,-0.23732197,-0.8819124,-2.262234,1
2.0,2,0.49737847,-0.099076554,7.3189745,-3.829163,-0.23732215,-0.8819144,-2.2622335,1
2.0,2,0.497378,-0.099076346,7.3189754,-3.8291626,-0.23732185,-0.8819152,-2.2622335,1
5.0,2,0.6316055,4.117641,5.480953,-4.1856027,-2.4580534,-0.7457878,-3.0114906,0
5.0,2,0.8372868,4.1310735,5.3705826,-4.27018,-2.4197154,-0.7785961,-3.0114748,0
