true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,correct
0.0,0,11.304481,-1.2821624,-0.093781,-0.45646015,-0.41324624,-0.44694528,-0.29808262,-0.6166107,-1.150524,-0.9163634,-1.213302,1
0.0,0,11.304486,-1.2821912,-0.09382248,-0.45639178,-0.41322258,-0.4469514,-0.2981025,-0.61666375,-1.150517,-0.9163373,-1.2132593,1
0.0,0,11.30446,-1.2821336,-0.09373233,-0.4563878,-0.41329733,-0.44691688,-0.2980751,-0.6166425,-1.1505334,-0.9164873,-1.213195,1
0.0,0,11.304454,-1.282222,-0.0937116,-0.45632994,-0.4132629,-0.44690847,-0.29807186,-0.6166472,-1.150536,-0.9165093,-1.2131056,1
0.0,0,11.304471,-1.2822886,-0.093807355,-0.45625216,-0.4131941,-0.4469335,-0.29811034,-0.6167192,-1.1505197,-0.91639876,-1.2130915,1
0.0,0,11.304476,-1.2821597,-0.09377017,-0.45646882,-0.41325504,-0.446942,-0.298074,-0.6166023,-1.1505245,-0.9163731,-1.2133025,1
3.0,3,4.471496,-2.2452888,-1.3064264,6.209928,-0.38401484,-0.62156373,-1.0074476,-2.5762236,0.57706195,-1.1326413,0.57121265,1
3.0,3,4.4714947,-2.2452881,-1.3064269,6.2099276,-0.38401547,-0.6215633,-1.0074471,-2.576224,0.5770619,-1.1326414,0.5712131,1
3.0,3,4.471492,-2.2452881,-1.3064268,6.2099285,-0.38401598,-0.6215638,-1.007447,-2.5762234,0.5770625,-1.1326413,0.57121384,1
3.0,3,4.4714947,-2.2452884,-1.3064264,6.209928,-0.3840149,-0.6215636,-1.0074474,-2.5762239,0.57706183,-1.1326413,0.5712129,1
3.0,3,4.471496,-2.2452886,-1.3064262,6.2099276,-0.3840154,-0.6215638,-1.0074476,-2.5762236,0.5770619,-1.1326414,0.5712129,1
3.0,3,4.471496,-2.2452888,-1.3064266,6.2099276,-0.38401487,-0.6215635,-1.0074476,-2.5762236,0.57706195,-1.132641,0.57121277,1
3.0,3,-1.5460572,-1.048743,-1.0984495,9.564918,-0.86624867,-0.7633791,-0.9372431,-1.8645285,0.4233971,-1.5197319,-0.0041226,1
3.0,3,-1.5460565,-1.048743,-1.0984495,9.564918,-0.8662484,-0.76337945,-0.9372428,-1.8645289,0.42339653,-1.5197322,-0.00412257,1
3.0,3,-1.5460553,-1.0487417,-1.0984504,9.564915,-0.8662502,-0.7633785,-0.93724257,-1.8645289,0.42339623,-1.5197322,-0.0041222125,1
3.0,3,-1.546057,-1.0487422,-1.0984497,9.564917,-0.8662493,-0.7633786,-0.93724304,-1.8645288,0.42339683,-1.519732,-0.0041226894,1
3.0,3,-1.5460575,-1.0487425,-1.0984497,9.5649185,-0.8662488,-0.76337945,-0.9372429,-1.8645284,0.4233969,-1.5197316,-0.0041224137,1
3.0,3,-1.5460572,-1.0487429,-1.0984498,9.5649185,-0.86624897,-0.763379,-0.93724304,-1.8645285,0.42339694,-1.5197319,-0.0041223615,1
3.0,3,0.52648664,-1.2031995,-1.2591391,8.725861,-0.89042294,-0.55399084,-1.1917301,-2.2482352,0.45579246,-1.5144359,0.25012085,1
3.0,3,0.5264747,-1.203187,-1.2591397,8.725857,-0.89043087,-0.5539906,-1.191725,-2.2482343,0.45578703,-1.5144376,0.2501221,1
3.0,3,0.5264561,-1.2031534,-1.2591319,8.725826,-0.89047855,-0.55397904,-1.191714,-2.2482357,0.45578292,-1.51444,0.25012162,1
3.0,3,0.52644724,-1.2031285,-1.2591354,8.725803,-0.8904972,-0.55397785,-1.1917046,-2.248237,0.45576975,-1.5144417,0.250127,1
3.0,3,0.5264737,-1.203188,-1.2591397,8.725857,-0.890431,-0.55399007,-1.1917255,-2.2482343,0.45578805,-1.5144372,0.25012225,1
3.0,3,0.5264794,-1.203195,-1.2591386,8.7258625,-0.89042866,-0.5539893,-1.1917287,-2.2482352,0.4557921,-1.5144368,0.25012097,1
1.0,4,-0.71371466,3.5420449,-3.9531524,-1.5373782,8.904485,-0.47885782,-1.4513919,-0.90235,-0.8036817,-1.7759875,-1.5446707,0
1.0,4,-0.71350956,3.5410147,-3.953025,-1.5371382,8.905304,-0.47878247,-1.4513972,-0.90221393,-0.8036384,-1.7758937,-1.5445704,0
1.0,4,-0.7135467,3.5425375,-3.953055,-1.5374237,8.904233,-0.47880185,-1.4516897,-0.902392,-0.8036222,-1.7761842,-1.5446477,0
1.0,4,-0.71350664,3.5407915,-3.9529054,-1.5371163,8.905494,-0.47892565,-1.4514651,-0.90215033,-0.803639,-1.7758758,-1.5445039,0
