true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,correct
4.0,5,-0.24517083,0.74649894,-0.9973554,-1.9487365,0.5536699,5.9480653,-0.08796691,-1.6478418,1.758821,-0.76321477,0
4.0,5,-0.2611894,0.74678236,-1.005761,-1.9445826,0.5591543,5.9476776,-0.09539529,-1.6442004,1.7704169,-0.7607121,0
4.0,5,-0.23781276,0.7518362,-0.99885505,-1.9399507,0.54250133,5.9524264,-0.08391057,-1.648686,1.7502427,-0.76559985,0
4.0,5,-0.24150869,0.74860144,-0.99947256,-1.9472436,0.5551193,5.9490886,-0.08379243,-1.6481674,1.7528656,-0.76429075,0
4.0,5,-0.26451495,0.74462825,-1.0059879,-1.9485914,0.56818163,5.9461427,-0.09643339,-1.6428356,1.7718713,-0.76083773,0
4.0,5,-0.24154985,0.74910706,-0.9968999,-1.9438387,0.54240227,5.949979,-0.08672944,-1.6492624,1.7570668,-0.76308084,0
4.0,5,-1.5972399,0.8584555,-0.8126009,-1.0510306,0.088769406,5.8001165,-1.4818819,-1.0378314,2.905471,-1.326626,0
4.0,5,-1.5880768,0.86937904,-0.85662556,-1.0352736,0.08374946,5.791387,-1.4864229,-1.0601734,2.927919,-1.3097333,0
4.0,5,-1.5741552,0.86356837,-0.7796727,-1.0505881,0.077342235,5.8206363,-1.4741523,-1.0340805,2.8692658,-1.3465207,0
4.0,5,-1.5715708,0.86762166,-0.77712417,-1.0439973,0.06673992,5.8246164,-1.4727143,-1.0340424,2.862835,-1.3484896,0
4.0,5,-1.5905583,0.8679915,-0.8517272,-1.0370239,0.08518069,5.792613,-1.485969,-1.05623,2.9248204,-1.3117174,0
4.0,5,-1.5940661,0.86117667,-0.80644953,-1.0468389,0.07860789,5.8034706,-1.4803549,-1.0381633,2.8997304,-1.3295752,0
4.0,5,-0.97563326,0.7738302,-1.2145232,-2.1990712,0.79665154,5.8212748,-0.3836988,-0.27026284,2.0697224,-1.2962253,0
4.0,5,-0.95340204,0.7874774,-1.2170967,-2.1752017,0.7734217,5.8348308,-0.40928546,-0.29803345,2.0762594,-1.296609,0
4.0,5,-0.92595875,0.7845105,-1.1741828,-2.1975164,0.7798398,5.8411374,-0.38038126,-0.28707165,2.0315492,-1.3260344,0
4.0,5,-0.91729903,0.788222,-1.1649464,-2.1944392,0.77203625,5.8469224,-0.37981611,-0.28938743,2.0225306,-1.3330506,0
