true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,correct
11.0,11,-0.7242077,-2.64099,1.0591394,-1.8737642,-1.0308911,-1.5706453,-2.0128636,-1.608922,0.2014258,0.6097079,-1.5013976,12.965885,1
11.0,11,-0.7242091,-2.6409903,1.0591398,-1.8737639,-1.0308914,-1.5706452,-2.0128636,-1.6089218,0.20142679,0.60970765,-1.5013977,12.965886,1
11.0,11,-0.7242076,-2.6409893,1.0591391,-1.8737638,-1.0308913,-1.5706455,-2.0128639,-1.6089222,0.20142536,0.60970837,-1.5013973,12.965885,1
11.0,11,-0.7242084,-2.6409898,1.0591393,-1.8737639,-1.0308908,-1.5706455,-2.0128639,-1.6089218,0.20142597,0.6097086,-1.5013976,12.965885,1
11.0,11,-0.72420824,-2.6409895,1.0591396,-1.8737642,-1.0308911,-1.5706455,-2.012864,-1.6089218,0.20142575,0.60970813,-1.5013978,12.965885,1
11.0,11,-0.7242084,-2.6409898,1.0591401,-1.8737639,-1.0308915,-1.5706451,-2.0128636,-1.6089218,0.20142622,0.6097085,-1.5013983,12.965885,1
5.0,5,-0.7691347,0.9299282,-0.93295777,-2.450375,-1.5809188,13.595134,1.2850448,-2.092785,-1.4141828,-1.6442418,-0.9876444,0.81037515,1
5.0,5,-0.7616853,0.9246965,-0.9315857,-2.450089,-1.5687608,13.598029,1.2872889,-2.097615,-1.4214908,-1.6425707,-0.9939599,0.81477517,1
5.0,5,-0.7630202,0.9254258,-0.9322094,-2.4501958,-1.5676551,13.599798,1.2853845,-2.0950153,-1.4198486,-1.6425706,-0.9927051,0.8083165,1
5.0,5,-0.76565695,0.9254302,-0.9317912,-2.4499557,-1.5712903,13.598407,1.2858635,-2.095138,-1.4158093,-1.6432426,-0.9919979,0.80838823,1
5.0,5,-0.76364744,0.9252604,-0.93348074,-2.4508576,-1.5717496,13.594582,1.2894692,-2.0991824,-1.4237255,-1.6420454,-0.9885522,0.821082,1
5.0,5,-0.76748633,0.92817086,-0.93245494,-2.4501345,-1.5748324,13.598469,1.283891,-2.092125,-1.4141802,-1.6437747,-0.99014217,0.80471927,1
2.0,2,-0.054738045,0.2221548,12.400345,-0.84847623,-2.4064922,-1.2725549,-0.86688995,-1.6505435,-1.5814397,-0.33390108,-2.5980475,-1.5604124,1
2.0,2,-0.054737225,0.22215432,12.400347,-0.8484785,-2.406493,-1.2725552,-0.8668898,-1.650543,-1.5814395,-0.3339,-2.5980473,-1.5604123,1
2.0,2,-0.054737836,0.22215515,12.400345,-0.84847885,-2.4064941,-1.2725551,-0.8668904,-1.6505435,-1.5814399,-0.33389843,-2.5980463,-1.5604124,1
2.0,2,-0.05473777,0.22215466,12.400344,-0.8484779,-2.4064946,-1.2725556,-0.8668903,-1.6505436,-1.5814396,-0.3338986,-2.5980468,-1.5604125,1
2.0,2,-0.054737836,0.22215478,12.400346,-0.8484785,-2.4064944,-1.2725551,-0.8668904,-1.6505432,-1.5814393,-0.33389932,-2.5980468,-1.5604126,1
2.0,2,-0.054738186,0.22215569,12.400345,-0.84847826,-2.4064963,-1.2725548,-0.8668906,-1.6505437,-1.5814388,-0.3338989,-2.5980473,-1.5604125,1
11.0,11,3.5608664,-1.9878881,1.2195469,-2.2057047,-0.9589474,-1.1262141,-1.2095802,-1.6561664,-1.0434098,0.50872445,-4.1906185,11.9366455,1
11.0,11,3.5608714,-1.9878857,1.2195491,-2.2057092,-0.9589474,-1.1262131,-1.2095878,-1.656167,-1.043409,0.50873315,-4.190625,11.936644,1
11.0,11,3.560858,-1.9878871,1.2195427,-2.2057092,-0.9589466,-1.126215,-1.2095873,-1.6561669,-1.043409,0.50874424,-4.190621,11.936645,1
11.0,11,3.560865,-1.9878857,1.2195463,-2.2057128,-0.9589474,-1.1262147,-1.2095922,-1.6561664,-1.0434107,0.5087508,-4.1906257,11.936639,1
11.0,11,3.560858,-1.9878871,1.2195411,-2.2057087,-0.9589467,-1.1262151,-1.209586,-1.6561658,-1.0434096,0.5087428,-4.1906204,11.936646,1
11.0,11,3.560869,-1.9878871,1.2195456,-2.205703,-0.9589472,-1.1262131,-1.2095774,-1.656166,-1.0434071,0.5087106,-4.1906176,11.936649,1
0.0,0,13.42633,0.22523282,0.720811,-1.9177678,-1.6476585,0.17915255,-3.7279668,-0.43584278,-1.6204925,-1.309073,-2.7787645,-0.6057847,1
0.0,0,13.42633,0.22523238,0.72081155,-1.917767,-1.6476591,0.17915241,-3.727967,-0.43584317,-1.6204923,-1.3090727,-2.778765,-0.60578454,1
0.0,0,13.42633,0.22523375,0.72081107,-1.9177678,-1.647659,0.17915256,-3.7279668,-0.4358424,-1.6204922,-1.3090733,-2.7787647,-0.6057848,1
0.0,0,13.4263315,0.22523375,0.72081244,-1.9177669,-1.6476591,0.17915258,-3.7279677,-0.43584374,-1.620493,-1.3090729,-2.778765,-0.60578465,1
0.0,0,13.42633,0.22523339,0.72081137,-1.9177678,-1.6476592,0.17915252,-3.7279673,-0.43584257,-1.6204922,-1.3090729,-2.778765,-0.6057849,1
0.0,0,13.42633,0.22523318,0.7208115,-1.9177678,-1.6476591,0.17915247,-3.7279675,-0.43584287,-1.6204925,-1.3090729,-2.778765,-0.6057848,1
8.0,8,-2.708162,-1.2853708,-1.2624723,-0.62897116,-3.6964426,-1.4933443,-1.2748698,-1.205155,11.880306,0.38804856,-0.107473835,-2.1639087,1
8.0,8,-2.6843143,-1.2817022,-1.2809875,-0.58854514,-3.6619532,-1.4304996,-1.3114911,-1.2391347,11.886899,0.4222259,-0.18000942,-2.1807752,1
8.0,8,-2.7024326,-1.2900132,-1.2914252,-0.609289,-3.679261,-1.4537897,-1.2851807,-1.2584953,11.881964,0.4858228,-0.19934477,-2.1782126,1
8.0,8,-2.6718984,-1.2521573,-1.274552,-0.6007732,-3.6476774,-1.4063275,-1.2656667,-1.2481359,11.895083,0.36063054,-0.20379688,-2.1899872,1
