true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,correct
11.0,11,-1.2542101,-2.041228,0.8473807,-0.98434,-0.6473148,-0.29217327,1.5819205,-0.95375186,-2.5450518,-0.8783043,3.7082772,7.1390724,1
11.0,11,-1.2542108,-2.041227,0.84738106,-0.9843391,-0.64731544,-0.29217306,1.5819181,-0.9537523,-2.545052,-0.87830406,3.7082791,7.139073,1
11.0,11,-1.2542102,-2.0412283,0.8473807,-0.9843398,-0.6473148,-0.2921726,1.5819207,-0.95375276,-2.5450516,-0.8783042,3.7082772,7.1390724,1
11.0,11,-1.2542106,-2.0412276,0.8473802,-0.9843392,-0.6473147,-0.29217297,1.5819193,-0.9537525,-2.5450523,-0.87830406,3.708278,7.1390743,1
11.0,11,-1.2542106,-2.0412278,0.8473811,-0.98433995,-0.64731485,-0.29217297,1.5819198,-0.9537521,-2.5450513,-0.8783044,3.7082767,7.139073,1
11.0,11,-1.2542108,-2.041228,0.84738064,-0.98433906,-0.64731616,-0.2921733,1.58192,-0.95375234,-2.5450513,-0.8783044,3.708278,7.1390724,1
5.0,5,-2.4843812,0.46282294,-2.1377003,-1.9217125,1.8023208,6.031517,-0.114923745,-1.2281308,-0.94180423,2.523342,-0.59525967,-1.3786833,1
5.0,5,-2.4813418,0.45985988,-2.1316075,-1.9154227,1.8121804,6.039427,-0.120984286,-1.2313336,-0.9461113,2.5129893,-0.5968696,-1.3750862,1
5.0,5,-2.4815416,0.46190694,-2.1326587,-1.9157752,1.8114542,6.037955,-0.120906726,-1.2332948,-0.94414526,2.514733,-0.5964081,-1.3777541,1
5.0,5,-2.4769363,0.4617871,-2.1335762,-1.9128795,1.8080878,6.042488,-0.1200079,-1.2321279,-0.9463518,2.5059826,-0.59294844,-1.377629,1
5.0,5,-2.485361,0.45934024,-2.1357453,-1.9229094,1.8033618,6.027606,-0.11526021,-1.2276031,-0.94134015,2.5296676,-0.59934103,-1.3768489,1
5.0,5,-2.481069,0.46362653,-2.1354668,-1.9168977,1.8067763,6.037253,-0.11841564,-1.2318981,-0.9434148,2.5145693,-0.5940243,-1.37936,1
2.0,2,2.5779786,3.2807164,6.020782,0.8675277,-2.2248716,-0.7645603,-1.4720738,-3.0921717,-1.8866044,-2.0406322,-0.88527554,0.28187737,1
2.0,2,2.577979,3.2807155,6.0207844,0.8675241,-2.2248726,-0.7645593,-1.4720744,-3.0921698,-1.886604,-2.040631,-0.8852748,0.28187767,1
2.0,2,2.5779762,3.280715,6.0207825,0.86752033,-2.2248735,-0.76455855,-1.4720742,-3.0921698,-1.8866051,-2.0406284,-0.8852736,0.28188282,1
2.0,2,2.5779767,3.2807157,6.0207834,0.8675214,-2.224872,-0.7645581,-1.4720746,-3.0921705,-1.8866044,-2.040629,-0.88527447,0.28188092,1
2.0,2,2.5779777,3.2807164,6.020784,0.86752266,-2.2248724,-0.7645601,-1.4720743,-3.0921686,-1.8866044,-2.0406296,-0.88527524,0.28187904,1
2.0,2,2.5779786,3.280717,6.0207825,0.86752254,-2.224873,-0.7645605,-1.4720727,-3.0921683,-1.8866059,-2.0406299,-0.88527477,0.2818799,1
11.0,11,-0.051272795,-0.99084973,2.9238884,-2.481711,-0.4982717,-1.4553851,3.1116924,-2.1990187,-0.4290018,1.2849343,-1.0007163,5.5381536,1
11.0,11,-0.05127032,-0.9908477,2.923895,-2.4817166,-0.49826872,-1.4553869,3.1116755,-2.1990218,-0.42899606,1.284946,-1.0007231,5.5381536,1
11.0,11,-0.0512733,-0.99084496,2.9238925,-2.4817235,-0.4982689,-1.455388,3.1116657,-2.1990213,-0.42899767,1.2849568,-1.0007212,5.5381546,1
11.0,11,-0.0512719,-0.99084437,2.9238966,-2.481726,-0.49826872,-1.4553865,3.1116579,-2.1990187,-0.4290007,1.284961,-1.0007232,5.5381584,1
11.0,11,-0.051273234,-0.9908464,2.923891,-2.4817216,-0.49826968,-1.4553876,3.1116714,-2.1990204,-0.42899936,1.2849535,-1.0007201,5.538156,1
11.0,11,-0.051272273,-0.99085116,2.9238853,-2.4817047,-0.49827105,-1.4553866,3.1117,-2.1990223,-0.42899582,1.2849271,-1.0007173,5.5381484,1
0.0,2,5.29742,1.8560815,5.548019,1.0147094,-2.415887,-1.150083,-2.23427,-1.4815015,-0.809931,-2.2790089,-2.3804622,0.07286423,0
0.0,2,5.2974186,1.8560814,5.548018,1.01471,-2.4158869,-1.1500823,-2.2342699,-1.481502,-0.8099308,-2.279009,-2.3804617,0.07286461,0
0.0,2,5.2974195,1.8560833,5.548018,1.0147082,-2.4158866,-1.1500834,-2.2342715,-1.481501,-0.8099314,-2.279008,-2.3804624,0.07286375,0
0.0,2,5.2974186,1.856082,5.548019,1.0147092,-2.415887,-1.1500825,-2.2342706,-1.4815022,-0.80993116,-2.2790084,-2.380462,0.07286511,0
0.0,2,5.297421,1.8560807,5.548018,1.0147089,-2.4158869,-1.1500827,-2.23427,-1.4815012,-0.809931,-2.2790089,-2.3804622,0.07286508,0
0.0,2,5.29742,1.8560817,5.5480194,1.0147086,-2.415887,-1.1500823,-2.2342703,-1.4815017,-0.809931,-2.2790089,-2.3804626,0.072865635,0
8.0,8,-1.3186208,-0.5143505,-0.0692635,0.69859314,-1.0696133,-1.5328962,-1.7692469,-2.2940784,6.1299334,3.8424459,-1.2492315,-3.7736015,1
8.0,8,-1.2731738,-0.53957325,-0.0406377,0.7271244,-1.030641,-1.4420033,-1.7476734,-2.4246793,6.1675954,3.7490742,-1.194721,-3.8515258,1
8.0,8,-1.303242,-0.5232725,-0.054110944,0.78483635,-1.0229747,-1.5099064,-1.6006963,-2.5113468,6.167469,3.721413,-1.2185891,-3.8337822,1
8.0,8,-1.274602,-0.52365285,-0.04191427,0.83868915,-1.0126745,-1.4874395,-1.5172341,-2.6015034,6.2165375,3.5936353,-1.181989,-3.9040864,1
8.0,8,-1.2302673,-0.5805567,-0.019025646,0.61489165,-1.0141505,-1.3302635,-1.9725621,-2.3148127,6.124211,3.8617885,-1.18394,-3.8265119,1
8.0,8,-1.2947853,-0.5222157,-0.052304626,0.67873526,-1.0618516,-1.4941536,-1.8269211,-2.2889872,6.128456,3.847774,-1.2374959,-3.786217,1
9.0,9,-1.2380073,0.46150216,1.4960473,-1.7716274,-1.1251643,-3.3572547,-2.0119965,-1.2064626,1.4275956,6.342109,-0.64899427,-1.3509734,1
9.0,9,-1.197586,0.2626585,1.2172118,-1.7678285,-0.70933086,-2.994889,-2.27324,-1.2582524,1.3771311,6.46323,-0.46030796,-1.7890726,1
