true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,correct
2.0,2,1.8502586,-1.552586,10.333694,0.46660864,-2.370026,-0.104262,-1.5714159,0.22998706,-0.18385632,0.13509041,-1.0643467,1.0869074,-0.5043398,-1.8954707,-0.42284226,1
2.0,2,1.8372686,-1.5603404,10.336101,0.473356,-2.369995,-0.103974305,-1.5645077,0.23298457,-0.19033769,0.14549197,-1.0599986,1.094671,-0.5025378,-1.8940629,-0.4298039,1
2.0,2,1.8063512,-1.5667664,10.340139,0.4860296,-2.3678374,-0.108516105,-1.5532535,0.23310721,-0.18560372,0.15645662,-1.0578597,1.1058316,-0.50706995,-1.8884454,-0.43902123,1
2.0,2,1.8275677,-1.5542321,10.336192,0.47208956,-2.3672824,-0.109946646,-1.5629827,0.2289471,-0.17556965,0.14324176,-1.0645906,1.0941035,-0.5109049,-1.8881131,-0.43073165,1
2.0,2,1.8452783,-1.5568327,10.334731,0.46916395,-2.370326,-0.103914864,-1.568554,0.2320996,-0.18827829,0.14127107,-1.0613326,1.0905547,-0.5027689,-1.8948007,-0.4269618,1
2.0,2,1.8479608,-1.5529209,10.333935,0.46733075,-2.369667,-0.10505255,-1.5703367,0.22969551,-0.18278666,0.13595688,-1.0646058,1.0872957,-0.505282,-1.8944198,-0.4235009,1
3.0,3,-0.9760212,-2.6769488,1.6697305,8.30502,0.4107473,-2.126974,-0.21133636,-1.7098278,1.7524906,-0.32091743,0.22724491,1.8239232,-1.0533191,-1.4330257,-2.8347335,1
3.0,3,-1.2047564,-2.8126016,1.9200097,7.932732,0.4579326,-1.984754,-0.057699792,-1.520405,1.4180473,-0.5573643,0.20021838,2.989728,-1.0574253,-1.2717478,-2.8833976,1
3.0,3,-1.39607,-2.9167995,2.151823,7.603614,0.46523905,-1.8791494,0.025927385,-1.354563,1.1714801,-0.59974176,0.1841639,3.7911985,-1.0337857,-1.136883,-2.9230232,1
3.0,3,-1.2561333,-2.7837722,2.1530452,8.270128,0.38027376,-2.2294319,-0.27470428,-1.6028086,1.7252222,0.22979212,0.21443337,1.7031926,-0.9360499,-1.4724272,-2.9451618,1
3.0,3,-1.050666,-2.7258625,1.8084382,8.3280945,0.3112693,-2.1479964,-0.24334326,-1.6800447,1.7273777,-0.13156368,0.23642725,1.7844901,-1.0170044,-1.4541975,-2.834731,1
3.0,3,-1.0481979,-2.7168972,1.7930089,8.268768,0.40964362,-2.1183362,-0.18553568,-1.6614677,1.6922187,-0.30991134,0.22091517,1.9817524,-1.0379239,-1.4343635,-2.8556385,1
12.0,12,-0.37983134,-1.7061144,-1.9127717,1.1816486,-1.1645497,-1.471133,-1.3150563,0.06731202,-3.1891983,1.8770955,3.1628036,-2.6944408,7.673561,-1.6699867,3.20393,1
12.0,12,-0.31108025,-1.529703,-1.5597616,1.0495938,-1.0798914,-1.6531805,-0.6910708,1.120404,-2.9944623,1.8281944,2.7569487,-2.2862885,8.32143,-1.7763377,1.6357279,1
12.0,12,-0.5445725,-1.9030321,-1.7562548,0.48458257,-1.3280734,-1.4175991,-0.4986137,1.1084743,-3.0887136,2.335609,3.8960047,-2.409921,7.4047036,-2.1416614,2.1475363,1
12.0,12,-0.5369377,-1.6944417,-2.3477314,2.0241106,-1.263676,-1.5904704,-1.4564849,0.04859677,-2.491935,2.670067,2.2406933,-3.1065989,6.1138983,-2.0021467,4.2941365,1
12.0,12,-0.43365252,-1.7157558,-2.0802405,1.5024625,-1.2251747,-1.5214772,-1.5390342,-0.059016615,-2.9264605,2.0925996,2.814269,-2.9274585,7.0663223,-1.772018,3.9235868,1
12.0,12,-0.41673252,-1.7008338,-1.9267862,1.2361515,-1.1744696,-1.4744601,-1.4150774,-0.09020895,-3.1347888,2.0496082,3.0270367,-2.743155,7.545254,-1.6603775,3.4183612,1
11.0,3,-2.0709107,-1.8757672,-2.0035882,5.5266356,-0.9686804,1.3451152,-0.48065117,-0.2343246,0.90079814,0.8390116,-2.8347673,3.5608325,-1.6487813,0.5648197,1.7681078,0
11.0,3,-2.0745695,-1.883738,-1.9430653,5.6100373,-0.96098644,1.3421223,-0.43171665,-0.22802752,0.8745066,0.7860466,-2.8205767,3.5739615,-1.6317812,0.5685208,1.6624641,0
11.0,3,-2.0528252,-1.9009446,-1.8479857,5.7051005,-0.98453367,1.3213344,-0.3897858,-0.19885108,0.91322696,0.7977341,-2.8214524,3.5082452,-1.6123686,0.50682276,1.5594333,0
11.0,3,-2.0561604,-2.0142202,-1.5103866,5.7849007,-1.1522753,1.0993216,-0.37296522,-0.1297262,0.89584804,0.7991962,-2.7256281,3.8389022,-1.5072085,0.65346295,1.2523438,0
11.0,3,-2.070859,-1.8929018,-1.9515276,5.597564,-0.9598667,1.3215533,-0.4495728,-0.2333723,0.8944235,0.80873317,-2.8298986,3.5488107,-1.6380749,0.56021607,1.7120553,0
11.0,3,-2.0682828,-1.8834977,-1.9730343,5.531562,-0.99587363,1.3184192,-0.48399445,-0.2201843,0.91496056,0.8585803,-2.827738,3.5821016,-1.6355294,0.5733356,1.7342595,0
10.0,10,-1.5901719,-2.8729634,-1.6933433,0.0006619096,-1.6306913,-1.7594309,-0.5387519,-1.7568405,-0.6323174,-0.95690817,9.679931,-0.22359361,2.9652464,1.3073742,-1.1107664,1
10.0,10,-1.9725912,-2.711627,-1.5861301,-0.1996536,-1.118016,-1.8576756,-1.1472703,-0.36438298,-1.4499615,-1.0651627,7.8892345,-0.9136895,4.8535676,3.1429615,-2.2540064,1
10.0,10,-1.6938503,-2.2759433,-1.6182724,-1.4050208,-2.41895,0.6615196,-1.6335537,-2.6231472,-0.55976295,-1.1233996,6.8048143,0.59136206,0.4244123,5.151295,-0.13841935,1
10.0,10,-2.0753694,-3.107031,-1.6398672,-0.044128723,-1.302958,-1.7701715,-0.9083673,-0.06697698,-1.3272341,-0.81541276,8.275123,-0.58303297,4.1743574,2.5520554,-1.8039491,1
10.0,10,-1.8582708,-2.9560778,-1.4918091,0.02977375,-1.6066569,-1.75886,-0.7207108,-1.3845416,-0.89712864,-0.77163845,9.535854,-0.0206093,3.7614436,0.9296301,-1.0161632,1
