true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,correct
11.0,11,-1.9123555,-2.1619906,1.123493,0.44675142,-1.2359846,-1.3411812,-1.1105283,-2.282328,0.42523065,1.1865861,-1.0409569,10.152447,1
11.0,11,-1.9123545,-2.1619897,1.123494,0.4467517,-1.2359853,-1.3411808,-1.1105274,-2.282327,0.42522934,1.1865832,-1.0409576,10.152448,1
11.0,11,-1.9123552,-2.1619902,1.1234932,0.44675183,-1.2359853,-1.3411813,-1.110528,-2.2823277,0.42523077,1.1865854,-1.0409572,10.152446,1
11.0,11,-1.9123546,-2.1619895,1.1234927,0.44675136,-1.2359846,-1.341181,-1.1105278,-2.282327,0.42522976,1.1865841,-1.0409571,10.152447,1
11.0,11,-1.9123547,-2.16199,1.1234937,0.4467515,-1.2359849,-1.3411815,-1.1105288,-2.2823281,0.42523032,1.186585,-1.0409576,10.152446,1
11.0,11,-1.9123552,-2.16199,1.1234941,0.44675216,-1.2359853,-1.3411813,-1.1105283,-2.2823281,0.42523038,1.1865847,-1.0409575,10.152448,1
5.0,5,-1.6844599,1.2058663,-0.96260536,-0.44625428,-0.3007933,9.629332,-0.59154093,1.5518934,-0.43590793,-2.8182535,-1.0687917,-1.2245142,1
5.0,5,-1.681476,1.2030334,-0.961606,-0.4440495,-0.29188383,9.63404,-0.59250885,1.5441823,-0.43662018,-2.8185616,-1.0735519,-1.2235448,1
5.0,5,-1.68195,1.2044358,-0.9617584,-0.4443149,-0.29315102,9.633625,-0.5930877,1.5437819,-0.43661845,-2.8183186,-1.072768,-1.223726,1
5.0,5,-1.6814221,1.202815,-0.9621059,-0.44416985,-0.29516035,9.632216,-0.59275216,1.5433568,-0.43265042,-2.8199856,-1.0710537,-1.224175,1
5.0,5,-1.6822933,1.2014309,-0.9619926,-0.44581705,-0.29645073,9.631277,-0.5876611,1.5516189,-0.4371038,-2.8182268,-1.0718857,-1.2250733,1
5.0,5,-1.683254,1.2058847,-0.9623382,-0.44513288,-0.29788256,9.631068,-0.59340125,1.5465198,-0.43491372,-2.8187726,-1.0699601,-1.2240953,1
2.0,2,-0.76090354,0.8223321,9.221461,0.05178778,-2.5421999,-1.2355907,-2.315413,-2.0586705,-1.0279398,1.8533714,-1.6247593,0.15387037,1
2.0,2,-0.76090485,0.82233375,9.22146,0.05178619,-2.5421996,-1.23559,-2.3154128,-2.05867,-1.0279403,1.8533742,-1.6247588,0.15386842,1
2.0,2,-0.76090896,0.8223355,9.221457,0.051783666,-2.5421991,-1.2355909,-2.3154147,-2.0586698,-1.0279398,1.8533798,-1.6247572,0.15386888,1
2.0,2,-0.76090854,0.82233703,9.221458,0.051784746,-2.5421982,-1.2355907,-2.3154135,-2.05867,-1.0279406,1.8533764,-1.6247581,0.15386778,1
