true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,correct
11.0,11,-0.03746628,-1.5003195,0.580521,0.10662457,-1.4002471,-1.0035304,-0.20269737,-0.74911815,-2.4437034,-1.7989732,1.9122485,10.005783,1
11.0,11,-0.037467197,-1.5003188,0.5805236,0.10662615,-1.4002476,-1.0035303,-0.2026978,-0.74911857,-2.4437037,-1.7989752,1.9122487,10.005781,1
11.0,11,-0.037466295,-1.5003197,0.5805212,0.10662484,-1.4002476,-1.0035303,-0.20269746,-0.749118,-2.4437034,-1.7989737,1.9122485,10.005783,1
11.0,11,-0.037466653,-1.5003186,0.58052194,0.10662597,-1.4002475,-1.0035305,-0.20269798,-0.7491187,-2.443704,-1.7989745,1.9122487,10.005782,1
11.0,11,-0.037467033,-1.5003189,0.5805223,0.10662541,-1.4002475,-1.0035299,-0.2026982,-0.7491177,-2.443704,-1.7989745,1.9122487,10.005783,1
11.0,11,-0.037467398,-1.5003192,0.58052385,0.10662604,-1.4002473,-1.0035312,-0.20269777,-0.7491184,-2.4437034,-1.7989743,1.9122486,10.005781,1
5.0,5,-2.0381627,-0.558254,-1.3707647,-1.7522019,-1.0131463,9.886206,1.622399,-0.39350626,0.7720862,-1.376592,0.77970654,-1.5989956,1
5.0,5,-2.0357797,-0.5596522,-1.3683795,-1.7491558,-1.0040052,9.891646,1.6193459,-0.3932103,0.7713825,-1.3789879,0.76904494,-1.5963488,1
5.0,5,-2.0365045,-0.55865765,-1.369366,-1.7494755,-1.0066382,9.890689,1.6182916,-0.3926693,0.7713772,-1.378347,0.77219796,-1.5966971,1
5.0,5,-2.0366373,-0.5606426,-1.3692876,-1.7453414,-1.0056828,9.889407,1.6215541,-0.39394814,0.7742038,-1.3833104,0.7732908,-1.599219,1
5.0,5,-2.0375102,-0.56375027,-1.3691952,-1.752974,-1.0093193,9.888198,1.6241192,-0.3937033,0.7765315,-1.372778,0.7715546,-1.5994437,1
5.0,5,-2.0375073,-0.55764747,-1.3704909,-1.7491814,-1.0102953,9.887998,1.6200256,-0.39314967,0.77158,-1.3797165,0.77785,-1.598301,1
2.0,2,0.114695966,1.6069293,9.602762,1.4593614,-0.44781613,-0.7754368,-1.7037971,-1.1797183,-2.728392,-2.0815244,-2.4679823,1.3546997,1
2.0,2,0.11469914,1.6069252,9.602768,1.4593488,-0.44781864,-0.7754341,-1.7037964,-1.179715,-2.7283907,-2.0815206,-2.4679809,1.354699,1
2.0,2,0.11469518,1.606932,9.602763,1.459348,-0.44781852,-0.7754342,-1.703798,-1.1797166,-2.7283905,-2.0815203,-2.4679816,1.3547009,1
2.0,2,0.11469549,1.6069318,9.602764,1.4593488,-0.4478163,-0.7754344,-1.7037996,-1.1797168,-2.7283907,-2.08152,-2.4679818,1.3546985,1
2.0,2,0.114697084,1.6069299,9.602766,1.4593489,-0.4478184,-0.7754349,-1.7037976,-1.1797153,-2.728391,-2.081521,-2.4679825,1.3546997,1
2.0,2,0.11469318,1.6069331,9.602761,1.459353,-0.44781768,-0.77543604,-1.7037983,-1.1797173,-2.7283921,-2.0815213,-2.4679813,1.3547009,1
11.0,11,0.62178415,-1.0067605,0.3105218,0.04841668,-1.5559976,-1.4829483,-0.7841834,-1.0420231,-1.9911228,0.45954487,-0.53055346,9.7706585,1
11.0,11,0.6217814,-1.0067575,0.31052297,0.048416384,-1.5559967,-1.482945,-0.7841919,-1.0420237,-1.9911158,0.4595435,-0.5305542,9.770659,1
11.0,11,0.6217812,-1.0067602,0.3105204,0.048414238,-1.5559994,-1.4829471,-0.7841892,-1.0420258,-1.9911174,0.4595561,-0.53055394,9.7706585,1
11.0,11,0.62177974,-1.0067583,0.31052336,0.048413888,-1.5559978,-1.4829453,-0.7841944,-1.0420246,-1.9911175,0.45955375,-0.5305534,9.770659,1
11.0,11,0.62178224,-1.0067608,0.3105206,0.048414573,-1.5559992,-1.4829477,-0.7841875,-1.0420254,-1.9911191,0.45955575,-0.5305537,9.770658,1
11.0,11,0.6217849,-1.0067587,0.31051958,0.048419356,-1.555997,-1.4829465,-0.784183,-1.0420232,-1.9911181,0.45953605,-0.5305543,9.77066,1
0.0,0,9.743638,-0.32334992,1.8718997,0.6748623,-1.89744,-2.6020865,-2.9328196,0.5058187,-1.8892914,-1.7203046,-1.8515173,1.7037879,1
0.0,0,9.743638,-0.32335,1.8718998,0.67486316,-1.8974401,-2.602086,-2.9328196,0.50581855,-1.8892915,-1.7203051,-1.8515172,1.703787,1
0.0,0,9.743637,-0.32334948,1.8719,0.6748618,-1.8974401,-2.6020868,-2.9328203,0.5058188,-1.8892914,-1.7203037,-1.8515172,1.7037889,1
0.0,0,9.743637,-0.32334992,1.8719007,0.6748625,-1.8974401,-2.6020863,-2.93282,0.5058176,-1.8892909,-1.7203037,-1.8515172,1.7037888,1
0.0,0,9.743637,-0.3233502,1.8719002,0.6748627,-1.8974401,-2.6020868,-2.93282,0.5058185,-1.8892912,-1.7203041,-1.8515171,1.7037886,1
0.0,0,9.743637,-0.32335016,1.8719,0.67486256,-1.8974401,-2.6020865,-2.9328203,0.505818,-1.8892912,-1.7203041,-1.8515171,1.7037883,1
8.0,8,-2.806661,-0.43534562,-2.1793957,1.1539222,-2.0977607,-0.754013,-0.94819456,-1.896045,9.986236,2.2493322,-1.7775284,-1.4560646,1
8.0,8,-2.8436372,-0.4595149,-2.2363877,1.1599331,-2.0611048,-0.7221935,-0.9018032,-1.9008029,9.97387,2.289228,-1.7578199,-1.5151222,1
8.0,8,-2.8444402,-0.44351485,-2.2369564,1.1828003,-2.0670104,-0.7672868,-0.87346333,-1.9699979,9.95539,2.3388135,-1.7721797,-1.5030738,1
8.0,8,-2.8494813,-0.4360434,-2.2480273,1.2145925,-2.0493565,-0.7710112,-0.8137051,-1.9744647,9.957689,2.2689142,-1.775033,-1.525758,1
8.0,8,-2.8501294,-0.49839494,-2.268508,1.0899327,-2.0438466,-0.6292257,-0.9583687,-1.8359983,9.986339,2.3280518,-1.7246718,-1.5371164,1
8.0,8,-2.8053071,-0.44175893,-2.186068,1.1367208,-2.0908892,-0.72663397,-0.95942265,-1.8800049,9.993568,2.246211,-1.7692747,-1.4670105,1
