true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,correct
11.0,11,-1.5937003,-1.6615865,0.4543131,-1.8639293,-0.16142023,-2.8574338,-1.0550003,-0.014462633,0.61808544,-1.589885,2.4160128,8.7077265,1
11.0,11,-1.5937017,-1.6615865,0.45431435,-1.8639283,-0.1614193,-2.8574333,-1.0549998,-0.014463177,0.6180865,-1.5898852,2.4160092,8.707726,1
11.0,11,-1.593701,-1.6615866,0.45431378,-1.8639286,-0.16141942,-2.857433,-1.0549995,-0.01446314,0.61808604,-1.5898848,2.4160097,8.707727,1
11.0,11,-1.5937008,-1.6615857,0.45431334,-1.8639292,-0.16141987,-2.8574336,-1.0549992,-0.014462417,0.618085,-1.589885,2.41601,8.7077265,1
11.0,11,-1.5937004,-1.6615862,0.4543131,-1.8639292,-0.16142038,-2.8574333,-1.0550001,-0.014463237,0.61808616,-1.589885,2.4160123,8.7077265,1
11.0,11,-1.5937017,-1.6615859,0.45431343,-1.863929,-0.16141972,-2.857433,-1.055,-0.0144627,0.61808676,-1.589885,2.4160092,8.707726,1
5.0,5,-1.1252599,-0.7749479,-0.013316978,-0.7429526,6.062836,7.314452,-0.8625601,1.6368387,-2.6723628,-1.4540929,-1.0167434,-0.80025506,1
5.0,5,-1.1332282,-0.7758102,0.017735831,-0.75358576,6.0078254,7.353768,-0.87622887,1.6453255,-2.667346,-1.4456679,-1.0007713,-0.8058962,1
5.0,5,-1.1298077,-0.7742771,0.0050251186,-0.7489794,6.043378,7.324447,-0.8692376,1.6421353,-2.676797,-1.4515709,-1.0077215,-0.8002698,1
5.0,5,-1.1309398,-0.7744101,-0.021371271,-0.7370824,6.0593686,7.320369,-0.86480093,1.6317998,-2.6640422,-1.4505374,-1.0104611,-0.8125474,1
5.0,5,-1.1371065,-0.7748213,-0.015522141,-0.73972243,6.04869,7.3280334,-0.86952096,1.6334504,-2.6550853,-1.4498255,-1.0027094,-0.8180494,1
5.0,5,-1.1280353,-0.7775226,-0.0150626935,-0.7451406,6.07299,7.30553,-0.8564037,1.6311401,-2.6771553,-1.4577088,-1.0089623,-0.7943577,1
2.0,2,-2.2317655,3.189673,8.096401,-0.8616214,-1.4244742,-0.51693076,-2.434593,-1.0172837,-0.2244241,0.68336535,-2.0736475,0.6497633,1
2.0,2,-2.231756,3.1895597,8.096459,-0.8614672,-1.4245031,-0.51695824,-2.4345884,-1.0173578,-0.22436613,0.68336743,-2.0736513,0.6497696,1
