true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,correct
8.0,10,-6.040568,-1.3585777,-2.6077387,-3.395877,0.34387007,-1.1351249,2.5148444,3.4641917,1.0925891,-1.8131312,7.7605014,0
8.0,10,-6.0351467,-1.3587728,-2.6075149,-3.3954785,0.32268223,-1.1444287,2.5454292,3.5136244,1.0314531,-1.8081644,7.758704,0
8.0,10,-6.047672,-1.3703153,-2.6395545,-3.3733425,0.36366314,-1.1293457,2.518015,3.4236934,1.1718009,-1.8165153,7.735757,0
8.0,10,-6.0464544,-1.3650424,-2.626819,-3.3864007,0.36897677,-1.1260941,2.4997997,3.4222708,1.1534358,-1.8121107,7.7505074,0
8.0,10,-6.039556,-1.3603643,-2.6150603,-3.38721,0.33683607,-1.1403198,2.5212245,3.4599848,1.1160908,-1.8183767,7.752652,0
8.0,10,-6.038668,-1.3619145,-2.5914834,-3.4065132,0.31582612,-1.140214,2.5692215,3.5679004,0.9438547,-1.7959304,7.7599945,0
2.0,6,-4.92324,-2.7278755,5.1603894,-4.4479365,-0.74777263,3.843115,6.4308343,-1.1673133,-0.24447864,-0.05771036,-0.36174902,0
2.0,6,-4.923241,-2.7278745,5.1603894,-4.4479375,-0.74777436,3.843118,6.430833,-1.1673125,-0.24447542,-0.057711523,-0.36175027,0
2.0,6,-4.923241,-2.7278748,5.1603885,-4.447937,-0.74777323,3.8431172,6.4308333,-1.1673132,-0.24447685,-0.05771069,-0.36174896,0
2.0,6,-4.92324,-2.727875,5.1603913,-4.447937,-0.74777365,3.843118,6.430832,-1.1673127,-0.244477,-0.057711225,-0.36175075,0
2.0,6,-4.92324,-2.7278752,5.160388,-4.447937,-0.74777347,3.8431168,6.430835,-1.167313,-0.24447644,-0.057711136,-0.36174908,0
2.0,6,-4.923241,-2.727874,5.1603904,-4.4479375,-0.7477745,3.8431194,6.4308305,-1.1673126,-0.24447554,-0.05771188,-0.3617504,0
9.0,9,1.4803327,1.0286541,-2.6318853,-1.6061704,-1.5415639,-2.6367044,-1.529729,-2.1628597,-2.1969478,9.385257,-1.2693003,1
9.0,9,1.480333,1.0286541,-2.6318836,-1.6061716,-1.5415639,-2.636703,-1.529727,-2.162863,-2.196948,9.385256,-1.2693002,1
9.0,9,1.4803317,1.028654,-2.6318824,-1.6061708,-1.5415634,-2.6367037,-1.5297272,-2.162863,-2.1969483,9.385257,-1.2693012,1
9.0,9,1.4803325,1.0286541,-2.631884,-1.6061711,-1.5415641,-2.6367037,-1.5297277,-2.1628618,-2.1969478,9.385257,-1.2693006,1
9.0,9,1.4803323,1.0286545,-2.6318834,-1.6061713,-1.5415636,-2.6367035,-1.5297279,-2.1628623,-2.1969478,9.385257,-1.2693008,1
9.0,9,1.4803327,1.0286542,-2.6318846,-1.6061708,-1.5415637,-2.6367042,-1.529729,-2.1628602,-2.1969478,9.385257,-1.2693006,1
6.0,6,-2.277203,-1.7331111,-2.1204705,-3.6486728,-1.0537417,0.40210366,9.447099,-1.8592927,1.5681348,0.4012444,1.1713814,1
6.0,6,-2.277203,-1.7331109,-2.1204705,-3.6486726,-1.0537418,0.4021033,9.447099,-1.8592927,1.5681353,0.4012441,1.1713816,1
6.0,6,-2.2772028,-1.7331108,-2.1204715,-3.6486716,-1.0537415,0.40210313,9.447099,-1.859293,1.5681354,0.40124378,1.1713812,1
6.0,6,-2.2772028,-1.7331107,-2.1204712,-3.6486728,-1.0537418,0.40210336,9.447099,-1.859293,1.5681357,0.40124416,1.1713815,1
6.0,6,-2.2772038,-1.7331116,-2.1204693,-3.6486738,-1.0537416,0.40210414,9.447099,-1.8592924,1.568135,0.4012444,1.1713818,1
6.0,6,-2.2772038,-1.7331116,-2.1204693,-3.648673,-1.0537416,0.40210432,9.447099,-1.8592929,1.5681345,0.4012441,1.1713816,1
6.0,6,-4.126798,-0.8449157,-2.6470172,-3.1739135,0.7686533,0.5270164,8.430058,-0.3368835,-1.9163682,-1.8375069,5.0656843,1
