true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,correct
6.0,6,-2.210836,-1.8066009,-2.2694478,-0.75445557,-1.5724128,-1.1823004,8.577986,1
6.0,6,-2.23201,-1.8111459,-2.2716858,-0.7722604,-1.5749745,-1.1159524,8.577785,1
6.0,6,-2.2092605,-1.804904,-2.2729003,-0.76192373,-1.5735425,-1.1720508,8.579026,1
6.0,6,-2.2000945,-1.7975018,-2.27196,-0.7743176,-1.573064,-1.184446,8.581295,1
6.0,6,-2.2123957,-1.8008051,-2.2714508,-0.774161,-1.5729712,-1.1630919,8.579994,1
6.0,6,-2.2161417,-1.803663,-2.2714014,-0.7678081,-1.5736583,-1.1592379,8.578827,1
1.0,1,-0.24745387,6.3987556,-0.99154186,2.4721246,-3.0824318,-3.5576174,-3.972845,1
1.0,1,-0.24745423,6.3987546,-0.9915421,2.472126,-3.0824323,-3.5576177,-3.9728456,1
1.0,1,-0.24745435,6.398755,-0.9915418,2.472125,-3.0824313,-3.5576172,-3.972846,1
1.0,1,-0.24745381,6.3987565,-0.99154073,2.4721227,-3.0824313,-3.5576167,-3.9728463,1
1.0,1,-0.24745432,6.3987546,-0.99154186,2.4721255,-3.0824318,-3.5576172,-3.972846,1
1.0,1,-0.24745423,6.398755,-0.9915418,2.4721248,-3.0824313,-3.5576172,-3.9728463,1
5.0,5,-5.1557455,0.48784438,-1.2840317,3.244842,-2.19039,6.412356,-2.5944502,1
5.0,5,-5.1557455,0.48784375,-1.2840333,3.2448428,-2.1903892,6.4123564,-2.5944493,1
5.0,5,-5.1557455,0.48784494,-1.2840326,3.244842,-2.19039,6.4123564,-2.5944502,1
5.0,5,-5.1557455,0.48784342,-1.2840347,3.2448435,-2.1903892,6.412356,-2.5944486,1
5.0,5,-5.1557455,0.48784435,-1.284034,3.244844,-2.19039,6.412355,-2.5944488,1
5.0,5,-5.1557455,0.48784447,-1.2840346,3.2448435,-2.1903896,6.412355,-2.5944486,1
4.0,4,0.40118846,-3.0814936,-2.7313983,3.2193813,6.5740123,-1.9477805,-3.320907,1
4.0,4,0.40118703,-3.0814946,-2.7313983,3.2193842,6.574011,-1.94778,-3.320907,1
4.0,4,0.40118718,-3.081493,-2.7313986,3.2193806,6.5740128,-1.9477805,-3.320907,1
4.0,4,0.4011885,-3.0814939,-2.7313983,3.2193809,6.5740123,-1.9477804,-3.320907,1
4.0,4,0.40118843,-3.0814931,-2.7313988,3.2193809,6.5740123,-1.9477805,-3.320907,1
4.0,4,0.4011886,-3.0814936,-2.7313988,3.2193816,6.5740123,-1.9477805,-3.320907,1
2.0,2,-3.0712686,4.2375107,5.927937,-1.3337797,-3.3389544,0.12896448,-4.595781,1
2.0,2,-3.071267,4.2375073,5.927941,-1.3337808,-3.3389535,0.12896256,-4.5957804,1
2.0,2,-3.071269,4.2375116,5.927935,-1.3337786,-3.338955,0.12896432,-4.595782,1
2.0,2,-3.0712702,4.237512,5.9279346,-1.3337777,-3.338955,0.12896557,-4.595782,1
2.0,2,-3.0712676,4.23751,5.927939,-1.333781,-3.3389535,0.12896253,-4.5957804,1
2.0,2,-3.0712671,4.237508,5.927941,-1.3337808,-3.3389535,0.1289617,-4.59578,1
5.0,1,1.0372671,3.9436042,1.898802,-3.7580276,0.19528729,-1.2095337,-2.9434314,0
5.0,1,0.8661447,4.038942,2.156746,-3.6859546,-0.05170674,-1.1499931,-3.0834036,0
5.0,1,0.987272,3.9986014,1.9816227,-3.7358575,0.07542077,-1.1831645,-2.979138,0
5.0,1,1.0384606,3.9596732,1.8983722,-3.7564087,0.15866011,-1.1891077,-2.9349694,0
5.0,1,0.985595,3.9959342,1.9940536,-3.731821,0.07093677,-1.180775,-2.9919605,0
5.0,1,1.0587302,3.9237432,1.8389306,-3.7732954,0.24129808,-1.1944782,-2.9016109,0
6.0,1,-2.556638,6.1383696,-0.24673624,-2.170006,-3.7943811,3.12145,-1.2225499,0
6.0,1,-2.5273466,6.21727,-0.13606991,-2.2278528,-3.8660083,2.8808975,-1.1304414,0
6.0,1,-2.4877555,6.2737236,-0.03801526,-2.3096693,-3.9159565,2.6758232,-1.0309129,0
6.0,1,-2.5070238,6.2153945,0.030987099,-2.2913249,-3.9580345,2.770827,-1.0322336,0
6.0,1,-2.5200648,6.2283187,-0.09131436,-2.256895,-3.8815856,2.825889,-1.1026777,0
6.0,1,-2.5435398,6.1528263,-0.13433726,-2.231001,-3.8453383,3.0247474,-1.1549891,0
3.0,3,-5.47873,0.53021777,-4.7264266,5.81486,-0.6075951,0.56030273,1.146998,1
3.0,3,-5.478731,0.53022087,-4.726426,5.8148584,-0.60759485,0.56030273,1.1469958,1
3.0,3,-5.4787307,0.53021836,-4.7264266,5.81486,-0.60759544,0.56030357,1.1469984,1
3.0,3,-5.478731,0.530219,-4.7264266,5.8148584,-0.6075945,0.56030405,1.146997,1
3.0,3,-5.478731,0.53021884,-4.726426,5.814859,-0.6075956,0.56030405,1.1469973,1
3.0,3,-5.4787307,0.5302192,-4.7264266,5.8148594,-0.6075951,0.5603018,1.1469971,1
5.0,5,0.40996093,-2.8037279,0.833341,-0.6457579,0.39483106,7.934756,-2.9212656,1
5.0,5,0.4099614,-2.8037279,0.8333408,-0.6457579,0.3948313,7.9347553,-2.921266,1
5.0,5,0.40996104,-2.8037274,0.83334,-0.64575833,0.3948316,7.9347563,-2.9212656,1
5.0,5,0.40996248,-2.8037279,0.8333397,-0.6457577,0.39483202,7.9347553,-2.9212666,1
5.0,5,0.40996146,-2.8037276,0.8333405,-0.6457581,0.39483145,7.9347563,-2.9212663,1
5.0,5,0.40996158,-2.8037283,0.83333963,-0.6457579,0.39483142,7.9347568,-2.9212651,1
0.0,6,-0.55172956,-1.5637827,-1.427561,-2.561762,-0.31050202,-1.3540803,7.0005016,0
0.0,6,-0.5230308,-1.570552,-1.4223523,-2.5484834,-0.3549892,-1.3534322,7.013638,0
0.0,6,-0.57442904,-1.5773013,-1.4374865,-2.5241652,-0.30824003,-1.3857756,7.0263476,0
0.0,6,-0.55311024,-1.5763757,-1.4265448,-2.528923,-0.32949004,-1.3794361,7.0208335,0
0.0,6,-0.53241104,-1.5716168,-1.4236838,-2.5440114,-0.3461796,-1.3601612,7.0147877,0
0.0,6,-0.5507035,-1.5645846,-1.4284708,-2.5610394,-0.31154448,-1.3547943,7.0021095,0
0.0,0,8.320948,-0.38826242,-1.6759546,-2.488224,-0.39316,-2.5987244,-0.075380474,1
0.0,0,8.320949,-0.38826343,-1.6759535,-2.488224,-0.3931607,-2.5987241,-0.07538006,1
0.0,0,8.320949,-0.38826326,-1.6759535,-2.4882245,-0.39316043,-2.598724,-0.07538007,1
0.0,0,8.320949,-0.3882625,-1.6759546,-2.4882245,-0.39316005,-2.598724,-0.075380266,1
0.0,0,8.320949,-0.38826284,-1.6759545,-2.4882245,-0.3931601,-2.5987241,-0.075380236,1
0.0,0,8.320948,-0.38826174,-1.6759549,-2.488225,-0.3931597,-2.598724,-0.07538061,1
1.0,1,-1.684327,5.595927,2.9223874,-2.5969574,-1.238247,-2.8150215,-3.1173253,1
1.0,1,-1.6741607,5.579867,2.927906,-2.6043622,-1.2059083,-2.8517547,-3.1286163,1
1.0,1,-1.6832087,5.5725465,2.9363048,-2.6019998,-1.1981152,-2.8446176,-3.1344032,1
1.0,1,-1.6970496,5.5818677,2.9290888,-2.5972633,-1.2083685,-2.8198175,-3.131588,1
