true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,correct
6.0,6,0.09928649,-2.698544,-1.6528014,-1.292298,-2.5203981,0.34326226,7.8116755,1
6.0,6,0.04273609,-2.7420661,-1.6490568,-1.3353939,-2.5017374,0.6007675,7.7470922,1
6.0,6,0.084224634,-2.700474,-1.6594037,-1.3104256,-2.5150993,0.40664163,7.79818,1
6.0,6,0.07076432,-2.6738706,-1.6606941,-1.3336239,-2.50861,0.37428463,7.8148665,1
6.0,6,0.057333194,-2.693109,-1.656078,-1.3353609,-2.505682,0.44175664,7.7964835,1
6.0,6,0.06647302,-2.7063835,-1.6545119,-1.3211163,-2.5102062,0.45027217,7.7892094,1
1.0,1,-0.69739854,6.626217,-0.3605479,1.0176432,-4.9374375,-1.4014367,-3.4282475,1
1.0,1,-0.69739884,6.6262164,-0.36054796,1.0176444,-4.937437,-1.4014366,-3.4282494,1
1.0,1,-0.6973989,6.6262164,-0.3605482,1.017644,-4.9374375,-1.4014366,-3.4282484,1
1.0,1,-0.69739914,6.6262164,-0.36054826,1.0176446,-4.9374375,-1.4014366,-3.4282486,1
1.0,1,-0.6973981,6.626218,-0.36054736,1.0176418,-4.9374385,-1.4014364,-3.4282472,1
1.0,1,-0.6973981,6.626218,-0.3605473,1.0176419,-4.937438,-1.4014368,-3.4282477,1
5.0,5,-3.9596138,-1.2786169,-1.27465,3.376675,-1.6762655,6.962618,-2.1292737,1
5.0,5,-3.9596143,-1.2786148,-1.2746499,3.3766737,-1.676267,6.9626184,-2.1292741,1
5.0,5,-3.9596133,-1.2786179,-1.2746502,3.3766754,-1.6762648,6.962617,-2.1292732,1
5.0,5,-3.959614,-1.2786154,-1.2746483,3.376672,-1.6762662,6.9626203,-2.1292753,1
5.0,5,-3.9596138,-1.2786158,-1.2746497,3.3766737,-1.6762663,6.962619,-2.1292734,1
5.0,5,-3.9596143,-1.2786163,-1.2746508,3.3766758,-1.6762663,6.962618,-2.129273,1
4.0,4,-0.52391857,-4.2603083,-3.5747836,2.3805408,7.8911977,-1.3335444,-0.35832202,1
4.0,4,-0.5239192,-4.2603083,-3.5747843,2.380541,7.8911977,-1.3335441,-0.3583219,1
4.0,4,-0.52391833,-4.2603087,-3.5747838,2.3805428,7.8911963,-1.333544,-0.35832217,1
4.0,4,-0.52391845,-4.260309,-3.5747838,2.380542,7.891197,-1.3335445,-0.35832235,1
4.0,4,-0.52391857,-4.260309,-3.574784,2.3805408,7.8911967,-1.3335444,-0.3583218,1
4.0,4,-0.5239191,-4.260309,-3.5747836,2.3805428,7.8911963,-1.3335443,-0.35832232,1
2.0,1,-2.1493316,5.885008,4.1710243,-2.5282083,-5.104497,0.53762627,-3.5371575,0
2.0,1,-2.1493325,5.885008,4.1710243,-2.5282083,-5.104497,0.53762656,-3.5371587,0
2.0,1,-2.1493323,5.885009,4.171024,-2.5282097,-5.1044965,0.53762764,-3.5371575,0
2.0,1,-2.1493318,5.8850102,4.1710224,-2.5282092,-5.1044974,0.53762764,-3.5371573,0
2.0,1,-2.1493316,5.8850074,4.171025,-2.5282078,-5.1044974,0.53762555,-3.5371585,0
2.0,1,-2.1493313,5.8850083,4.1710253,-2.5282087,-5.104496,0.5376255,-3.5371583,0
5.0,5,-1.0522891,1.9574304,-0.7657491,-4.467529,3.7413144,4.2777853,-1.9951922,1
5.0,5,-1.1755259,2.0643451,-0.5325327,-4.5599036,3.6338713,4.2507167,-2.0508513,1
5.0,5,-1.0931982,2.034187,-0.6651564,-4.5091205,3.6414676,4.2743106,-2.0225053,1
5.0,5,-1.0545642,1.980982,-0.746051,-4.469801,3.6769671,4.3092303,-2.001146,1
5.0,5,-1.094173,2.015977,-0.66625863,-4.507582,3.6607597,4.280928,-2.0217848,1
5.0,5,-1.0385904,1.9454912,-0.80013645,-4.443823,3.7143059,4.320435,-1.9810839,1
6.0,1,-4.233414,5.625077,-0.03086042,-2.598214,-3.7250152,4.6589413,-0.6365629,0
6.0,1,-4.1838803,5.6950016,0.0775661,-2.720926,-3.7639093,4.501824,-0.58509487,0
6.0,1,-4.127828,5.748313,0.16837858,-2.8575594,-3.787095,4.359975,-0.5103772,0
6.0,1,-4.1593704,5.6771517,0.19654132,-2.8151278,-3.8024843,4.457062,-0.51650834,0
6.0,1,-4.169669,5.706789,0.109392,-2.7602856,-3.7656128,4.466388,-0.5700783,0
6.0,1,-4.2155285,5.629231,0.044940144,-2.6749103,-3.7324176,4.614664,-0.6004197,0
3.0,3,-3.2977145,-2.338232,-3.989817,6.2849555,-0.3403428,0.4171027,2.5841675,1
3.0,3,-3.2977138,-2.338233,-3.9898155,6.2849555,-0.34034207,0.41710383,2.5841668,1
3.0,3,-3.2977138,-2.3382306,-3.9898174,6.284957,-0.3403435,0.41710117,2.5841668,1
3.0,3,-3.2977142,-2.3382328,-3.989815,6.284956,-0.34034213,0.41710374,2.584166,1
3.0,3,-3.297714,-2.3382318,-3.9898174,6.284957,-0.34034267,0.41710228,2.5841663,1
3.0,3,-3.2977138,-2.3382332,-3.989816,6.2849555,-0.34034196,0.41710457,2.584167,1
5.0,5,-0.64488643,-2.606371,-0.07930438,-0.500503,1.1826526,8.434393,-2.869643,1
5.0,5,-0.6448868,-2.6063707,-0.07930405,-0.500503,1.1826516,8.434393,-2.869643,1
5.0,5,-0.64488703,-2.606371,-0.07930384,-0.5005029,1.1826516,8.434393,-2.8696425,1
5.0,5,-0.64488643,-2.6063714,-0.07930445,-0.50050294,1.1826526,8.434393,-2.8696434,1
5.0,5,-0.6448863,-2.606371,-0.0793049,-0.5005029,1.1826521,8.434392,-2.8696434,1
5.0,5,-0.64488643,-2.606371,-0.0793039,-0.50050294,1.1826519,8.434393,-2.8696427,1
0.0,6,1.5857507,-3.218018,-1.2526438,-3.0424,-0.4971097,0.589909,7.398162,0
0.0,6,1.6137507,-3.213309,-1.2468036,-3.0377522,-0.52888435,0.5761566,7.3980827,0
0.0,6,1.5518991,-3.206405,-1.2497255,-3.0098438,-0.5070831,0.51193506,7.438916,0
0.0,6,1.5760362,-3.2080786,-1.2463195,-3.0163836,-0.51923436,0.52474374,7.427424,0
0.0,6,1.6021963,-3.212038,-1.2470268,-3.0323098,-0.52484095,0.5633066,7.4059367,0
0.0,6,1.5876126,-3.2180772,-1.2526361,-3.0428474,-0.49769828,0.5895754,7.39772,0
0.0,0,8.08018,-2.7437718,-0.9239051,-1.3286769,-0.71911913,-1.9483764,0.9847767,1
0.0,0,8.08018,-2.743772,-0.9239049,-1.3286769,-0.71911955,-1.9483762,0.9847769,1
0.0,0,8.08018,-2.7437716,-0.92390513,-1.3286767,-0.7191196,-1.9483763,0.98477656,1
0.0,0,8.080179,-2.7437718,-0.92390484,-1.3286762,-0.71911985,-1.9483763,0.98477584,1
0.0,0,8.080179,-2.7437716,-0.9239052,-1.328678,-0.7191185,-1.9483757,0.9847767,1
0.0,0,8.08018,-2.7437716,-0.9239051,-1.3286773,-0.7191193,-1.948376,0.98477644,1
1.0,1,-1.2680918,6.3959403,3.598729,-3.187462,-2.9892468,-1.5873678,-3.5671546,1
1.0,1,-1.2590914,6.364572,3.6343048,-3.182227,-2.9464445,-1.6028908,-3.6161196,1
1.0,1,-1.2637149,6.355425,3.6512349,-3.1900113,-2.9501162,-1.5890672,-3.6112306,1
1.0,1,-1.2715987,6.3705096,3.6372328,-3.1962562,-2.9767566,-1.566012,-3.5873587,1
1.0,1,-1.2565564,6.3773,3.6172605,-3.1785574,-2.956062,-1.6083763,-3.6094334,1
1.0,1,-1.2683794,6.4027634,3.5906758,-3.1869485,-2.997779,-1.5854352,-3.5607102,1
3.0,3,-3.7330396,-0.2491911,-1.5309896,6.898848,-0.7384754,0.043400533,-3.2642553,1
3.0,3,-3.7330403,-0.2491917,-1.5309898,6.898848,-0.7384752,0.04340037,-3.2642534,1
3.0,3,-3.7330415,-0.24919224,-1.5309895,6.898848,-0.7384753,0.043400645,-3.2642531,1
3.0,3,-3.7330396,-0.24919134,-1.5309896,6.8988476,-0.73847526,0.04340038,-3.2642548,1
3.0,3,-3.7330375,-0.24919012,-1.5309899,6.8988476,-0.73847467,0.043400392,-3.264257,1
3.0,3,-3.7330396,-0.24919036,-1.5309895,6.8988476,-0.7384761,0.04340097,-3.2642548,1
1.0,1,-0.8539723,6.252085,-0.41248262,1.6972055,-4.6540823,-1.2178684,-4.021484,1
1.0,1,-0.8539722,6.252085,-0.41248208,1.6972053,-4.654081,-1.2178683,-4.021486,1
1.0,1,-0.85397184,6.252086,-0.41248202,1.6972045,-4.6540813,-1.2178681,-4.021485,1
1.0,1,-0.85397196,6.2520857,-0.4124822,1.6972054,-4.654081,-1.2178682,-4.0214853,1
1.0,1,-0.8539729,6.252084,-0.41248256,1.6972073,-4.654081,-1.217868,-4.021485,1
