true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,correct
6.0,6,-0.38415053,-2.1526766,-2.2384925,-1.8995416,-1.2038778,-0.37261045,8.855244,1
6.0,6,-0.45505747,-2.1189852,-2.2394388,-1.8707902,-1.2162489,-0.42393744,8.873839,1
6.0,6,-0.43655005,-2.1250408,-2.2373765,-1.8745104,-1.2092192,-0.437551,8.872676,1
6.0,6,-0.45397756,-2.118048,-2.233453,-1.8609289,-1.2104415,-0.47251183,8.880208,1
6.0,6,-0.46844143,-2.1080024,-2.2381773,-1.8641342,-1.209738,-0.47027493,8.881158,1
6.0,6,-0.44028512,-2.1258018,-2.2371526,-1.8745433,-1.2107273,-0.4295031,8.872012,1
1.0,1,-3.671155,6.1196337,-3.479692,2.4027414,-0.5673392,-1.5291562,-2.7247791,1
1.0,1,-3.6711566,6.119632,-3.479694,2.402744,-0.56733674,-1.529157,-2.7247798,1
1.0,1,-3.6711566,6.1196337,-3.4796934,2.4027424,-0.56733745,-1.5291562,-2.7247791,1
1.0,1,-3.6711557,6.119633,-3.4796925,2.402742,-0.5673378,-1.5291566,-2.7247794,1
1.0,1,-3.6711566,6.119632,-3.4796937,2.4027445,-0.5673386,-1.5291566,-2.7247796,1
1.0,1,-3.671155,6.1196337,-3.4796915,2.402743,-0.5673399,-1.5291563,-2.7247794,1
5.0,3,-2.1359415,-4.3429084,2.8912132,4.5471125,-0.2636253,3.9184127,-3.791783,0
5.0,3,-2.1359415,-4.3429093,2.8912134,4.547112,-0.26362467,3.918413,-3.7917829,0
5.0,3,-2.135941,-4.342909,2.891213,4.5471134,-0.26362538,3.9184122,-3.7917826,0
5.0,3,-2.1359408,-4.34291,2.8912127,4.5471125,-0.26362365,3.9184124,-3.7917821,0
5.0,3,-2.135941,-4.3429103,2.8912122,4.547112,-0.26362264,3.918413,-3.791782,0
5.0,3,-2.135941,-4.34291,2.8912127,4.547112,-0.26362297,3.918413,-3.7917824,0
4.0,4,0.4652951,-2.9124386,-1.1795174,-0.6487266,8.555099,-0.62257516,-2.327947,1
4.0,4,0.46529487,-2.912439,-1.1795174,-0.6487272,8.5550995,-0.62257504,-2.327947,1
4.0,4,0.46529546,-2.912439,-1.1795174,-0.6487272,8.5550995,-0.6225754,-2.3279474,1
4.0,4,0.46529487,-2.9124384,-1.1795174,-0.6487256,8.555099,-0.6225754,-2.3279474,1
4.0,4,0.46529475,-2.9124386,-1.1795176,-0.6487268,8.5550995,-0.6225753,-2.3279467,1
4.0,4,0.46529534,-2.9124384,-1.1795174,-0.6487253,8.5550995,-0.6225759,-2.3279474,1
2.0,2,-4.123011,4.1496367,4.299141,-0.07884523,-4.8106847,2.15771,-4.265672,1
2.0,2,-4.123011,4.1496367,4.299142,-0.07884538,-4.8106856,2.1577096,-4.2656727,1
2.0,2,-4.1230116,4.149635,4.2991405,-0.07884379,-4.810684,2.1577108,-4.2656727,1
2.0,2,-4.123011,4.1496377,4.2991414,-0.07884613,-4.810685,2.157709,-4.2656717,1
2.0,2,-4.123011,4.1496377,4.2991414,-0.07884525,-4.810686,2.1577091,-4.2656713,1
2.0,2,-4.1230106,4.1496377,4.299141,-0.078844726,-4.8106847,2.15771,-4.265673,1
5.0,1,-3.5756187,4.2894235,-1.7791907,-1.5836865,1.5399572,4.0908265,-3.578891,0
5.0,1,-3.9205492,4.183553,-1.9068155,-0.31456605,0.8185238,4.1374273,-3.839668,0
5.0,5,-3.642961,3.605375,-1.7147043,-1.2133782,2.1705377,4.039558,-3.8455262,1
5.0,5,-3.580262,3.6272604,-1.7032502,-1.3404711,2.1090622,4.135069,-3.7610705,1
5.0,5,-3.7857277,3.5368013,-1.7758371,-0.78062326,1.8876913,4.2614985,-3.9210737,1
5.0,5,-3.6137862,3.7355037,-1.7206646,-1.4879587,2.12158,4.2401695,-3.7365623,1
6.0,5,-0.82531893,3.4517736,0.019311763,-2.966644,-3.7801251,5.6214204,1.2323122,0
6.0,5,-1.0466624,3.814658,0.35409966,-3.037611,-4.0003576,5.2257433,1.2533808,0
6.0,5,-1.2379754,4.184819,0.57146156,-3.0785198,-4.168885,4.8148956,1.2380672,0
6.0,5,-1.1715038,4.0774765,0.50487256,-3.0638366,-4.1262207,4.9369626,1.2367227,0
6.0,5,-1.0113091,3.8726285,0.44385037,-3.0599215,-4.053725,5.136683,1.2162158,0
6.0,5,-0.7997203,3.6644223,0.5061083,-3.122486,-3.988711,5.301392,1.1720519,0
3.0,4,-5.4334483,-1.9004855,-3.9962034,3.8832011,5.0987153,0.81249624,-0.1735802,0
3.0,4,-5.4334483,-1.9004868,-3.996204,3.8832028,5.098713,0.81249565,-0.17358054,0
3.0,4,-5.4334507,-1.9004859,-3.9962041,3.8832033,5.0987115,0.81249607,-0.1735796,0
3.0,4,-5.4334483,-1.9004858,-3.9962037,3.883203,5.0987124,0.81249535,-0.17358069,0
3.0,4,-5.43345,-1.9004855,-3.996204,3.8832042,5.098711,0.812494,-0.1735796,0
3.0,4,-5.4334474,-1.9004866,-3.9962022,3.8832004,5.0987163,0.8124972,-0.17358151,0
5.0,5,-0.9755552,0.8304569,1.2359071,-3.6146817,-1.8231505,8.131386,-0.8149815,1
5.0,5,-0.97555494,0.83045655,1.2359064,-3.6146815,-1.823151,8.131385,-0.8149811,1
5.0,5,-0.9755547,0.8304565,1.235907,-3.614682,-1.8231503,8.131384,-0.81498134,1
5.0,5,-0.9755542,0.8304569,1.2359062,-3.6146815,-1.8231503,8.131385,-0.814982,1
5.0,5,-0.9755547,0.830457,1.235906,-3.6146812,-1.8231504,8.131386,-0.8149817,1
5.0,5,-0.97555566,0.83045703,1.2359071,-3.614681,-1.8231508,8.131385,-0.81498146,1
0.0,6,-0.3231176,-2.0767658,-2.0118515,-2.0316443,0.5845257,-1.8140483,8.032428,0
0.0,6,-0.3105957,-2.0349393,-2.053028,-2.0176475,0.53199553,-1.8244709,8.047616,0
0.0,6,-0.4280155,-1.9600974,-2.0743132,-2.1336432,0.6253222,-1.7270235,8.034,0
0.0,6,-0.40825972,-1.9732236,-2.0689476,-2.095656,0.5912665,-1.7511661,8.036192,0
0.0,6,-0.33832377,-2.028266,-2.048284,-2.043505,0.56131476,-1.8025244,8.041809,0
0.0,6,-0.31974646,-2.0763958,-2.0134597,-2.0301313,0.5816018,-1.8159595,8.033391,0
0.0,0,9.122775,-2.3669634,0.40315998,-0.4361107,-0.6299822,-2.181442,-1.1912541,1
0.0,0,9.122774,-2.3669627,0.4031599,-0.4361111,-0.62998176,-2.1814423,-1.1912549,1
0.0,0,9.122775,-2.3669627,0.4031599,-0.4361108,-0.6299821,-2.1814423,-1.1912556,1
0.0,0,9.122775,-2.3669636,0.40316024,-0.43611136,-0.6299817,-2.1814418,-1.1912549,1
0.0,0,9.122777,-2.3669627,0.40315995,-0.4361106,-0.629982,-2.181442,-1.1912563,1
0.0,0,9.122776,-2.3669622,0.40315983,-0.4361104,-0.62998223,-2.181442,-1.1912558,1
1.0,2,0.6239106,-0.79193896,5.6461773,-1.9533508,2.6755488,-2.9699087,-3.3393404,0
1.0,2,0.6187282,-0.7673009,5.6398587,-1.9749321,2.6841028,-2.9707806,-3.3406935,0
1.0,2,0.6150356,-0.74436575,5.6371636,-1.9946538,2.6886775,-2.9712317,-3.3428526,0
1.0,2,0.61642253,-0.75856405,5.6383657,-1.981628,2.686641,-2.970635,-3.3425238,0
1.0,2,0.6206118,-0.77615607,5.643236,-1.9652892,2.6805232,-2.9703395,-3.3435326,0
1.0,2,0.62368464,-0.7928285,5.6455126,-1.952388,2.6761177,-2.969957,-3.3392978,0
3.0,3,-4.905681,-1.7615285,-4.109758,5.8066926,3.3364387,-0.8675949,0.60829455,1
3.0,3,-4.905681,-1.7615274,-4.1097584,5.8066936,3.3364382,-0.8675957,0.60829395,1
3.0,3,-4.905681,-1.7615284,-4.109758,5.806695,3.3364367,-0.86759496,0.6082955,1
3.0,3,-4.9056816,-1.7615293,-4.1097574,5.806693,3.3364391,-0.86759484,0.60829395,1
3.0,3,-4.9056807,-1.7615281,-4.1097584,5.8066936,3.336441,-0.8675946,0.60829175,1
3.0,3,-4.9056807,-1.7615273,-4.1097584,5.8066955,3.3364377,-0.86759514,0.6082932,1
1.0,1,-3.7718985,5.638695,-3.618435,2.9104338,-0.26146203,-1.2493995,-2.9172509,1
1.0,1,-3.771898,5.6386957,-3.6184344,2.9104319,-0.261459,-1.2493985,-2.9172523,1
1.0,1,-3.771898,5.6386957,-3.6184347,2.9104323,-0.2614592,-1.2493987,-2.9172525,1
1.0,1,-3.7718992,5.638694,-3.6184354,2.9104338,-0.26146013,-1.2493987,-2.917251,1
1.0,1,-3.771897,5.6386952,-3.618435,2.910432,-0.26146168,-1.2493987,-2.917251,1
1.0,1,-3.7718985,5.638695,-3.6184354,2.9104319,-0.26145938,-1.2493982,-2.917252,1
6.0,0,5.642105,-0.6704872,-2.3155508,-3.6580663,-0.704947,-2.9952369,5.283534,0
6.0,0,5.86495,-0.6659282,-2.2794137,-3.7604063,-0.64155746,-2.8251407,5.005305,0
6.0,0,5.9807067,-0.6650294,-2.2545803,-3.755597,-0.6085467,-2.8260887,4.843992,0
6.0,0,6.2132745,-0.6500094,-2.2029736,-3.8011756,-0.47219574,-2.8191571,4.504878,0
6.0,0,6.0940056,-0.6128678,-2.244528,-3.7775862,-0.5195535,-2.8842537,4.65176,0
6.0,0,5.7391763,-0.6786886,-2.2898946,-3.6726162,-0.64709324,-2.999047,5.1569285,0
4.0,4,-2.3156219,-3.7057536,-2.8882957,0.34883758,7.8554883,0.68490183,0.75440276,1
