true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,correct
6.0,6,-0.78726393,-3.8747823,0.035727553,-1.340848,-1.4934007,4.25556,5.6943693,1
6.0,6,-0.75937635,-3.6314998,-0.070085905,-1.4093825,-1.6321732,4.561255,5.5610867,1
6.0,6,-0.8346714,-3.5263755,-0.08732354,-1.3181765,-1.7282856,4.491083,5.6422634,1
6.0,6,-0.8236991,-3.5457723,-0.22795215,-1.2641162,-1.6824512,4.326315,5.8131456,1
6.0,6,-0.79462343,-3.5513535,-0.21207531,-1.3199116,-1.6693038,4.4251366,5.735103,1
6.0,6,-0.7526743,-3.723438,-0.14044242,-1.3672537,-1.5501059,4.378991,5.705733,1
1.0,1,-1.5500203,6.453586,0.7767703,-0.41351247,-0.5248989,-1.0958334,-5.846537,1
1.0,1,-1.5500203,6.4535856,0.7767702,-0.4135129,-0.5248978,-1.0958341,-5.846537,1
1.0,1,-1.5500195,6.4535847,0.7767708,-0.41351408,-0.52489716,-1.0958333,-5.8465366,1
1.0,1,-1.5500197,6.4535847,0.7767703,-0.4135136,-0.5248971,-1.0958338,-5.8465366,1
1.0,1,-1.5500203,6.453586,0.7767703,-0.4135127,-0.524898,-1.0958337,-5.8465366,1
1.0,1,-1.5500206,6.4535856,0.7767698,-0.41351247,-0.5248976,-1.0958339,-5.846537,1
5.0,5,-2.1799295,-0.07238917,3.0945213,2.284172,-4.0838885,5.471899,-3.5320668,1
5.0,5,-2.1799285,-0.07239333,3.094518,2.2841673,-4.0838842,5.471907,-3.5320654,1
5.0,5,-2.17993,-0.0723902,3.0945163,2.2841685,-4.0838847,5.4719048,-3.5320673,1
5.0,5,-2.1799297,-0.07239036,3.0945172,2.2841709,-4.0838847,5.4719033,-3.532068,1
5.0,5,-2.1799302,-0.072390094,3.0945199,2.284173,-4.0838866,5.471901,-3.5320675,1
5.0,5,-2.179931,-0.07239008,3.0945194,2.2841763,-4.083889,5.471896,-3.5320668,1
4.0,4,-1.4776176,0.07462081,-3.2838492,1.9677867,6.2535105,-2.4606678,-2.9332187,1
4.0,4,-1.4776164,0.07461758,-3.28385,1.9677929,6.2535076,-2.4606676,-2.9332185,1
4.0,4,-1.4776132,0.07461922,-3.283849,1.9677848,6.253511,-2.460666,-2.9332209,1
4.0,4,-1.4776134,0.07462088,-3.2838495,1.9677848,6.253512,-2.4606671,-2.9332216,1
4.0,4,-1.4776145,0.07461958,-3.283849,1.9677879,6.2535086,-2.4606674,-2.93322,1
4.0,4,-1.477616,0.074619696,-3.2838492,1.9677879,6.253509,-2.4606674,-2.9332201,1
2.0,1,-1.8102494,4.9321632,3.3747747,-0.47393602,-3.9679053,2.2357745,-4.8164406,0
2.0,1,-1.8102467,4.932173,3.374768,-0.47394496,-3.9678984,2.2357693,-4.816443,0
2.0,1,-1.8102474,4.932167,3.3747714,-0.47394335,-3.9679003,2.2357752,-4.8164415,0
2.0,1,-1.8102472,4.9321694,3.3747687,-0.47394353,-3.9678996,2.2357724,-4.816442,0
2.0,1,-1.810247,4.9321723,3.3747683,-0.4739436,-3.9678993,2.2357697,-4.816443,0
2.0,1,-1.8102458,4.9321733,3.3747683,-0.4739458,-3.9678977,2.2357693,-4.816443,0
5.0,5,-1.7115089,-1.7811322,0.44973788,-0.51085067,3.4367511,4.062748,-3.489744,1
5.0,1,-1.8706954,3.0544565,1.4543861,-2.8857944,2.0599945,2.6162212,-5.0550375,0
5.0,1,-2.0543633,3.018173,1.9735918,-2.63147,1.5865315,2.5493822,-5.198125,0
5.0,1,-2.4423637,2.9473174,0.94278926,-1.4270864,2.2164445,1.9348234,-5.391641,0
5.0,1,-1.9077979,3.4999774,1.7360862,-2.8028328,1.5337511,2.3446782,-5.219336,0
5.0,5,-1.6285928,-1.3407924,0.9641538,-1.0995076,3.0080774,4.3804216,-3.6903229,1
6.0,2,3.0018857,-1.3522441,5.839725,0.18058208,-4.370404,-1.1931173,-1.8088157,0
6.0,2,2.9649382,-1.1648853,5.8487415,0.17915404,-4.381894,-1.3458014,-1.8841518,0
6.0,2,3.015761,-1.1505395,5.826716,0.1625625,-4.412014,-1.2496886,-1.93891,0
6.0,2,3.0650852,-1.1944708,5.802393,0.1527961,-4.4090934,-1.220696,-1.9142913,0
6.0,2,3.062648,-1.1561064,5.792663,0.1745856,-4.3661647,-1.4142929,-1.882863,0
6.0,2,3.0363472,-1.4471111,5.82204,0.17632627,-4.3583555,-1.1351836,-1.7592167,0
3.0,3,-4.79004,1.0638372,-3.369768,5.2300515,1.0035591,-1.8227376,-0.558658,1
3.0,3,-4.79004,1.063837,-3.369769,5.2300525,1.0035577,-1.8227406,-0.55865604,1
3.0,3,-4.7900395,1.0638345,-3.3697693,5.2300525,1.0035574,-1.8227428,-0.55865246,1
3.0,3,-4.79004,1.0638344,-3.369769,5.2300525,1.0035602,-1.8227402,-0.5586541,1
3.0,3,-4.7900405,1.063835,-3.3697693,5.230053,1.0035561,-1.8227419,-0.55865186,1
3.0,3,-4.790041,1.0638344,-3.3697705,5.230052,1.0035636,-1.822736,-0.55865765,1
5.0,5,-0.48300552,-1.5471973,-0.8379993,-2.5063791,0.28143734,7.8699517,-0.24256307,1
