true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,correct
6.0,6,-1.8906225,-1.7002581,-2.2315037,0.1702594,-2.2604082,-2.9155562,8.230712,1
6.0,6,-1.9174218,-1.6781116,-2.221843,0.18973643,-2.2660975,-2.940941,8.223154,1
6.0,6,-1.9083883,-1.6776589,-2.2250319,0.18187232,-2.264961,-2.9403453,8.226272,1
6.0,6,-1.9136139,-1.6688739,-2.2217052,0.1850324,-2.2664967,-2.951178,8.225012,1
6.0,6,-1.9202036,-1.663785,-2.2220676,0.18149063,-2.2665663,-2.9472637,8.226303,1
6.0,6,-1.9102144,-1.6797353,-2.2241943,0.1810514,-2.2643862,-2.9365108,8.226615,1
1.0,1,-2.7800918,6.91775,-0.49762252,0.8346481,-1.7168255,-1.9344811,-4.520278,1
1.0,1,-2.780092,6.917748,-0.4976234,0.8346498,-1.7168244,-1.9344807,-4.5202775,1
1.0,1,-2.780092,6.917748,-0.49762368,0.8346492,-1.7168249,-1.9344807,-4.520277,1
1.0,1,-2.7800915,6.917749,-0.49762285,0.83464867,-1.7168255,-1.9344809,-4.520278,1
1.0,1,-2.7800925,6.9177475,-0.4976237,0.8346501,-1.7168249,-1.9344809,-4.520277,1
1.0,1,-2.780092,6.91775,-0.49762204,0.83464813,-1.7168262,-1.9344811,-4.520278,1
5.0,3,-1.9593652,-3.9140599,2.5475166,5.747459,-1.3778532,2.019615,-3.9858022,0
5.0,3,-1.9593652,-3.9140604,2.547516,5.747459,-1.3778529,2.0196152,-3.9858022,0
5.0,3,-1.9593647,-3.914061,2.5475159,5.74746,-1.3778524,2.0196137,-3.9858012,0
5.0,3,-1.9593647,-3.9140615,2.5475159,5.7474604,-1.3778521,2.019614,-3.9858005,0
5.0,3,-1.9593647,-3.9140615,2.5475154,5.747461,-1.3778518,2.0196147,-3.9857996,0
5.0,3,-1.9593648,-3.9140615,2.5475154,5.7474604,-1.3778517,2.0196142,-3.9858005,0
4.0,4,-0.8212042,-0.666212,-3.179036,1.4754183,7.450697,-2.0575936,-3.4816406,1
4.0,4,-0.8212043,-0.6662115,-3.1790366,1.4754176,7.4506974,-2.0575938,-3.4816413,1
4.0,4,-0.82120407,-0.6662112,-3.179036,1.4754174,7.450697,-2.0575943,-3.4816413,1
4.0,4,-0.8212043,-0.66621226,-3.179036,1.4754193,7.4506965,-2.0575936,-3.481641,1
4.0,4,-0.8212046,-0.6662113,-3.179037,1.4754177,7.450697,-2.0575936,-3.4816403,1
