true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,correct
6.0,6,-0.5874849,-4.35096,-2.1889853,-1.2261045,-0.8057357,-1.1974771,9.273015,1
6.0,6,-0.58742696,-4.351005,-2.1890028,-1.2260066,-0.8057982,-1.1974509,9.27303,1
6.0,6,-0.58746123,-4.35098,-2.1889932,-1.2260573,-0.8057615,-1.1974669,9.273023,1
6.0,6,-0.5874627,-4.350953,-2.188986,-1.2261271,-0.80572605,-1.1974964,9.273017,1
6.0,6,-0.58749163,-4.3509307,-2.188977,-1.2262138,-0.8056887,-1.1975001,9.273009,1
6.0,6,-0.5874708,-4.3509374,-2.18898,-1.226189,-0.80570096,-1.1975058,9.273014,1
6.0,6,2.5449193,-5.04361,-2.9321508,-1.8745136,-2.5273345,-0.8461511,8.706713,1
6.0,6,2.5449157,-5.043609,-2.9321501,-1.8745134,-2.5273333,-0.84615076,8.706716,1
6.0,6,2.5449178,-5.0436096,-2.93215,-1.8745142,-2.527334,-0.8461513,8.706713,1
6.0,6,2.5449164,-5.04361,-2.93215,-1.8745141,-2.5273337,-0.84615093,8.706714,1
6.0,6,2.5449212,-5.04361,-2.9321501,-1.8745131,-2.5273342,-0.84615225,8.706712,1
6.0,6,2.5449228,-5.0436115,-2.93215,-1.8745129,-2.527335,-0.84615237,8.706711,1
2.0,2,-4.5774035,2.6752396,8.750436,-0.7779671,-0.100264326,-2.9084404,-1.5287057,1
2.0,2,-4.577403,2.6752355,8.750435,-0.77796483,-0.10026534,-2.9084396,-1.5287044,1
2.0,2,-4.5774045,2.6752384,8.750434,-0.777966,-0.10026388,-2.9084408,-1.528706,1
2.0,2,-4.577406,2.675241,8.750435,-0.77796614,-0.10026209,-2.908442,-1.5287075,1
2.0,2,-4.5774016,2.6752374,8.750435,-0.77796686,-0.10026585,-2.9084406,-1.5287052,1
2.0,2,-4.5774045,2.675238,8.750434,-0.77796566,-0.10026384,-2.9084406,-1.528706,1
0.0,0,8.416381,-3.332988,-3.2625225,-2.919861,-3.2450345,0.79915386,-2.5862803,1
0.0,0,8.41542,-3.3065097,-3.243361,-2.9185674,-3.2451096,0.7631524,-2.586458,1
0.0,0,8.415899,-3.3059049,-3.2426803,-2.918487,-3.2461016,0.76284635,-2.5858505,1
0.0,0,8.416488,-3.302979,-3.239577,-2.917773,-3.2475379,0.7578504,-2.5838199,1
0.0,0,8.413664,-3.3053956,-3.2417202,-2.9221373,-3.2433925,0.76576155,-2.5910552,1
0.0,0,8.414324,-3.305888,-3.2420862,-2.9208896,-3.244227,0.7649986,-2.5892386,1
3.0,3,-1.5632589,-3.2184472,-0.08265435,9.76008,-2.4150884,1.6152308,0.0881194,1
3.0,3,-1.563259,-3.2184463,-0.08265526,9.760081,-2.4150898,1.6152314,0.08812107,1
3.0,3,-1.563259,-3.2184458,-0.082655534,9.760081,-2.4150894,1.6152319,0.0881208,1
3.0,3,-1.5632598,-3.2184484,-0.08265443,9.760079,-2.4150882,1.615233,0.08811944,1
3.0,3,-1.5632597,-3.218447,-0.082653604,9.760079,-2.415089,1.6152325,0.08811991,1
3.0,3,-1.5632591,-3.2184484,-0.08265479,9.760081,-2.4150882,1.6152308,0.08811957,1
4.0,4,-3.4773977,3.742047,-1.1752316,-3.720396,8.629159,-3.654755,-2.9295442,1
4.0,4,-3.4773967,3.7420485,-1.1752311,-3.7203965,8.629158,-3.6547556,-2.9295447,1
4.0,4,-3.4773965,3.7420497,-1.1752315,-3.720397,8.629158,-3.654755,-2.9295459,1
4.0,4,-3.4773965,3.7420502,-1.1752313,-3.7203968,8.629157,-3.654755,-2.929546,1
4.0,4,-3.4773967,3.742051,-1.175231,-3.7203965,8.629157,-3.6547558,-2.9295456,1
4.0,4,-3.477397,3.7420483,-1.1752307,-3.7203965,8.629158,-3.6547554,-2.9295447,1
5.0,5,-0.967041,-3.5855443,-0.7746202,-4.2494473,-0.61341417,7.4626713,-0.5526799,1
5.0,5,-0.9670416,-3.5855443,-0.77461815,-4.249448,-0.6134143,7.4626703,-0.55267954,1
5.0,5,-0.9670403,-3.5855443,-0.7746198,-4.249448,-0.61341465,7.4626713,-0.5526804,1
5.0,5,-0.96703917,-3.5855434,-0.7746222,-4.2494473,-0.6134139,7.462672,-0.55268085,1
5.0,5,-0.9670395,-3.5855436,-0.77462125,-4.249448,-0.61341447,7.4626713,-0.5526805,1
5.0,5,-0.9670403,-3.5855434,-0.77462053,-4.2494473,-0.613414,7.4626718,-0.55268085,1
0.0,0,8.344804,-3.6073434,-2.7729223,-3.2432806,-3.8851104,-0.75925255,1.0284219,1
0.0,0,8.344627,-3.6077652,-2.7730367,-3.2434108,-3.885213,-0.7592957,1.0294788,1
0.0,0,8.344598,-3.6078265,-2.7730515,-3.2434294,-3.8852324,-0.75930375,1.0296474,1
0.0,0,8.3446245,-3.6077666,-2.7730417,-3.243415,-3.885217,-0.75929135,1.0294979,1
0.0,0,8.344653,-3.6076992,-2.7730238,-3.2433922,-3.8852003,-0.75928426,1.0293242,1
0.0,0,8.344653,-3.6077034,-2.773021,-3.2433898,-3.8852015,-0.7592897,1.0293343,1
