true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,correct
3.0,3,-2.2120855,1.8404067,-1.6052564,8.012052,-0.72883046,-2.608377,1.1855555,-0.92599034,-1.7873322,-0.7440296,0.055046756,4.1251082,-1.1221606,-1.277399,-2.0402267,1
3.0,3,-2.259321,1.5310196,-1.712976,7.953847,-0.75830716,-2.4989922,1.0411574,-0.9040666,-1.6834755,-0.5475065,0.09621761,4.41121,-0.9815548,-1.2508602,-2.1075606,1
3.0,3,-2.1278837,1.7735713,-1.5671158,8.22388,-0.83344424,-2.612615,1.4076058,-0.9062299,-1.7048194,-0.56071925,0.14885749,3.6002495,-1.3805112,-1.3717544,-1.9692062,1
3.0,3,-2.2808669,1.6153032,-1.7328107,7.863013,-0.66576886,-2.4717453,0.94244504,-0.8792551,-1.7474859,-0.62047917,0.016041761,4.5631433,-0.9297589,-1.2295995,-2.124715,1
3.0,3,-2.2630303,1.5769972,-1.7070167,7.9304914,-0.7464856,-2.5019743,1.0331259,-0.9065214,-1.7091619,-0.5931269,0.067927875,4.441587,-0.95706177,-1.2420604,-2.1041098,1
3.0,3,-2.200767,1.6736214,-1.6528335,8.049066,-0.72757274,-2.5669317,1.1482489,-0.912391,-1.7395902,-0.6113243,0.061925773,4.1340785,-1.1317084,-1.2728484,-2.0536957,1
4.0,6,3.1789763,-1.9431891,-1.9223481,-2.4135814,-1.3166245,1.4492517,5.0432534,3.7021904,-2.1348882,-2.768077,-0.74345577,-3.5873532,1.6345458,0.41729018,3.1146848,0
4.0,6,3.0985923,-1.9423227,-1.9277378,-2.4249144,-1.3277133,1.5157495,5.0705976,3.780525,-2.133958,-2.7580113,-0.73484325,-3.5833747,1.6165262,0.41706845,3.0780244,0
4.0,6,3.1308146,-1.9438496,-1.9261038,-2.4215572,-1.321194,1.5053382,5.0607495,3.7615845,-2.1334612,-2.7626235,-0.7326878,-3.5869293,1.6056566,0.4065713,3.086189,0
4.0,6,3.0939164,-1.94356,-1.9267172,-2.4256628,-1.3277893,1.525019,5.073442,3.788766,-2.134136,-2.757434,-0.73318505,-3.584482,1.6093975,0.414591,3.0731046,0
4.0,6,3.072084,-1.9406152,-1.9299464,-2.4279215,-1.3316325,1.5366378,5.0799203,3.8075988,-2.1356091,-2.7544658,-0.7323144,-3.582056,1.6101099,0.41944072,3.0639904,0
4.0,6,3.134043,-1.9411509,-1.9272752,-2.4198463,-1.3227594,1.487448,5.0583086,3.748913,-2.135138,-2.7626188,-0.73742783,-3.584814,1.622057,0.41685593,3.0927415,0
7.0,13,-0.55151236,-0.19341552,-1.9511958,-2.8184338,-1.2307128,-2.829665,-1.4686257,2.7815373,-0.69698286,-0.23298407,1.1576676,-0.04789702,0.4015609,8.875655,0.079997115,0
7.0,13,-0.54499143,-0.20407408,-1.9531904,-2.8188984,-1.2301587,-2.8326843,-1.4657272,2.7850835,-0.6936355,-0.23535782,1.1582687,-0.057378955,0.40069753,8.87491,0.09813362,0
7.0,13,-0.5436329,-0.2078675,-1.9539058,-2.8179467,-1.2312957,-2.836489,-1.4641988,2.7857878,-0.69271916,-0.23673058,1.1660534,-0.060418703,0.3983331,8.874502,0.10680563,0
7.0,13,-0.5468746,-0.19882804,-1.952943,-2.81967,-1.2302865,-2.8308363,-1.4676315,2.7842891,-0.6943916,-0.23561907,1.1570821,-0.054214045,0.40047267,8.874612,0.092231244,0
7.0,13,-0.5504737,-0.2007565,-1.9522679,-2.8219862,-1.2305855,-2.828655,-1.4731058,2.7814658,-0.687695,-0.22855076,1.1540102,-0.054187104,0.40432796,8.874757,0.093098834,0
7.0,13,-0.5460636,-0.19508769,-1.9527028,-2.819865,-1.2302108,-2.8292432,-1.467908,2.7823713,-0.6963578,-0.23605862,1.1522068,-0.053023368,0.40219364,8.874822,0.08850725,0
10.0,8,-1.948826,-0.9198972,-2.9578056,0.014929737,-2.1923285,-3.0935328,-4.1619,-2.7853863,4.459868,2.0624485,2.9948976,4.254414,1.8952453,4.292498,-0.8893391,0
10.0,8,-1.9072093,-0.95507264,-2.9701135,0.011510597,-2.167524,-3.0859468,-4.174243,-2.8073075,4.536046,2.0830824,2.8874137,4.1877217,1.8952186,4.290824,-0.8580117,0
10.0,8,-1.9363183,-0.92957324,-2.96153,0.016254924,-2.1831903,-3.088037,-4.169694,-2.7909803,4.4896245,2.0709536,2.9627686,4.234294,1.8840364,4.286307,-0.88343406,0
10.0,8,-1.9960448,-0.9934492,-2.9224706,-0.06685434,-2.1796327,-3.0478024,-4.14349,-2.7699416,4.5818086,2.1232338,3.071557,4.220523,1.9730237,4.105136,-0.8113942,0
10.0,8,-1.91496,-0.9518659,-2.966351,0.011027788,-2.1756895,-3.0884264,-4.1687546,-2.8019054,4.521551,2.080179,2.9195657,4.19613,1.8928689,4.2917733,-0.8597134,0
10.0,8,-1.9473038,-0.9235349,-2.9572196,0.013538276,-2.1939254,-3.0943308,-4.1595306,-2.785504,4.461551,2.0634096,2.9984665,4.249272,1.8958447,4.2934456,-0.88488245,0
14.0,10,1.1645635,-0.23047958,-2.6315498,-2.319641,-0.030875092,-3.4000137,-1.6959676,0.39211258,0.5351333,-2.8602004,6.4117446,0.6087997,0.1948246,1.2749248,5.2515273,0
14.0,10,1.1643262,-0.58351946,-2.3429449,-2.2167096,-0.22389072,-3.4198532,-1.4950322,0.4394328,0.49134177,-2.644317,6.3387313,0.31462294,0.2287922,1.3855367,5.632656,0
14.0,10,1.0995252,-0.45068723,-2.5064416,-2.2612536,-0.20967235,-3.4051473,-1.5465183,0.49832314,0.47908375,-2.6832027,6.3861113,0.43757018,0.2873536,1.4141653,5.4890804,0
14.0,10,1.1135749,-0.5868753,-2.5102637,-2.23743,-0.2642197,-3.4130359,-1.47743,0.51689273,0.49346057,-2.6539462,6.352584,0.4168409,0.32798257,1.4842198,5.514058,0
14.0,10,1.1521649,-0.68759704,-2.5002027,-2.209591,-0.27793515,-3.418356,-1.4369644,0.49579602,0.52960783,-2.6504445,6.324831,0.39811367,0.31634966,1.4849399,5.538438,0
14.0,10,1.1473212,-0.42776433,-2.6133335,-2.2752964,-0.18993877,-3.4099495,-1.5741389,0.464455,0.5101744,-2.7466252,6.354937,0.5219908,0.31425092,1.418367,5.408238,0
2.0,5,-2.7166889,0.9635972,0.5027281,-2.2908928,2.0293891,7.5684834,-0.006839771,2.6516993,-0.620898,-0.7089447,-1.2213186,-0.39666435,-2.5408263,-1.6740108,-2.2799375,0
2.0,5,-2.7166584,0.96352255,0.50273347,-2.2909293,2.029408,7.5684977,-0.006867161,2.6517515,-0.6208933,-0.70892376,-1.2213246,-0.3966928,-2.5408342,-1.6739897,-2.2799132,0
2.0,5,-2.716673,0.96348196,0.5027183,-2.2909205,2.0294204,7.568516,-0.0068476014,2.6516843,-0.62090313,-0.7089182,-1.2213495,-0.39664364,-2.5407817,-1.673978,-2.2799504,0
2.0,5,-2.716661,0.9635241,0.50273186,-2.2909276,2.0294042,7.5684958,-0.006862199,2.6517475,-0.6208918,-0.70892614,-1.2213268,-0.39669093,-2.5408323,-1.673989,-2.2799144,0
2.0,5,-2.7166662,0.9635393,0.5027318,-2.2909207,2.0294015,7.568493,-0.0068588015,2.6517391,-0.6208928,-0.7089295,-1.2213234,-0.39668632,-2.540832,-1.6739944,-2.279919,0
2.0,5,-2.716687,0.9635871,0.50272787,-2.290897,2.0293932,7.5684843,-0.006843036,2.651704,-0.62089944,-0.7089419,-1.2213197,-0.39666492,-2.5408256,-1.6740068,-2.2799366,0
9.0,5,-2.458325,-3.3649166,2.3138075,-0.9329008,0.17082034,7.0229945,3.4208963,0.17056529,1.5795673,1.3870755,-2.871988,-3.2109997,-0.5408974,-2.2954803,-1.2174764,0
9.0,5,-2.4025373,-2.9028952,1.9447293,-1.418355,0.22230208,7.467001,3.4119966,0.5386389,1.1829886,0.9858495,-3.0810053,-3.065811,-0.3691988,-2.1516054,-1.1981194,0
9.0,5,-2.3971653,-2.7664135,1.8279021,-1.5391413,0.30733448,7.5914335,3.1866415,0.6671188,1.0991967,1.088247,-3.093773,-2.99489,-0.37782922,-2.1051722,-1.2217758,0
