true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,prob_class_15,prob_class_16,prob_class_17,prob_class_18,prob_class_19,correct
18.0,18,-2.4065254,-3.272611,-0.6980995,-1.9403096,-1.5312146,-4.1272597,-1.0282704,-0.49593422,-0.80828255,-0.13313696,1.3610697,2.5466573,1.1096102,2.4098256,-0.74520326,-2.207165,2.6222224,-3.3399022,13.050773,3.667339,1
18.0,18,-2.4046822,-3.3021686,-0.6882444,-1.856301,-1.5318705,-4.1543517,-1.1525218,-0.50343746,-0.7289255,-0.16699727,1.388174,2.625684,1.2115669,2.357936,-0.8021183,-2.2306871,2.5871577,-3.3479457,13.099819,3.8007069,1
18.0,18,-2.3979523,-3.365112,-0.8186965,-1.9116759,-1.3278304,-4.144189,-1.1935395,-0.33555928,-0.7836927,-0.11624844,1.3407093,2.5015104,1.138465,2.4547157,-0.562472,-2.1764402,2.4006543,-3.3983712,13.073806,3.7713258,1
18.0,18,-2.521,-3.2984324,-0.85109085,-1.5223999,-1.6917536,-4.0666914,-1.5971057,-0.3782959,-0.1514616,0.018745368,1.4068213,1.5960131,2.4845047,2.202973,-1.271234,-2.366519,2.0104647,-3.5335999,13.478273,4.8320746,1
18.0,18,-2.4127204,-3.3140814,-0.68472254,-1.7258297,-1.5409368,-4.172873,-1.3028296,-0.5134556,-0.567045,-0.19473347,1.4124049,2.6016352,1.4483222,2.2541602,-0.95369554,-2.267584,2.4849584,-3.3988304,13.203431,4.062219,1
18.0,18,-2.4055204,-3.3044188,-0.68767124,-1.8572628,-1.5351185,-4.1537504,-1.1464447,-0.50676876,-0.73203635,-0.16763854,1.3887852,2.6231937,1.2036799,2.3608725,-0.79768884,-2.2323253,2.5941515,-3.3434625,13.098246,3.803328,1
0.0,0,12.827143,0.47607398,0.12458098,-4.26117,-2.321434,0.20937175,-1.9872627,1.4996591,-1.262425,1.144863,-2.782859,-2.004876,-0.003251318,0.45937023,-0.09415802,1.3011106,-1.2700698,-3.9093177,-2.627692,-3.5697856,1
0.0,0,12.8298645,0.4765702,0.12737377,-4.259295,-2.3190224,0.20666754,-1.9843302,1.4999224,-1.2594296,1.1411815,-2.778386,-2.0046365,-0.0024437197,0.4612991,-0.09680863,1.2916523,-1.2717209,-3.908555,-2.6271565,-3.5678828,1
0.0,0,12.828664,0.4820866,0.133353,-4.257599,-2.328068,0.20572913,-1.9883633,1.4955657,-1.2583905,1.1516651,-2.7838752,-2.0042663,-0.0014378466,0.4556887,-0.09978127,1.2919598,-1.266984,-3.9065292,-2.6236572,-3.5680413,1
0.0,0,12.834309,0.46250117,0.13347815,-4.259659,-2.3099096,0.19628125,-1.9711821,1.5015583,-1.2507035,1.1262571,-2.7547207,-2.0036614,0.0046167783,0.47127613,-0.10569119,1.2637994,-1.2765535,-3.914902,-2.617572,-3.5560036,1
0.0,0,12.831185,0.47637248,0.1285926,-4.2585044,-2.3175564,0.20532233,-1.982671,1.5001401,-1.2580322,1.1389561,-2.7757769,-2.004522,-0.001957465,0.46246484,-0.09809637,1.286977,-1.2726675,-3.9084542,-2.6267939,-3.5667946,1
0.0,0,12.828924,0.47682565,0.12643811,-4.2598085,-2.3200612,0.20780703,-1.9855793,1.4997323,-1.2607077,1.1426151,-2.7803314,-2.0047064,-0.0028273799,0.46040472,-0.09580174,1.2953368,-1.2710866,-3.908702,-2.6275122,-3.5687575,1
2.0,2,-0.92575467,0.4155637,13.912823,0.6791054,-3.0997622,-1.8631831,-0.2908734,-1.6963619,1.2833573,2.3794506,-2.6435814,-3.7337837,-1.0775057,-0.24595279,-1.6706979,-1.8513361,0.67308706,-2.926259,0.74359834,1.5365943,1
2.0,2,-0.94197446,0.4199255,13.909231,0.66199803,-3.1072655,-1.8737731,-0.29056692,-1.6827329,1.2966354,2.4004319,-2.658407,-3.7226603,-1.09242,-0.25318342,-1.6850152,-1.852221,0.6753431,-2.926762,0.76732457,1.5933541,1
2.0,2,-0.9783121,0.39880008,13.895587,0.62689775,-3.1346965,-1.8943505,-0.26433384,-1.6507084,1.3475951,2.377888,-2.665365,-3.6916442,-1.1187963,-0.23739907,-1.7123288,-1.872902,0.6649285,-2.9543948,0.8514367,1.7190045,1
2.0,2,-0.85516214,0.24481432,13.931552,0.7321796,-3.0646336,-1.7875766,-0.19140035,-1.748513,1.313227,2.128414,-2.5087593,-3.7873793,-0.89713407,-0.058990117,-1.5633644,-2.004512,0.616025,-3.0161643,0.6950885,1.1537015,1
2.0,2,-0.938702,0.3973924,13.913208,0.65629053,-3.1070187,-1.8695581,-0.2779223,-1.6814976,1.3107468,2.378825,-2.64848,-3.722996,-1.0782424,-0.23117465,-1.6778704,-1.8739983,0.6682807,-2.9387488,0.77159923,1.5679294,1
2.0,2,-0.9312911,0.4091792,13.912566,0.66744465,-3.1032875,-1.8668789,-0.28620207,-1.6883376,1.2956034,2.3820784,-2.647819,-3.7283683,-1.0803267,-0.24115053,-1.675343,-1.8597438,0.6715863,-2.9312048,0.7563151,1.5549275,1
9.0,9,-1.2717977,0.22733654,3.1868837,-4.8619018,-1.5909729,-1.7877468,-2.0327346,2.36778,-0.33761767,12.387003,-2.3447845,-3.7462022,-0.079934806,0.69113845,0.24169281,-2.3106499,1.6179246,-1.9971392,-0.11135641,-1.4247669,1
9.0,9,-1.2718494,0.22560507,3.182949,-4.863253,-1.59079,-1.7874234,-2.032837,2.3678622,-0.33685794,12.387076,-2.3438911,-3.746209,-0.08127591,0.6928027,0.24328268,-2.3109088,1.6187823,-1.9971061,-0.110445976,-1.424049,1
9.0,9,-1.2682952,0.2233704,3.1622653,-4.8618417,-1.5872662,-1.7850363,-2.031206,2.3688648,-0.33564577,12.391404,-2.3402073,-3.7478845,-0.082477555,0.6901017,0.24444106,-2.3144062,1.6220038,-1.9937618,-0.11305341,-1.4205095,1
9.0,9,-1.2693881,0.2293983,3.1852002,-4.859036,-1.5893207,-1.7881141,-2.0307672,2.3691602,-0.33387634,12.390345,-2.3469744,-3.7480395,-0.07746431,0.68419325,0.23629996,-2.3138666,1.6183428,-1.9918284,-0.11814748,-1.4218043,1
9.0,9,-1.2713928,0.2258683,3.182753,-4.862889,-1.5904886,-1.7876072,-2.0323884,2.368239,-0.3355944,12.387793,-2.3445425,-3.7466521,-0.08084385,0.6913857,0.24206185,-2.311708,1.6189342,-1.9957297,-0.112040594,-1.4232,1
9.0,9,-1.2717038,0.22632019,3.1843822,-4.8626785,-1.5907757,-1.7876241,-2.032636,2.3679233,-0.3365908,12.387326,-2.3445039,-3.7463763,-0.080672786,0.6917232,0.24227178,-2.3110914,1.6185277,-1.9965742,-0.11137222,-1.4239435,1
8.0,8,-0.37703004,-2.3025522,-1.3559858,-1.563966,-0.5855006,-0.012575597,-0.5366934,-2.016257,12.046738,0.9147304,-0.67469597,-0.62145466,-0.54918736,-1.5324215,-1.1556493,-1.8362554,-2.25279,-3.1272376,-0.10474111,-0.83774316,1
