true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,prob_class_15,prob_class_16,prob_class_17,prob_class_18,prob_class_19,correct
18.0,18,-1.575467,-1.8101386,1.0014875,0.5396162,-3.5948582,-3.1484613,-0.37083215,-4.766846,1.9087859,0.5002156,-0.700943,1.0552366,1.6778358,3.2035785,-1.9353015,-3.430333,3.4494698,-1.168136,13.437304,2.6298568,1
18.0,18,-1.6172849,-1.8430066,0.9393355,0.57636213,-3.6267974,-3.1516612,-0.3902765,-4.806318,2.0579915,0.45354912,-0.6552729,1.1289958,1.7925614,3.1699448,-2.0009942,-3.4522293,3.3496091,-1.1299003,13.486361,2.6541214,1
18.0,18,-1.6283873,-1.8857008,0.91659856,0.59018326,-3.528737,-3.2214448,-0.57639325,-5.0356402,2.6477618,0.90411735,-0.59496135,0.944076,1.8277546,3.2481687,-2.1309862,-3.403018,2.7468128,-1.4088498,13.587524,3.0395405,1
18.0,18,-2.1469119,-1.8036685,0.25171447,0.571008,-3.9760776,-3.1841643,-0.4235446,-5.14314,4.2847633,0.4248623,-0.06351927,0.7283248,2.3027298,2.4761467,-2.430125,-3.422726,2.292653,-1.116787,13.6749115,3.297464,1
18.0,18,-1.7203984,-1.8705304,0.78134257,0.62525356,-3.7074525,-3.1435416,-0.41031894,-4.88469,2.421807,0.36793795,-0.54285794,1.1881119,1.985638,3.046008,-2.1145825,-3.477122,3.1537576,-1.0631772,13.583664,2.7330732,1
18.0,18,-1.617091,-1.8403618,0.9471066,0.57971644,-3.6331246,-3.1550965,-0.3760212,-4.8056545,2.0401535,0.45169663,-0.6578041,1.1251563,1.7878913,3.175952,-1.998244,-3.453902,3.3572767,-1.1288886,13.482419,2.6651518,1
0.0,0,13.393342,2.0595052,2.266888,-1.2136799,-0.19512984,-1.5053391,-2.3069158,1.3761277,-0.32691061,1.7986692,-0.82277024,-2.2330968,-1.8762587,-1.164447,-4.2126822,0.21360856,-2.0448732,-3.5561473,-1.058394,0.088009864,1
0.0,0,13.394785,2.060977,2.2623498,-1.2112058,-0.19510001,-1.5053755,-2.307554,1.3736963,-0.32648554,1.7910287,-0.8155336,-2.2358527,-1.877255,-1.164302,-4.2112308,0.21400103,-2.043552,-3.5548148,-1.0615098,0.08591204,1
0.0,0,13.392528,2.0614233,2.263197,-1.2146745,-0.20639923,-1.5062877,-2.3094263,1.3704677,-0.30978122,1.8061333,-0.8192347,-2.2401478,-1.8757923,-1.1646802,-4.21808,0.21251968,-2.0414732,-3.5501816,-1.0610329,0.08346524,1
0.0,0,13.395604,2.0287786,2.2314796,-1.2108794,-0.17801887,-1.5145142,-2.3257468,1.3621136,-0.3291709,1.7375323,-0.74940634,-2.2424994,-1.8985084,-1.149337,-4.1828914,0.23205003,-2.029288,-3.5567594,-1.0719804,0.074400544,1
0.0,0,13.395454,2.060762,2.259864,-1.2100962,-0.19439238,-1.5057015,-2.3082361,1.3725309,-0.32686204,1.7860295,-0.8108165,-2.2369773,-1.8782347,-1.1638141,-4.2097144,0.21457617,-2.0426507,-3.5544817,-1.0630103,0.08502379,1
0.0,0,13.394256,2.0610423,2.2648592,-1.2121066,-0.19555375,-1.5053995,-2.307003,1.374809,-0.32658795,1.794403,-0.81921524,-2.2347476,-1.8764472,-1.1645274,-4.2122216,0.21339867,-2.0442116,-3.5553372,-1.0602144,0.087294884,1
2.0,2,-0.5553443,-1.3701599,12.310182,0.59168017,-3.6390522,0.09167801,-2.853197,-1.8374978,2.81755,-1.683682,-1.1686027,-3.0645018,-0.08245565,1.2799954,2.5314243,-1.5139372,1.7701985,-1.1424782,0.09075851,-1.1213177,1
2.0,2,-0.5565888,-1.3698243,12.309734,0.59136343,-3.644351,0.091111615,-2.8563702,-1.8495488,2.8310237,-1.6755716,-1.1637914,-3.0607078,-0.08675058,1.2854937,2.5229278,-1.5189906,1.7744299,-1.1493036,0.1015813,-1.1158502,1
2.0,2,-0.55890065,-1.3690572,12.279709,0.59526455,-3.6450534,0.094135694,-2.8604443,-1.9051105,2.8738632,-1.7039944,-1.1437433,-3.0519493,-0.101509616,1.3025981,2.5193613,-1.5205941,1.7861183,-1.1581093,0.1515044,-1.1339052,1
2.0,2,-0.53894746,-1.368612,12.227921,0.61992365,-3.5507493,0.14904574,-2.8363178,-1.8439777,2.7775364,-1.8642194,-1.1585754,-3.1046076,-0.09351696,1.2705833,2.6393914,-1.4516298,1.7378974,-1.1285354,0.034320105,-1.2535303,1
2.0,2,-0.55459476,-1.3694583,12.299555,0.59681576,-3.6328812,0.100812905,-2.8543313,-1.8552728,2.830535,-1.697128,-1.1604549,-3.065455,-0.09066144,1.2863715,2.5348892,-1.5118009,1.7686276,-1.1530809,0.09567558,-1.1312478,1
2.0,2,-0.5551811,-1.3699759,12.306397,0.5935243,-3.637056,0.09557859,-2.854036,-1.8447049,2.823799,-1.6875585,-1.1650873,-3.0647573,-0.086211935,1.28288,2.5320232,-1.513514,1.7695138,-1.1475472,0.092618726,-1.1243868,1
9.0,9,-1.739861,0.54888916,6.248082,-2.6493976,-3.4188046,-0.6778087,-1.967762,-1.644183,2.7219913,12.738523,-2.918214,-2.2686403,-0.45399326,2.4079652,-2.6711447,-0.9730654,-0.1715749,0.49571633,-1.2181985,4.743979,1
9.0,9,-1.7405329,0.5504324,6.246475,-2.6490889,-3.4198098,-0.6782457,-1.9666712,-1.6454381,2.721804,12.7376585,-2.9180274,-2.2685409,-0.45457193,2.4099114,-2.6735404,-0.9744721,-0.17051546,0.49814227,-1.216074,4.7467,1
9.0,9,-1.7380309,0.5473545,6.2234187,-2.6450183,-3.4178507,-0.6806099,-1.9652743,-1.6445831,2.719016,12.746557,-2.9169562,-2.2659245,-0.4539803,2.4035926,-2.679124,-0.97202766,-0.16479719,0.49791571,-1.2113225,4.755041,1
9.0,9,-1.7379955,0.542141,6.24558,-2.6482973,-3.4184482,-0.6771126,-1.9707115,-1.6417035,2.7267413,12.741877,-2.9177852,-2.2677028,-0.45407596,2.3984385,-2.664732,-0.9625794,-0.17353602,0.48680437,-1.2242951,4.740238,1
9.0,9,-1.7403543,0.54905945,6.2469516,-2.6489594,-3.4201555,-0.6779894,-1.9673495,-1.645132,2.7234077,12.737767,-2.9179246,-2.2684257,-0.45480755,2.4080656,-2.671888,-0.9718948,-0.17120995,0.49616757,-1.2176341,4.745755,1
9.0,9,-1.7402667,0.5494328,6.2473836,-2.6491702,-3.4196415,-0.67800915,-1.9673178,-1.6449064,2.7224894,12.737887,-2.9180443,-2.2685418,-0.45451358,2.4085917,-2.6720161,-0.97296816,-0.17119105,0.49659202,-1.2174647,4.74539,1
8.0,8,-1.6864961,-0.445131,1.7227213,-1.7798412,-3.9416976,-1.1759295,-3.947305,-4.3462505,14.104574,2.622241,1.8827158,-2.59335,1.7942256,1.2612267,-2.028962,-1.6881115,-0.9839957,-0.72556573,-0.6602482,-1.0410813,1
8.0,8,-1.6869805,-0.44860193,1.7196641,-1.779284,-3.9332886,-1.1714977,-3.9435031,-4.341336,14.104003,2.6059833,1.8872374,-2.596326,1.806627,1.2570763,-2.0250149,-1.6859939,-0.9955258,-0.72953,-0.668973,-1.0434395,1
8.0,8,-1.7001371,-0.4336316,1.7485421,-1.7446597,-3.9363532,-1.1450862,-3.8964555,-4.361107,14.096544,2.5321784,1.9183712,-2.5657594,1.8430821,1.218259,-2.0304627,-1.7090734,-0.9963071,-0.76067823,-0.64576316,-1.1546557,1
8.0,8,-1.71086,-0.43696126,1.8318752,-1.7615873,-3.8782072,-1.0859703,-3.850939,-4.28644,14.0653925,2.5081863,1.8982214,-2.6429641,2.036693,1.1517781,-1.9790376,-1.7358531,-1.1276234,-0.83710873,-0.79254365,-1.2728499,1
8.0,8,-1.6872545,-0.45247436,1.7209728,-1.7790326,-3.9198146,-1.1634802,-3.9367058,-4.3318806,14.101875,2.5864356,1.8911352,-2.6053464,1.8337753,1.2479818,-2.0180037,-1.6853976,-1.016761,-0.7379893,-0.690002,-1.0504795,1
