true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,prob_class_15,prob_class_16,prob_class_17,prob_class_18,prob_class_19,correct
18.0,19,-0.6351725,-0.6406175,-2.943167,-1.9129817,1.3316201,-2.5266266,2.2937238,-2.2233112,1.0817909,0.50992686,0.45358756,-4.132718,3.3755934,-0.65531033,-2.7075584,-1.0235218,-0.9072284,-2.0920763,7.798339,9.680522,0
18.0,19,-0.65422666,-0.6443663,-2.9134374,-1.940486,1.2984664,-2.5352225,2.2219746,-2.1903894,1.0993174,0.5233952,0.42290446,-4.1093755,3.3513608,-0.58985466,-2.706252,-1.0178229,-0.8954034,-2.1054564,7.805549,9.752571,0
18.0,19,-0.71289325,-0.81851286,-2.5885944,-2.075108,1.069396,-2.5123732,2.0090487,-1.8802878,1.6879966,0.6935121,0.14657024,-4.0015607,3.442819,-0.29866797,-3.0005224,-1.0736237,-0.74514157,-2.4875576,6.878232,10.761588,0
18.0,19,-0.68022573,-1.4151783,-1.8987781,-2.2928367,1.1817704,-2.527115,0.11121469,-1.9801576,1.7515948,1.4103875,0.11249568,-3.2948735,3.783371,1.0910836,-3.0907469,-0.9564051,-0.2807914,-3.096101,4.8369627,11.739049,0
18.0,19,-0.6434884,-1.0224055,-2.5332203,-2.1335351,1.3152356,-2.6271,1.1606027,-2.1550934,1.352147,0.91723996,0.2775139,-3.816956,3.5967045,0.2003681,-2.8458614,-0.939427,-0.5544598,-2.5978677,6.6065936,10.880828,0
18.0,19,-0.6213529,-0.6646216,-2.9444468,-1.9056885,1.3592559,-2.5330024,2.2605872,-2.2503288,1.072216,0.5302161,0.4745436,-4.130495,3.4046152,-0.6419277,-2.7105763,-1.0233988,-0.898758,-2.1120708,7.744631,9.7002735,0
0.0,0,11.740356,3.0017314,1.688843,3.2026172,0.89925355,-3.159183,0.2277725,-0.48113772,1.2387769,-0.48444778,-0.90909386,-4.786272,-0.8108728,-4.1101537,-3.2396321,-0.6020407,0.6795336,-1.9032776,-3.208786,-1.2291448,1
0.0,0,11.738724,2.9940584,1.684432,3.2010393,0.90045315,-3.155952,0.22112185,-0.47905505,1.2432206,-0.4809044,-0.9027246,-4.78653,-0.81085753,-4.113274,-3.2382689,-0.6046406,0.68179065,-1.9048094,-3.212657,-1.2275643,1
0.0,0,11.77199,3.1839542,1.8551189,3.301008,0.84850717,-3.239351,0.37811378,-0.52461684,1.1147733,-0.58852196,-1.0875834,-4.757761,-0.79425246,-4.0156255,-3.277555,-0.5491705,0.60985833,-1.8714278,-3.115763,-1.3151557,1
0.0,0,11.790916,3.2981894,1.9518507,3.3508785,0.82546806,-3.2817566,0.46683487,-0.551663,1.0291531,-0.64520466,-1.1961851,-4.740635,-0.78182036,-3.9516253,-3.2970755,-0.5163076,0.5642359,-1.8510923,-3.0618718,-1.3692942,1
0.0,0,11.771294,3.174995,1.8513973,3.2992508,0.85226417,-3.2325227,0.35852706,-0.5264195,1.1370225,-0.5739855,-1.0764726,-4.764166,-0.79546374,-4.024002,-3.2747536,-0.56028235,0.6002349,-1.8716464,-3.1233804,-1.3049104,1
0.0,0,11.734692,2.9837003,1.6775649,3.2006822,0.89961797,-3.1536338,0.21350935,-0.47806782,1.2593092,-0.47750133,-0.89257395,-4.788977,-0.8128548,-4.120604,-3.2383897,-0.609317,0.6840354,-1.9062518,-3.2173042,-1.2221348,1
2.0,9,-0.52394176,0.42430085,7.2233405,-3.7557743,-4.038505,-1.6735698,-4.876151,-1.9115639,1.3501555,9.455514,-2.4792023,-1.368779,0.270407,2.4811141,1.9232976,-1.2011822,-0.043992918,-1.9604518,-1.2638762,0.26895398,0
2.0,9,-0.5237988,0.42401898,7.2226973,-3.7559235,-4.03844,-1.6735322,-4.8765383,-1.9115984,1.3503075,9.456146,-2.4789457,-1.3693587,0.2706109,2.480033,1.9240749,-1.2009957,-0.043953877,-1.9605758,-1.2637724,0.26940477,0
2.0,9,-0.5216615,0.42518896,7.2281327,-3.756082,-4.035737,-1.6716115,-4.8717175,-1.9107394,1.3439854,9.451765,-2.4771447,-1.3669935,0.27129376,2.485904,1.915772,-1.2015992,-0.046036687,-1.9597123,-1.2679513,0.26463407,0
2.0,9,-0.522267,0.42462778,7.2255754,-3.758115,-4.0372734,-1.6720226,-4.874531,-1.911329,1.3467058,9.452042,-2.4781418,-1.3714843,0.27490872,2.4853165,1.9189291,-1.2010201,-0.046446513,-1.961096,-1.2650176,0.26636958,0
2.0,9,-0.5236106,0.42547828,7.2284155,-3.7560134,-4.038465,-1.6732501,-4.874576,-1.9107506,1.3494017,9.451176,-2.4809341,-1.3684493,0.2713576,2.4855278,1.9199669,-1.2018623,-0.044890385,-1.9597595,-1.2643853,0.26752514,0
2.0,9,-0.5240754,0.42452747,7.2241273,-3.7556093,-4.0384684,-1.6736332,-4.8756475,-1.911556,1.3497524,9.454769,-2.479399,-1.3680565,0.27029896,2.482493,1.9221947,-1.2013874,-0.044087272,-1.9603126,-1.2641453,0.26851454,0
9.0,9,0.39962417,-1.6768137,3.2611327,-3.2461193,-2.0964565,-0.77714,-5.766048,-2.140411,0.16236289,11.770787,0.5384299,-1.6840961,1.5062959,-1.4836125,1.7706616,0.9892966,-0.40082836,-2.9017653,-2.2126677,0.34833622,1
9.0,9,0.3996231,-1.6768053,3.2611353,-3.2461257,-2.0964472,-0.777141,-5.766051,-2.1404116,0.16236264,11.770791,0.53841347,-1.6841033,1.5062953,-1.4836129,1.7706771,0.98930246,-0.40083063,-2.9017692,-2.2126648,0.34835595,1
9.0,9,0.3994288,-1.6773796,3.2601056,-3.2461746,-2.0963337,-0.77675885,-5.766114,-2.1402898,0.16221699,11.770827,0.5393523,-1.6839737,1.5062217,-1.483914,1.77033,0.98935467,-0.40064853,-2.901755,-2.2126698,0.3481108,1
9.0,9,0.39935187,-1.6776044,3.259751,-3.2461224,-2.0960953,-0.77640164,-5.766043,-2.1404126,0.16224931,11.770905,0.53970003,-1.6840203,1.5061396,-1.484014,1.7699509,0.98923826,-0.40066347,-2.901524,-2.2127266,0.34784287,1
9.0,9,0.39959866,-1.6768677,3.261029,-3.2461083,-2.0964162,-0.7770858,-5.766036,-2.1404345,0.16234049,11.770807,0.5384938,-1.6840937,1.5063202,-1.48356,1.7705405,0.98925173,-0.4008605,-2.901738,-2.212641,0.34830022,1
