true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,prob_class_15,prob_class_16,prob_class_17,prob_class_18,prob_class_19,correct
18.0,18,-1.8068178,-1.9779961,-0.99304956,-2.8192992,-1.915406,-2.687308,1.1629397,-2.9549742,2.2392936,-0.8131829,-0.0037776679,-0.32639313,1.517207,0.08047214,-0.15642363,-2.0469341,3.6888638,-3.7313998,12.428469,1.9574323,1
18.0,18,-1.8209293,-1.9824584,-0.98220617,-2.7685647,-1.967883,-2.666902,1.1051979,-2.987993,2.4012628,-0.8639132,0.0397571,-0.33219147,1.5475029,-0.041939568,-0.14229411,-2.0539763,3.6789067,-3.7117214,12.458534,2.015028,1
18.0,18,-1.9368585,-2.1523864,-0.83296233,-2.7045338,-2.0038843,-2.9000263,0.7405268,-3.4432554,3.1532762,-0.32509613,0.26587126,-0.25292015,1.4741551,-0.0022701472,-0.3403315,-2.0031483,3.21203,-3.6197739,12.645375,2.3018017,1
18.0,18,-2.379747,-2.058363,-0.9982184,-2.3746717,-2.7290027,-2.735008,0.14675009,-4.0775657,5.4227138,-0.13347,0.7571199,-0.43340412,1.2908468,-0.6551191,-0.39482796,-1.9028524,2.8196921,-3.2518878,12.374696,2.5872517,1
18.0,18,-1.8788152,-1.9850316,-1.0010203,-2.675366,-2.1031482,-2.6373918,0.9925757,-3.0991533,2.8108792,-0.9061734,0.15463044,-0.37409756,1.5858166,-0.2531419,-0.13625683,-2.0579424,3.6226907,-3.663882,12.506505,2.1298883,1
18.0,18,-1.8225766,-1.9819605,-0.9789625,-2.771141,-1.9662062,-2.6669016,1.1256368,-2.9823902,2.3842542,-0.8702931,0.037117105,-0.33464047,1.5468881,-0.036674228,-0.14550465,-2.0540545,3.6795037,-3.7154732,12.455347,2.0181644,1
0.0,0,12.605152,0.34737444,1.1777871,-3.9904587,0.9150374,-0.6398423,-2.771386,0.53631854,0.73220843,0.97495687,-2.0939884,-3.0104842,-0.9894865,-2.0306418,-0.8171683,1.7332817,-1.9376993,-3.0833967,-0.9421789,-1.8399183,1
0.0,0,12.606871,0.34668535,1.1766586,-3.9877653,0.9155757,-0.6371114,-2.773821,0.53552234,0.7365513,0.96830523,-2.0901852,-3.010738,-0.9891957,-2.0281239,-0.81509537,1.7290547,-1.9387304,-3.0805273,-0.94645613,-1.8432081,1
0.0,0,12.605284,0.34712806,1.1800663,-3.9864078,0.905281,-0.64829206,-2.7774615,0.52717197,0.7488168,0.97683835,-2.090654,-3.0106146,-0.97882533,-2.0326858,-0.81981117,1.7234778,-1.9328614,-3.0785673,-0.93555903,-1.8394765,1
0.0,0,12.610375,0.31796807,1.1768212,-3.9811847,0.92369896,-0.6359614,-2.7871978,0.53597903,0.75404465,0.91517836,-2.0557976,-2.9998455,-0.9862643,-2.0090609,-0.79147136,1.7122387,-1.9442791,-3.0743003,-0.9530571,-1.8471116,1
0.0,0,12.607795,0.34578657,1.1764864,-3.9864385,0.91619605,-0.63561773,-2.7750447,0.53538406,0.73839486,0.9637859,-2.0876787,-3.0105965,-0.9892032,-2.026449,-0.81358063,1.7267954,-1.9394284,-3.0791867,-0.94866246,-1.8445834,1
0.0,0,12.606344,0.34762865,1.1776699,-3.9886756,0.91499704,-0.6380222,-2.7726986,0.5357171,0.73475444,0.97131765,-2.0920172,-3.0109046,-0.9890732,-2.0292504,-0.816452,1.7302836,-1.9382663,-3.0815501,-0.9447697,-1.8416276,1
2.0,2,-0.19577873,-0.6738662,13.272505,0.37167925,-2.8010213,-1.6662542,-3.1450636,-0.34834552,2.5411863,-0.3841525,-1.3172411,-1.8596064,1.768139,1.1916254,-0.8748691,-1.9817358,-0.5518647,0.68680876,-1.3730392,-1.4400353,1
2.0,2,-0.1975673,-0.67293,13.274652,0.3650065,-2.8081646,-1.6657951,-3.1506004,-0.3560765,2.5539083,-0.36913013,-1.3149437,-1.8591946,1.7633947,1.1943779,-0.87625533,-1.9841961,-0.55235535,0.68212056,-1.3684652,-1.4336544,1
2.0,2,-0.20594342,-0.6892591,13.262296,0.34669167,-2.8173819,-1.6535432,-3.1608388,-0.36921027,2.603716,-0.41390768,-1.3034875,-1.8649415,1.7578918,1.2136109,-0.86843944,-1.9769429,-0.5471311,0.6705247,-1.3514546,-1.4254497,1
2.0,2,-0.18702912,-0.7372685,13.2000675,0.3832804,-2.6972558,-1.630663,-3.095189,-0.28881273,2.5307565,-0.6446807,-1.3251708,-1.9124466,1.7783569,1.2482347,-0.8310433,-1.9520385,-0.54150844,0.7253541,-1.4346008,-1.550756,1
