true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,prob_class_15,prob_class_16,prob_class_17,prob_class_18,prob_class_19,correct
18.0,18,-1.1024611,0.96565574,-1.4487975,-1.4866269,-1.6190261,-2.0983284,0.16822258,-1.6568677,-0.2216787,-0.3605609,-1.7031381,-2.200903,0.15972266,0.32972163,-1.087409,0.78687334,-0.39139706,0.24826735,13.586107,1.7637364,1
18.0,18,-1.1122334,0.97533625,-1.4322987,-1.5077385,-1.6318301,-2.0915625,0.12512247,-1.6222465,-0.2129874,-0.36424154,-1.7079403,-2.183224,0.12484257,0.35252208,-1.0730534,0.7854956,-0.38676453,0.24982208,13.594059,1.7543789,1
18.0,18,-1.1681075,0.7279157,-1.2299571,-1.8613876,-1.54836,-2.0752962,0.1374185,-1.4436913,0.1458394,-0.29901385,-1.6933573,-2.3518078,0.8442061,-0.032051064,-1.1683891,0.5985988,-0.59549993,-0.07178774,13.70583,2.7860415,1
18.0,18,-1.2900095,-0.122890934,-0.7464599,-2.594837,-1.1762546,-1.9297268,-1.4344981,-1.8825607,0.26852438,0.41233864,-1.840361,-2.4739604,2.8543148,1.0599813,-1.3108567,0.075115785,-0.7127446,-0.70488095,13.064675,5.549511,1
18.0,18,-1.1436939,0.6575546,-1.0826545,-1.891911,-1.4268086,-2.0510654,-0.51502067,-1.700144,-0.05876843,-0.12390301,-1.7835121,-2.3123944,0.95778954,0.6388392,-1.0979965,0.47097635,-0.5431925,-0.00047077984,13.649342,2.9539459,1
18.0,18,-1.0980175,0.94927037,-1.4370372,-1.4846636,-1.6055573,-2.093681,0.14244562,-1.6871446,-0.22758469,-0.34716412,-1.7053363,-2.2081444,0.20407233,0.3549092,-1.0925199,0.770554,-0.40228057,0.24726358,13.584475,1.7873563,1
0.0,0,9.087494,-0.30631214,-0.96691424,1.4124454,0.81465197,-4.2590165,2.7472587,0.35053062,1.4224752,-1.3779143,1.5423332,-5.4614434,-0.9951141,-5.773478,-3.958463,1.3859446,2.721532,-3.4349518,-0.9544474,1.5599155,1
0.0,0,9.081081,-0.31306538,-0.9703625,1.4064484,0.8127021,-4.2558455,2.7411807,0.35695058,1.4260954,-1.379656,1.546937,-5.4591975,-0.996035,-5.7755704,-3.9557352,1.3878089,2.724457,-3.4359949,-0.9535469,1.5679089,1
0.0,0,9.261681,-0.1294681,-0.8571709,1.5825487,0.8432584,-4.3148613,2.9034142,0.2138597,1.3032595,-1.3456081,1.4021485,-5.5491395,-0.93433017,-5.702857,-4.033018,1.3260412,2.6338742,-3.414968,-0.96237236,1.3074727,1
0.0,0,9.382411,-0.010385413,-0.78575796,1.6911446,0.8676659,-4.34041,3.00084,0.12808608,1.21867,-1.3130511,1.303798,-5.6092186,-0.90005445,-5.6543283,-4.0811567,1.2846413,2.5732405,-3.3993373,-0.9768429,1.141558,1
