true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,correct
5.0,5,0.010751329,-2.4492908,-0.6762744,-0.9233325,-1.0703527,10.530098,1
5.0,5,0.010751359,-2.4492908,-0.67627454,-0.92333233,-1.0703528,10.530099,1
5.0,5,0.010751262,-2.4492905,-0.6762746,-0.92333233,-1.0703527,10.530099,1
5.0,5,0.0107513815,-2.4492905,-0.6762745,-0.92333233,-1.0703527,10.530098,1
5.0,5,0.010751426,-2.4492908,-0.67627436,-0.9233326,-1.0703527,10.530098,1
5.0,5,0.010751359,-2.4492908,-0.6762746,-0.9233326,-1.0703527,10.530098,1
4.0,4,-3.6508772,-4.4144835,-4.805095,4.5329556,5.727476,-3.7207153,1
4.0,4,-3.6508772,-4.414483,-4.805095,4.5329556,5.727475,-3.7207153,1
4.0,4,-3.6508772,-4.4144826,-4.805095,4.5329556,5.727475,-3.7207153,1
4.0,4,-3.6508772,-4.414483,-4.8050947,4.5329556,5.7274756,-3.7207153,1
4.0,4,-3.6508772,-4.414483,-4.805095,4.5329556,5.727475,-3.7207153,1
4.0,4,-3.6508772,-4.4144835,-4.805095,4.5329556,5.727475,-3.7207153,1
1.0,1,-0.9596644,8.423298,-2.200119,-1.5659195,-2.4188585,-1.1909063,1
1.0,1,-0.9596639,8.423298,-2.2001188,-1.5659198,-2.4188585,-1.1909062,1
1.0,1,-0.9596643,8.423299,-2.2001185,-1.5659195,-2.4188588,-1.190906,1
1.0,1,-0.9596644,8.423298,-2.2001188,-1.5659195,-2.4188583,-1.190906,1
1.0,1,-0.9596645,8.423298,-2.2001188,-1.5659193,-2.4188585,-1.190906,1
1.0,1,-0.95966464,8.423298,-2.2001185,-1.5659192,-2.418858,-1.1909059,1
3.0,3,-2.5076666,-2.4273405,-2.1429381,7.2582746,-0.3347883,-3.278177,1
3.0,3,-2.5076666,-2.4273405,-2.1429384,7.258273,-0.33478826,-3.278177,1
3.0,3,-2.5076666,-2.4273407,-2.1429384,7.258274,-0.33478832,-3.278177,1
3.0,3,-2.5076666,-2.4273405,-2.1429384,7.258273,-0.33478823,-3.278177,1
3.0,3,-2.5076663,-2.4273405,-2.1429384,7.258273,-0.33478832,-3.278177,1
3.0,3,-2.5076666,-2.4273405,-2.1429381,7.258274,-0.3347883,-3.278177,1
3.0,3,-3.1767588,-4.417126,-4.365356,5.978254,4.49693,-3.2004795,1
3.0,3,-3.1767585,-4.417127,-4.365356,5.9782534,4.496931,-3.20048,1
3.0,3,-3.1767585,-4.4171267,-4.365356,5.978254,4.49693,-3.20048,1
3.0,3,-3.1767588,-4.4171267,-4.365356,5.9782534,4.4969306,-3.2004795,1
3.0,3,-3.1767585,-4.417126,-4.365356,5.9782534,4.49693,-3.2004795,1
3.0,3,-3.1767585,-4.417127,-4.365356,5.9782534,4.4969306,-3.20048,1
5.0,5,-1.051489,-3.01474,1.3633916,-0.6312648,-1.2689892,10.390493,1
5.0,5,-1.0514891,-3.01474,1.3633915,-0.6312647,-1.2689892,10.390494,1
5.0,5,-1.0514891,-3.0147402,1.363392,-0.6312647,-1.2689892,10.390493,1
5.0,5,-1.0514891,-3.01474,1.3633914,-0.63126487,-1.2689893,10.390493,1
5.0,5,-1.051489,-3.01474,1.3633915,-0.6312647,-1.2689893,10.390493,1
5.0,5,-1.0514891,-3.01474,1.3633918,-0.6312647,-1.2689893,10.390493,1
3.0,3,-3.049283,-3.833822,-4.02621,7.3752365,2.7374146,-3.8423803,1
3.0,3,-3.0492833,-3.833822,-4.0262094,7.375236,2.7374146,-3.8423803,1
3.0,3,-3.0492833,-3.8338225,-4.02621,7.3752365,2.7374141,-3.8423803,1
3.0,3,-3.0492833,-3.833822,-4.02621,7.375236,2.7374148,-3.8423803,1
3.0,3,-3.049283,-3.8338225,-4.02621,7.3752365,2.7374146,-3.8423803,1
3.0,3,-3.049283,-3.8338225,-4.0262094,7.3752365,2.7374146,-3.8423803,1
1.0,1,-0.05027388,8.743932,-2.1806464,-2.2930803,-2.3445299,-1.9407679,1
1.0,1,-0.050273806,8.743933,-2.1806464,-2.2930799,-2.3445299,-1.9407681,1
1.0,1,-0.050273895,8.743933,-2.1806464,-2.2930799,-2.3445299,-1.9407681,1
1.0,1,-0.050273716,8.743933,-2.1806467,-2.2930803,-2.3445294,-1.9407681,1
1.0,1,-0.050273255,8.743932,-2.1806467,-2.2930803,-2.3445294,-1.9407681,1
1.0,1,-0.050273366,8.743932,-2.1806467,-2.2930803,-2.3445299,-1.9407679,1
3.0,3,-2.1685307,-2.6685038,-1.1584448,7.138963,-0.7920963,-3.4883726,1
3.0,3,-2.168531,-2.6685038,-1.158445,7.138963,-0.79209614,-3.4883726,1
3.0,3,-2.1685307,-2.6685042,-1.158445,7.138963,-0.79209626,-3.4883726,1
3.0,3,-2.1685307,-2.6685038,-1.1584449,7.138963,-0.79209626,-3.4883726,1
3.0,3,-2.1685307,-2.6685038,-1.1584449,7.1389627,-0.79209626,-3.488373,1
3.0,3,-2.1685307,-2.668504,-1.1584446,7.1389627,-0.7920963,-3.488373,1
0.0,0,7.933444,0.612398,-1.4632448,-3.7908561,-1.2440991,-3.2339263,1
0.0,0,7.933445,0.61239725,-1.4632431,-3.7908561,-1.2440991,-3.2339263,1
0.0,0,7.933445,0.6123977,-1.4632441,-3.7908561,-1.2440989,-3.2339263,1
0.0,0,7.933445,0.6123973,-1.4632434,-3.7908561,-1.2440994,-3.2339263,1
0.0,0,7.933444,0.6123974,-1.4632436,-3.7908561,-1.2440994,-3.2339268,1
0.0,0,7.933445,0.6123974,-1.4632438,-3.7908561,-1.2440989,-3.2339263,1
1.0,1,-1.0721239,8.531399,-2.0197341,-1.8229995,-2.3096728,-1.4202094,1
1.0,1,-1.0721236,8.531398,-2.0197337,-1.8229996,-2.309673,-1.4202095,1
1.0,1,-1.0721239,8.531399,-2.0197341,-1.8230001,-2.309673,-1.4202094,1
1.0,1,-1.0721239,8.531399,-2.0197344,-1.8229994,-2.309673,-1.4202095,1
1.0,1,-1.0721238,8.531398,-2.0197341,-1.8229995,-2.309673,-1.4202096,1
1.0,1,-1.0721239,8.531398,-2.019734,-1.8229995,-2.3096728,-1.4202095,1
2.0,2,-0.86861724,-1.9192542,8.878483,-2.65325,-1.1951647,-1.7241789,1
2.0,2,-0.868618,-1.919254,8.878483,-2.653249,-1.1951647,-1.7241799,1
2.0,2,-0.868618,-1.9192542,8.878484,-2.653249,-1.1951647,-1.7241803,1
2.0,2,-0.86861825,-1.9192542,8.878484,-2.6532485,-1.1951646,-1.7241803,1
2.0,2,-0.8686174,-1.9192542,8.878484,-2.653249,-1.1951649,-1.7241803,1
2.0,2,-0.86861694,-1.919254,8.878484,-2.6532502,-1.1951646,-1.7241796,1
3.0,3,-3.0000846,-4.687207,-4.144338,5.958607,4.473809,-3.2543387,1
3.0,3,-3.0000849,-4.687207,-4.1443386,5.958607,4.473809,-3.2543385,1
3.0,3,-3.0000849,-4.6872067,-4.1443386,5.958607,4.473808,-3.254338,1
3.0,3,-3.0000849,-4.687207,-4.1443386,5.958607,4.4738083,-3.2543385,1
3.0,3,-3.000085,-4.687207,-4.144338,5.958607,4.4738083,-3.254338,1
3.0,3,-3.0000846,-4.687207,-4.144338,5.958607,4.473809,-3.2543387,1
2.0,2,-0.41092455,-1.8382009,8.836222,-3.037235,-1.1808692,-1.7179159,1
2.0,2,-0.41092807,-1.8382027,8.83622,-3.0372303,-1.1808681,-1.7179191,1
2.0,2,-0.41092795,-1.8382025,8.83622,-3.0372303,-1.1808678,-1.7179205,1
2.0,2,-0.41092885,-1.8382032,8.83622,-3.0372288,-1.1808673,-1.7179215,1
2.0,2,-0.41092765,-1.8382027,8.83622,-3.0372303,-1.180868,-1.7179205,1
2.0,2,-0.41092736,-1.8382027,8.836221,-3.0372312,-1.1808683,-1.7179196,1
3.0,3,-3.4744732,-3.2661653,-4.7575316,6.406755,3.4841068,-3.1429052,1
3.0,3,-3.474473,-3.266165,-4.7575316,6.4067545,3.4841063,-3.1429052,1
3.0,3,-3.4744732,-3.266165,-4.7575316,6.406755,3.4841065,-3.142905,1
3.0,3,-3.4744732,-3.2661653,-4.757532,6.406755,3.4841065,-3.1429052,1
3.0,3,-3.474473,-3.266165,-4.7575316,6.4067554,3.4841068,-3.1429052,1
3.0,3,-3.4744732,-3.266165,-4.757532,6.4067554,3.4841063,-3.1429052,1
5.0,5,-0.86212206,-2.8302324,0.80638874,0.036208034,-1.4326928,10.026002,1
5.0,5,-0.86212194,-2.8302324,0.8063886,0.036208004,-1.4326928,10.026002,1
5.0,5,-0.8621219,-2.8302321,0.80638874,0.036208123,-1.4326925,10.026002,1
5.0,5,-0.86212194,-2.8302324,0.8063886,0.03620799,-1.4326928,10.026002,1
5.0,5,-0.86212206,-2.8302324,0.80638874,0.036208034,-1.4326928,10.026002,1
5.0,5,-0.8621219,-2.8302326,0.8063886,0.036208063,-1.4326928,10.026002,1
4.0,4,-3.4239643,-4.1667795,-4.7786202,3.7270072,6.0572276,-3.7432148,1
4.0,4,-3.423964,-4.1667795,-4.7786202,3.7270072,6.0572276,-3.743215,1
