true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,correct
0.0,6,-4.8146996,-1.5441086,0.5224241,1.1788868,-2.7374213,0.041304804,7.997021,0.61216176,0
0.0,6,-4.8134027,-1.6054958,0.42853162,1.0968534,-2.8022492,0.18804288,7.9697733,0.84517705,0
0.0,6,-4.6994424,-1.4667529,0.43923947,1.2289124,-2.813155,0.1653434,8.010819,0.4879864,0
0.0,6,-4.667659,-1.4144092,0.403605,1.3021817,-2.820072,0.15954709,8.02077,0.35101688,0
0.0,6,-4.7144957,-1.521576,0.47717848,1.1852115,-2.7928915,0.10898397,8.023482,0.5702083,0
0.0,6,-4.7892427,-1.5446963,0.53024644,1.173469,-2.7463686,0.039985202,8.005431,0.6080119,0
5.0,5,-0.60074717,-1.3377764,-4.5861316,-1.9848044,2.054047,7.3772683,-0.289446,2.129454,1
5.0,5,-0.046513148,-1.380272,-4.5064907,-2.0531983,2.0377398,7.1594048,-0.40282208,2.0414028,1
5.0,5,0.10755142,-1.4120195,-4.5425143,-2.1187952,2.1632552,7.192855,-0.3758974,1.7887017,1
5.0,5,-0.267265,-1.3827262,-4.405608,-2.0305982,2.0130713,7.127618,-0.41534305,2.1874626,1
5.0,5,-0.4769211,-1.3798834,-4.4050007,-2.007795,2.0331123,7.2029595,-0.39096743,2.2076194,1
5.0,5,-0.5931147,-1.3136455,-4.597165,-1.964112,2.0113175,7.369692,-0.31087583,2.1703556,1
0.0,0,8.624498,-4.0697165,0.7386675,-1.3375928,-2.88318,-0.45736387,2.2556612,-1.4264355,1
0.0,0,8.782888,-3.9095392,0.5087387,-1.4609295,-3.0027292,-0.6250164,2.055384,-1.0720958,1
0.0,0,8.835119,-3.2791116,0.84434026,-1.0634099,-3.1093633,-1.390838,1.9311057,-1.6537347,1
0.0,0,8.63698,-2.7868376,1.5949135,-0.68190014,-3.1731005,-1.9799701,1.8426162,-2.368051,1
0.0,0,7.9635854,-3.3399792,2.5444698,-0.4123048,-3.033654,-1.4674623,2.0209367,-2.9272118,1
0.0,0,8.201734,-3.7649708,1.7819338,-0.69575536,-2.9198713,-0.8890925,2.3281193,-2.5427017,1
2.0,4,-3.7277024,-3.5014124,3.0149815,1.0239422,4.7484,-3.9370873,-1.3861768,2.0204608,0
2.0,4,-3.5800233,-3.8873832,3.123051,1.4251829,4.222173,-3.6511195,-1.4055102,2.0582273,0
2.0,4,-3.6153057,-4.053248,3.3256714,1.5252882,3.8023329,-3.581281,-1.3405315,2.314646,0
2.0,4,-3.8317578,-3.8681695,3.1717265,1.4006591,3.9138687,-3.593937,-1.3804592,2.528419,0
2.0,4,-3.650025,-3.7959502,3.1055067,1.3150495,4.2978535,-3.7181265,-1.4018692,2.1491938,0
