true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,correct
4.0,7,-2.6249247,-2.4665234,-0.26500803,-1.9813815,0.75276893,-0.87030506,3.108938,5.3085475,-0.8174972,0.5159949,0
4.0,7,-2.6249251,-2.4665232,-0.2650082,-1.9813815,0.75276893,-0.8703053,3.1089373,5.3085485,-0.8174965,0.51599514,0
4.0,7,-2.6249251,-2.4665232,-0.26500824,-1.9813815,0.7527692,-0.8703057,3.108937,5.3085485,-0.8174965,0.5159953,0
4.0,7,-2.6249247,-2.4665236,-0.26500827,-1.9813818,0.752769,-0.870306,3.108939,5.3085475,-0.81749696,0.5159955,0
4.0,7,-2.6249247,-2.4665241,-0.26500815,-1.9813818,0.7527694,-0.87030613,3.1089396,5.308548,-0.81749725,0.51599514,0
4.0,7,-2.6249247,-2.466524,-0.26500794,-1.9813806,0.7527681,-0.87030494,3.108939,5.3085485,-0.8174971,0.51599514,0
4.0,6,-0.9709133,-1.3883963,0.2891303,-1.6189348,0.88003147,-0.711373,5.7929277,2.3421547,-3.0273201,-0.23687878,0
4.0,6,-0.9709166,-1.3883967,0.28913015,-1.618935,0.88002956,-0.7113727,5.792926,2.3421588,-3.0273197,-0.2368761,0
4.0,6,-0.9709194,-1.3883963,0.2891323,-1.6189333,0.88002443,-0.7113717,5.7929277,2.3421597,-3.027319,-0.23687384,0
4.0,6,-0.97091186,-1.388397,0.28913695,-1.6189328,0.8800269,-0.7113726,5.792928,2.3421495,-3.027319,-0.23688036,0
4.0,6,-0.9709302,-1.388403,0.28913862,-1.6189309,0.88001066,-0.7113677,5.7929273,2.34217,-3.0273166,-0.23686725,0
4.0,6,-0.97091234,-1.3883951,0.28912944,-1.6189344,0.88003284,-0.7113733,5.7929277,2.342154,-3.0273201,-0.23688,0
4.0,4,0.2727916,0.48752424,-2.893126,-2.043937,5.629465,-2.2976768,0.4733256,1.3041567,-1.3545114,-0.6574077,1
4.0,4,0.27278772,0.48752418,-2.893126,-2.0439374,5.629466,-2.297678,0.47332248,1.3041605,-1.3545094,-0.65740407,1
4.0,4,0.27278742,0.48752323,-2.8931255,-2.0439377,5.629465,-2.297677,0.4733236,1.3041615,-1.3545102,-0.65740395,1
4.0,4,0.27277383,0.48751715,-2.8931258,-2.0439396,5.6294627,-2.2976754,0.47331762,1.304175,-1.3545042,-0.65739363,1
4.0,4,0.27277988,0.48752645,-2.8931303,-2.0439372,5.629466,-2.297679,0.47331378,1.3041675,-1.3545059,-0.65739626,1
