lr,weight_decay,lambda2,grad_clip_norm,accuracy,f1_score
0.0001,0.0001,0.001,0.5,ERROR,ERROR
0.0001,0.0005,0.001,0.5,ERROR,ERROR
0.0003,0.0001,0.001,0.5,ERROR,ERROR
0.0003,0.0005,0.001,0.5,ERROR,ERROR
0.0001,0.0001,0.005,0.5,ERROR,ERROR
0.0001,0.0005,0.005,0.5,ERROR,ERROR
0.0003,0.0001,0.005,0.5,ERROR,ERROR
0.0003,0.0005,0.005,0.5,ERROR,ERROR
0.0001,0.0001,0.001,1.0,ERROR,ERROR
0.0001,0.0005,0.001,1.0,ERROR,ERROR
0.0003,0.0001,0.001,1.0,ERROR,ERROR
0.0003,0.0005,0.001,1.0,ERROR,ERROR
0.0001,0.0001,0.005,1.0,ERROR,ERROR
0.0001,0.0005,0.005,1.0,ERROR,ERROR
0.0003,0.0001,0.005,1.0,ERROR,ERROR
0.0003,0.0005,0.005,1.0,ERROR,ERROR
