lr,weight_decay,lambda2,grad_clip_norm,accuracy,f1_score
0.0001,0.0001,0.001,0.5,0.6283524904214559,0.5986515322779626
0.0001,0.0005,0.001,0.5,0.6264367816091954,0.5957839353210954
0.0003,0.0001,0.001,0.5,0.5977011494252874,0.552221076250568
0.0003,0.0005,0.001,0.5,0.6245210727969349,0.577441849667266
0.0001,0.0001,0.005,0.5,0.6283524904214559,0.5986515322779626
0.0001,0.0005,0.005,0.5,0.6264367816091954,0.5957839353210954
0.0003,0.0001,0.005,0.5,0.5977011494252874,0.552221076250568
0.0003,0.0005,0.005,0.5,0.6245210727969349,0.577441849667266
0.0001,0.0001,0.001,1.0,0.6226053639846744,0.5891678088693569
0.0001,0.0005,0.001,1.0,0.6245210727969349,0.5905030179387556
0.0003,0.0001,0.001,1.0,0.6379310344827587,0.6080293035622927
0.0003,0.0005,0.001,1.0,0.6245210727969349,0.5780352856792093
0.0001,0.0001,0.005,1.0,0.6226053639846744,0.5891678088693569
0.0001,0.0005,0.005,1.0,0.6245210727969349,0.5905030179387556
0.0003,0.0001,0.005,1.0,0.6379310344827587,0.6080293035622927
0.0003,0.0005,0.005,1.0,0.6245210727969349,0.5780352856792093
