lr,weight_decay,lambda2,grad_clip_norm,accuracy,f1_score
0.0001,0.0001,0.001,0.5,0.05487249544626594,0.01863697897679826
0.0001,0.0005,0.001,0.5,0.05487249544626594,0.01863697897679826
0.0003,0.0001,0.001,0.5,0.10223132969034608,0.06483025191747346
0.0003,0.0005,0.001,0.5,0.10223132969034608,0.06483025191747346
0.0001,0.0001,0.005,0.5,0.05487249544626594,0.01863697897679826
0.0001,0.0005,0.005,0.5,0.05487249544626594,0.01863697897679826
0.0003,0.0001,0.005,0.5,0.10223132969034608,0.06483025191747346
0.0003,0.0005,0.005,0.5,ERROR,ERROR
0.0001,0.0001,0.001,1.0,0.05487249544626594,0.01863697897679826
0.0001,0.0005,0.001,1.0,ERROR,ERROR
0.0003,0.0001,0.001,1.0,0.10223132969034608,0.06483025191747346
0.0003,0.0005,0.001,1.0,ERROR,ERROR
0.0001,0.0001,0.005,1.0,0.05487249544626594,0.01863697897679826
0.0001,0.0005,0.005,1.0,ERROR,ERROR
0.0003,0.0001,0.005,1.0,0.10223132969034608,0.06483025191747346
0.0003,0.0005,0.005,1.0,ERROR,ERROR
