batch_size,lr,n_epochs,lambda2,accuracy,f1_score
256,0.0001,200,0.001,0.24074074074074073,0.2257143794901633
256,0.0001,500,0.001,0.32336182336182334,0.3070607223247822
256,0.0001,1000,0.001,0.5982905982905983,0.6034577737664567
256,0.001,200,0.001,0.6623931623931624,0.6632679516910343
256,0.001,500,0.001,0.7450142450142451,0.7593440766520606
256,0.001,1000,0.001,0.7578347578347578,0.7680031158913317
256,0.005,200,0.001,0.7264957264957265,0.7406949292954964
256,0.005,500,0.001,0.7849002849002849,0.7887024614514542
256,0.005,1000,0.001,0.7136752136752137,0.7252454885240184
256,0.0001,200,0.005,0.24074074074074073,0.2257143794901633
256,0.0001,500,0.005,0.32336182336182334,0.3070607223247822
256,0.0001,1000,0.005,0.5982905982905983,0.6034577737664567
256,0.001,200,0.005,0.6623931623931624,0.6632679516910343
256,0.001,500,0.005,0.7450142450142451,0.7593440766520606
256,0.001,1000,0.005,0.7578347578347578,0.7680031158913317
256,0.005,200,0.005,0.7264957264957265,0.7406949292954964
256,0.005,500,0.005,0.7849002849002849,0.7887024614514542
256,0.005,1000,0.005,0.7136752136752137,0.7252454885240184
256,0.0001,200,0.01,0.24074074074074073,0.2257143794901633
256,0.0001,500,0.01,0.32336182336182334,0.3070607223247822
256,0.0001,1000,0.01,0.5982905982905983,0.6034577737664567
256,0.001,200,0.01,0.6623931623931624,0.6632679516910343
256,0.001,500,0.01,0.7450142450142451,0.7593440766520606
256,0.001,1000,0.01,0.7578347578347578,0.7680031158913317
256,0.005,200,0.01,0.7264957264957265,0.7406949292954964
256,0.005,500,0.01,0.7849002849002849,0.7887024614514542
256,0.005,1000,0.01,0.7136752136752137,0.7252454885240184
