batch_size,lr,n_epochs,warmup,lambda2,accuracy,f1_score
64,0.0001,200,0.1,0.001,0.33760683760683763,0.3225194094984569
64,0.0001,200,0.2,0.001,0.33760683760683763,0.3225194094984569
64,0.0001,500,0.1,0.001,0.6495726495726496,0.6590878339642982
64,0.0001,500,0.2,0.001,0.6495726495726496,0.6590878339642982
64,0.0001,1000,0.1,0.001,0.6752136752136753,0.6831519595313722
64,0.0001,1000,0.2,0.001,0.6752136752136753,0.6831519595313722
64,0.001,200,0.1,0.001,0.7350427350427351,0.7427936290646434
64,0.001,200,0.2,0.001,0.7350427350427351,0.7427936290646434
64,0.001,500,0.1,0.001,0.7863247863247863,0.7925564181958044
64,0.001,500,0.2,0.001,0.7863247863247863,0.7925564181958044
64,0.001,1000,0.1,0.001,0.7492877492877493,0.7632232835492564
64,0.001,1000,0.2,0.001,0.7492877492877493,0.7632232835492564
64,0.005,200,0.1,0.001,0.7806267806267806,0.787894575124476
64,0.005,200,0.2,0.001,0.7806267806267806,0.787894575124476
64,0.005,500,0.1,0.001,0.7806267806267806,0.787894575124476
64,0.005,500,0.2,0.001,0.7806267806267806,0.787894575124476
64,0.005,1000,0.1,0.001,0.7806267806267806,0.787894575124476
64,0.005,1000,0.2,0.001,0.7806267806267806,0.787894575124476
