batch_size,lr,n_epochs,lambda2,accuracy,f1_score
64,0.0001,500,0.001,0.7328042328042328,0.7150052888864835
64,0.0001,1000,0.001,0.6904761904761905,0.6714536990044256
64,0.001,500,0.001,0.6957671957671958,0.6863597625304133
64,0.001,1000,0.001,0.6957671957671958,0.6863597625304133
64,0.005,500,0.001,0.23015873015873015,0.19471691016042822
64,0.005,1000,0.001,0.3888888888888889,0.3570524022010918
64,0.0001,500,0.005,0.7328042328042328,0.7150052888864835
64,0.0001,1000,0.005,0.6904761904761905,0.6714536990044256
64,0.001,500,0.005,0.6957671957671958,0.6863597625304133
64,0.001,1000,0.005,0.6957671957671958,0.6863597625304133
64,0.005,500,0.005,0.23015873015873015,0.19471691016042822
64,0.005,1000,0.005,0.3888888888888889,0.3570524022010918
64,0.0001,500,0.01,0.7328042328042328,0.7150052888864835
64,0.0001,1000,0.01,0.6904761904761905,0.6714536990044256
64,0.001,500,0.01,0.6957671957671958,0.6863597625304133
64,0.001,1000,0.01,0.6957671957671958,0.6863597625304133
64,0.005,500,0.01,0.23015873015873015,0.19471691016042822
64,0.005,1000,0.01,0.3888888888888889,0.3570524022010918
