lr,weight_decay,lambda2,grad_clip_norm,accuracy,f1_score
0.0001,0.0001,0.001,0.5,0.41885964912280704,0.30978002923849424
0.0001,0.0005,0.001,0.5,0.4342105263157895,0.3323417961348996
0.0003,0.0001,0.001,0.5,0.4517543859649123,0.34153775641580525
0.0003,0.0005,0.001,0.5,0.3969298245614035,0.30908455870307483
0.0001,0.0001,0.005,0.5,0.41885964912280704,0.30978002923849424
0.0001,0.0005,0.005,0.5,0.4342105263157895,0.3323417961348996
0.0003,0.0001,0.005,0.5,0.4517543859649123,0.34153775641580525
0.0003,0.0005,0.005,0.5,0.3969298245614035,0.30908455870307483
0.0001,0.0001,0.001,1.0,0.4166666666666667,0.31459714895119245
0.0001,0.0005,0.001,1.0,0.4166666666666667,0.31459714895119245
0.0003,0.0001,0.001,1.0,0.44298245614035087,0.34952107468766125
0.0003,0.0005,0.001,1.0,0.4407894736842105,0.32116738167712683
0.0001,0.0001,0.005,1.0,0.4166666666666667,0.31459714895119245
0.0001,0.0005,0.005,1.0,0.4166666666666667,0.31459714895119245
0.0003,0.0001,0.005,1.0,0.44298245614035087,0.34952107468766125
0.0003,0.0005,0.005,1.0,0.4407894736842105,0.32116738167712683
