true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,correct
11.0,11,1.6798935,0.9330494,2.3033588,-2.5093036,-4.603348,-10.029344,-6.041399,-0.86699086,0.49473011,-3.8432176,5.8121386,10.679036,1
11.0,11,1.6836213,0.93645215,2.295239,-2.5183728,-4.6088343,-10.029109,-6.031796,-0.85774106,0.49120343,-3.8429196,5.817831,10.675608,1
11.0,11,1.6830697,0.93622005,2.299158,-2.513587,-4.607071,-10.031573,-6.0367126,-0.8624317,0.49172622,-3.8454823,5.816417,10.679296,1
11.0,11,1.677231,0.93062437,2.3082023,-2.5039344,-4.599739,-10.028442,-6.047002,-0.872464,0.49719936,-3.8424888,5.8080897,10.680208,1
11.0,11,1.6849189,0.9379416,2.2956712,-2.517319,-4.608513,-10.030614,-6.032652,-0.8586057,0.48987758,-3.8446763,5.817555,10.677136,1
11.0,11,1.6820478,0.9352367,2.3001215,-2.512639,-4.6060514,-10.030346,-6.0376964,-0.86345154,0.49266905,-3.844346,5.815008,10.678652,1
5.0,5,-5.0131164,-2.6980007,-3.7961028,0.08717201,6.878491,12.48857,3.0801477,-2.0363822,1.9447229,6.4853845,-4.556744,-8.752554,1
5.0,5,-4.976619,-2.627722,-3.7990468,0.12132297,6.9176946,12.456429,3.0419312,-2.0497227,1.882587,6.4248896,-4.575702,-8.7138405,1
5.0,5,-5.0406694,-2.7115262,-3.774131,0.10758809,6.925869,12.4961815,3.0298882,-2.0605698,1.9578271,6.497987,-4.576242,-8.746296,1
5.0,5,-5.0160265,-2.705809,-3.7783892,0.10672746,6.8810854,12.497529,3.0839894,-2.0383673,1.9494905,6.490472,-4.5768023,-8.77145,1
5.0,5,-4.992902,-2.6663766,-3.8020976,0.107121326,6.8689675,12.493461,3.1036372,-2.0325284,1.9185536,6.460086,-4.5691223,-8.765986,1
5.0,5,-5.0009604,-2.6551888,-3.8060658,0.12478498,6.87801,12.519054,3.1009738,-2.0458336,1.9177368,6.458314,-4.579944,-8.777166,1
2.0,2,-1.9980845,-2.0371468,9.743281,7.850568,-0.8586827,-3.7922869,-4.5324907,-5.958324,2.9248993,-1.6862773,-4.0117006,1.5460508,1
2.0,2,-1.9980845,-2.0371468,9.743281,7.850568,-0.8586827,-3.7922869,-4.5324907,-5.958324,2.9248993,-1.6862773,-4.0117006,1.5460508,1
2.0,2,-1.9980845,-2.0371468,9.743281,7.850568,-0.8586827,-3.7922869,-4.5324907,-5.958324,2.9248993,-1.6862773,-4.0117006,1.5460508,1
2.0,2,-1.9980845,-2.0371468,9.743281,7.850568,-0.8586827,-3.7922869,-4.5324907,-5.958324,2.9248993,-1.6862773,-4.0117006,1.5460508,1
2.0,2,-1.9980845,-2.0371468,9.743281,7.850568,-0.8586827,-3.7922869,-4.5324907,-5.958324,2.9248993,-1.6862773,-4.0117006,1.5460508,1
2.0,2,-1.9980845,-2.0371468,9.743281,7.850568,-0.8586827,-3.7922869,-4.5324907,-5.958324,2.9248993,-1.6862773,-4.0117006,1.5460508,1
11.0,11,0.9943187,0.28671223,2.830135,-1.9995447,-4.099647,-9.571816,-6.6028986,-1.4383559,1.1340709,-3.3915708,5.3985744,10.483356,1
11.0,11,1.0142717,0.3052997,2.7905743,-2.041858,-4.1349077,-9.591902,-6.5621495,-1.3963197,1.1149237,-3.409891,5.4430237,10.488456,1
11.0,11,1.0036459,0.29992908,2.8499055,-1.9724058,-4.0862117,-9.577163,-6.626382,-1.4614886,1.1239855,-3.401697,5.374911,10.494846,1
11.0,11,0.9865986,0.27822417,2.8098943,-2.02648,-4.121294,-9.565579,-6.577164,-1.4131656,1.1422288,-3.3835633,5.4247136,10.470997,1
