true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,correct
6.0,6,0.79160136,-1.0018616,-0.99924326,0.10328682,-2.3313177,-0.8071834,4.6054025,1
6.0,6,0.7898106,-1.0029144,-0.9989562,0.10581833,-2.3352358,-0.803423,4.6031036,1
6.0,6,0.7886351,-1.0040102,-0.99932194,0.10786848,-2.3366861,-0.7994281,4.601302,1
6.0,6,0.79003316,-1.004107,-1.000582,0.107625216,-2.3371933,-0.8003672,4.6023326,1
6.0,6,0.7884626,-1.0036409,-0.9983239,0.10684663,-2.3378272,-0.7991704,4.6012,1
6.0,6,0.7981166,-1.0034401,-1.005749,0.1036533,-2.3323958,-0.8106886,4.6102014,1
1.0,1,-1.4851233,3.6474311,0.90037954,-1.5207281,1.7553744,0.9148924,-1.8537836,1
1.0,1,-1.4851233,3.6474311,0.90037954,-1.5207281,1.7553744,0.9148924,-1.8537836,1
1.0,1,-1.4851233,3.6474311,0.90037954,-1.5207281,1.7553744,0.9148924,-1.8537836,1
1.0,1,-1.4851233,3.6474311,0.90037954,-1.5207281,1.7553744,0.9148924,-1.8537836,1
1.0,1,-1.4851233,3.6474311,0.90037954,-1.5207281,1.7553744,0.9148924,-1.8537836,1
1.0,1,-1.4851233,3.6474311,0.90037954,-1.5207281,1.7553744,0.9148924,-1.8537836,1
5.0,1,-3.1227665,2.7627556,2.1081896,-0.48738286,-1.2675273,2.258983,-1.1776652,0
5.0,1,-3.1227665,2.7627556,2.1081896,-0.48738286,-1.2675273,2.258983,-1.1776652,0
5.0,1,-3.1227665,2.7627556,2.1081896,-0.48738286,-1.2675273,2.258983,-1.1776652,0
5.0,1,-3.1227665,2.7627556,2.1081896,-0.48738286,-1.2675273,2.258983,-1.1776652,0
5.0,1,-3.1227665,2.7627556,2.1081896,-0.48738286,-1.2675273,2.258983,-1.1776652,0
5.0,1,-3.1227665,2.7627556,2.1081896,-0.48738286,-1.2675273,2.258983,-1.1776652,0
4.0,4,0.84199446,1.555531,-1.085754,0.08557403,4.7600245,-1.0103354,-1.2553551,1
4.0,4,0.84199446,1.555531,-1.085754,0.08557403,4.7600245,-1.0103354,-1.2553551,1
4.0,4,0.84199446,1.555531,-1.085754,0.08557403,4.7600245,-1.0103354,-1.2553551,1
4.0,4,0.84199446,1.555531,-1.085754,0.08557403,4.7600245,-1.0103354,-1.2553551,1
4.0,4,0.84199446,1.555531,-1.085754,0.08557403,4.7600245,-1.0103354,-1.2553551,1
4.0,4,0.84199446,1.555531,-1.085754,0.08557403,4.7600245,-1.0103354,-1.2553551,1
2.0,1,-3.0943363,2.7777202,2.0760672,-0.4783276,-1.2494214,2.2137291,-1.183351,0
2.0,1,-3.0943363,2.7777202,2.0760672,-0.4783276,-1.2494214,2.2137291,-1.183351,0
2.0,1,-3.0943363,2.7777202,2.0760672,-0.4783276,-1.2494214,2.2137291,-1.183351,0
2.0,1,-3.0943363,2.7777202,2.0760672,-0.4783276,-1.2494214,2.2137291,-1.183351,0
2.0,1,-3.0943363,2.7777202,2.0760672,-0.4783276,-1.2494214,2.2137291,-1.183351,0
2.0,1,-3.0943363,2.7777202,2.0760672,-0.4783276,-1.2494214,2.2137291,-1.183351,0
5.0,0,5.0968704,-0.65509444,-4.881811,0.15474807,1.6733466,-1.6193186,1.5384564,0
5.0,0,5.092476,-0.6596702,-4.878722,0.1625891,1.6778744,-1.6280088,1.5398705,0
5.0,0,5.073829,-0.66887385,-4.8614087,0.18642908,1.6939329,-1.6458441,1.5350919,0
5.0,0,5.0725617,-0.6720266,-4.861163,0.19118188,1.694645,-1.6498901,1.5361799,0
5.0,0,5.0946755,-0.6624879,-4.8807755,0.15845372,1.6660781,-1.6263894,1.5450941,0
5.0,0,5.090787,-0.6571334,-4.8762712,0.16332608,1.6812519,-1.6242568,1.5351707,0
6.0,2,-4.8036346,2.157837,4.650564,-0.71829045,-1.1978635,1.5188191,-0.53363216,0
6.0,2,-4.794558,2.1482744,4.6515017,-0.72042036,-1.2125341,1.5325247,-0.5267163,0
6.0,2,-4.811044,2.1472468,4.6614566,-0.71101785,-1.2134389,1.5372787,-0.5375387,0
6.0,2,-4.7705865,2.148979,4.6401873,-0.73534906,-1.2050519,1.5123166,-0.508785,0
6.0,2,-4.7875037,2.1506748,4.646681,-0.7285148,-1.205349,1.523829,-0.5182878,0
6.0,2,-4.8163085,2.1435802,4.6661787,-0.7095305,-1.2208011,1.5516682,-0.53859866,0
3.0,3,-0.5417314,0.6686965,-1.0069528,2.2144961,-0.25558418,-0.57522655,-0.7354201,1
3.0,3,-0.5417314,0.6686965,-1.0069526,2.2144961,-0.25558418,-0.57522655,-0.7354201,1
3.0,3,-0.5417312,0.6686965,-1.0069528,2.2144964,-0.25558373,-0.57522666,-0.73542047,1
3.0,3,-0.5417314,0.6686965,-1.0069526,2.2144961,-0.25558418,-0.57522655,-0.7354201,1
3.0,3,-0.5417314,0.6686965,-1.0069528,2.2144961,-0.25558418,-0.57522655,-0.7354201,1
3.0,3,-0.5417314,0.6686965,-1.0069528,2.2144961,-0.25558418,-0.57522655,-0.7354201,1
5.0,5,-2.8743024,2.3855555,1.7086103,-0.083771735,-2.307075,4.191776,-1.8360476,1
5.0,5,-2.8743024,2.3855555,1.7086103,-0.083771735,-2.307075,4.191776,-1.8360476,1
5.0,5,-2.8743024,2.3855555,1.7086103,-0.083771735,-2.307075,4.191776,-1.8360476,1
5.0,5,-2.8743024,2.3855555,1.7086103,-0.083771735,-2.307075,4.191776,-1.8360476,1
5.0,5,-2.8743024,2.3855555,1.7086103,-0.083771735,-2.307075,4.191776,-1.8360476,1
5.0,5,-2.8743024,2.3855555,1.7086103,-0.083771735,-2.307075,4.191776,-1.8360476,1
0.0,4,0.45936465,1.5726683,-0.42669454,-0.2652174,4.965482,-1.6184583,-0.8945844,0
0.0,4,0.43192744,1.5807304,-0.3981365,-0.27177152,4.9605527,-1.6076921,-0.90341735,0
0.0,4,0.4399808,1.576894,-0.40319,-0.27739432,4.9602046,-1.6066254,-0.893765,0
0.0,4,0.42732412,1.5880375,-0.39120653,-0.28250763,4.9617743,-1.5950241,-0.9066007,0
0.0,4,0.45467263,1.571538,-0.420771,-0.26356742,4.963016,-1.6181697,-0.896623,0
0.0,4,0.4594252,1.5726962,-0.42730582,-0.2630643,4.9658704,-1.6197077,-0.896693,0
0.0,0,4.8612227,-0.41964263,-4.5337954,-0.13980329,1.7306759,-1.5929668,1.5400884,1
0.0,0,4.86122,-0.41964304,-4.5337963,-0.13979909,1.7306746,-1.5929693,1.5400945,1
0.0,0,4.861222,-0.41963977,-4.533794,-0.13980478,1.730677,-1.5929645,1.5400867,1
0.0,0,4.86122,-0.41964108,-4.5337944,-0.13980246,1.7306722,-1.5929668,1.5400908,1
0.0,0,4.861225,-0.41964072,-4.5337977,-0.13980374,1.7306771,-1.5929648,1.5400848,1
0.0,0,4.861223,-0.4196406,-4.5337954,-0.13980424,1.7306771,-1.5929655,1.5400867,1
1.0,0,4.481897,-0.5888893,-4.2361016,-0.08888781,1.3104527,-1.7593232,2.0781102,0
1.0,0,4.4758563,-0.5838602,-4.2317824,-0.09147811,1.3009018,-1.7556273,2.078664,0
1.0,0,4.468455,-0.57952505,-4.224626,-0.09428123,1.2996618,-1.7556283,2.0813408,0
1.0,0,4.4948897,-0.59072286,-4.2490616,-0.08549306,1.3147694,-1.7559865,2.0687041,0
1.0,0,4.47495,-0.57999474,-4.230858,-0.09277254,1.3035775,-1.7544047,2.0763428,0
1.0,0,4.496894,-0.5895917,-4.2511144,-0.084826946,1.322009,-1.7584713,2.0672219,0
3.0,3,-0.72750515,-0.68949383,-1.0025615,3.551944,-1.2775027,0.41659358,-0.91290843,1
3.0,3,-0.72750515,-0.68949383,-1.0025615,3.551944,-1.2775027,0.41659358,-0.91290843,1
3.0,3,-0.72750515,-0.68949383,-1.0025615,3.551944,-1.2775027,0.41659358,-0.91290843,1
3.0,3,-0.72750515,-0.68949383,-1.0025615,3.551944,-1.2775027,0.41659358,-0.91290843,1
3.0,3,-0.72750515,-0.68949383,-1.0025615,3.551944,-1.2775027,0.41659358,-0.91290843,1
3.0,3,-0.72750515,-0.68949383,-1.0025615,3.551944,-1.2775027,0.41659358,-0.91290843,1
