true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,correct
0.0,0,12.580319,-1.2687632,-4.8459654,-2.293917,-0.5340251,-10.309429,1
0.0,0,12.580338,-1.2687908,-4.846016,-2.2939146,-0.53395236,-10.309482,1
0.0,0,12.580348,-1.2688061,-4.8460407,-2.2939074,-0.53392875,-10.309486,1
0.0,0,12.580352,-1.2687949,-4.84604,-2.2939034,-0.5339298,-10.309514,1
0.0,0,12.580326,-1.2687627,-4.8459873,-2.293918,-0.53401923,-10.309424,1
0.0,0,12.580375,-1.2688206,-4.846077,-2.2938836,-0.53391695,-10.309505,1
2.0,2,-2.1525106,-2.8052082,14.83688,-1.0971153,-2.8635707,-8.358842,1
2.0,2,-2.1525106,-2.8052082,14.83688,-1.0971153,-2.8635707,-8.358842,1
2.0,2,-2.1525106,-2.8052082,14.83688,-1.0971153,-2.8635707,-8.358842,1
2.0,2,-2.1525106,-2.8052082,14.83688,-1.0971153,-2.8635707,-8.358842,1
2.0,2,-2.1525106,-2.8052082,14.83688,-1.0971153,-2.8635707,-8.358842,1
2.0,2,-2.1525106,-2.8052082,14.83688,-1.0971153,-2.8635707,-8.358842,1
3.0,3,-0.7192299,-1.2212285,-2.3199213,13.4192505,-5.14413,-2.4011831,1
3.0,3,-0.7192299,-1.2212285,-2.3199213,13.4192505,-5.14413,-2.4011831,1
3.0,3,-0.7192299,-1.2212285,-2.3199213,13.4192505,-5.14413,-2.4011831,1
3.0,3,-0.7192299,-1.2212285,-2.3199213,13.4192505,-5.14413,-2.4011831,1
3.0,3,-0.7192299,-1.2212285,-2.3199213,13.4192505,-5.14413,-2.4011831,1
3.0,3,-0.7192299,-1.2212285,-2.3199213,13.4192505,-5.14413,-2.4011831,1
2.0,2,-2.1504803,-2.7996535,14.847508,-1.1051145,-2.8678825,-8.370408,1
2.0,2,-2.1504803,-2.7996535,14.847508,-1.1051145,-2.8678825,-8.370408,1
2.0,2,-2.1504803,-2.7996535,14.847508,-1.1051145,-2.8678825,-8.370408,1
2.0,2,-2.1504803,-2.7996535,14.847508,-1.1051145,-2.8678825,-8.370408,1
2.0,2,-2.1504803,-2.7996535,14.847508,-1.1051145,-2.8678825,-8.370408,1
2.0,2,-2.1504803,-2.7996535,14.847508,-1.1051145,-2.8678825,-8.370408,1
3.0,3,-0.6998194,-1.2249972,-2.2757702,13.431766,-5.1279263,-2.499035,1
3.0,3,-0.6998194,-1.2249972,-2.2757702,13.431766,-5.1279263,-2.499035,1
3.0,3,-0.6998195,-1.2249974,-2.2757702,13.431766,-5.1279263,-2.499035,1
3.0,3,-0.6998189,-1.2249972,-2.2757707,13.431766,-5.1279273,-2.499035,1
3.0,3,-0.699819,-1.2249969,-2.2757711,13.431766,-5.127927,-2.4990344,1
3.0,3,-0.6998189,-1.2249972,-2.2757707,13.431766,-5.1279273,-2.499035,1
2.0,2,-2.1509893,-2.7976189,14.913495,-1.1240091,-2.8804536,-8.416736,1
2.0,2,-2.1509893,-2.7976189,14.913495,-1.1240091,-2.8804536,-8.416736,1
2.0,2,-2.1509893,-2.7976189,14.913495,-1.1240091,-2.8804536,-8.416736,1
2.0,2,-2.1509893,-2.7976189,14.913495,-1.1240091,-2.8804536,-8.416736,1
2.0,2,-2.1509893,-2.7976189,14.913495,-1.1240091,-2.8804536,-8.416736,1
2.0,2,-2.1509893,-2.7976189,14.913495,-1.1240091,-2.8804536,-8.416736,1
2.0,2,-2.1450722,-2.7798457,14.900314,-1.1498171,-2.8757827,-8.425914,1
2.0,2,-2.1450722,-2.7798457,14.900314,-1.1498171,-2.8757827,-8.425914,1
2.0,2,-2.1450722,-2.7798457,14.900314,-1.1498171,-2.8757827,-8.425914,1
2.0,2,-2.1450722,-2.7798457,14.900314,-1.1498171,-2.8757827,-8.425914,1
2.0,2,-2.1450722,-2.7798457,14.900314,-1.1498171,-2.8757827,-8.425914,1
2.0,2,-2.1450722,-2.7798457,14.900314,-1.1498171,-2.8757827,-8.425914,1
2.0,2,-2.13614,-2.799437,14.915709,-1.1471115,-2.8696322,-8.441263,1
2.0,2,-2.1361356,-2.7994437,14.915712,-1.1471195,-2.8696184,-8.441279,1
2.0,2,-2.1361475,-2.7994375,14.9157095,-1.1471106,-2.8696284,-8.441257,1
2.0,2,-2.136149,-2.7994366,14.915711,-1.147111,-2.869629,-8.441258,1
2.0,2,-2.1361458,-2.7994356,14.915712,-1.1471142,-2.8696294,-8.441261,1
2.0,2,-2.1361408,-2.7994418,14.915709,-1.1471096,-2.8696268,-8.441264,1
1.0,1,-2.1556652,9.750333,-4.5394597,-2.703951,0.21602878,-2.2134433,1
1.0,1,-2.1556625,9.75036,-4.5395417,-2.7039537,0.21603021,-2.2133656,1
1.0,1,-2.1557245,9.750336,-4.5394783,-2.7039149,0.21602967,-2.2133613,1
1.0,1,-2.1556926,9.750318,-4.5395017,-2.7038748,0.21599987,-2.2133489,1
1.0,1,-2.1557205,9.75029,-4.5394535,-2.7038853,0.21602914,-2.2133722,1
