true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,correct
6.0,6,9.615025,-10.731909,0.60259724,-18.16246,-5.4049273,-1.9689466,27.79193,1
6.0,6,9.615025,-10.731909,0.60259724,-18.16246,-5.4049273,-1.9689466,27.79193,1
6.0,6,9.615025,-10.731909,0.60259724,-18.16246,-5.4049273,-1.9689466,27.79193,1
6.0,6,9.615025,-10.731909,0.60259724,-18.16246,-5.4049273,-1.9689466,27.79193,1
6.0,6,9.615025,-10.731909,0.60259724,-18.16246,-5.4049273,-1.9689466,27.79193,1
6.0,6,9.615025,-10.731909,0.60259724,-18.16246,-5.4049273,-1.9689466,27.79193,1
6.0,6,9.550823,-10.578733,0.5548227,-18.265022,-5.692694,-1.8076807,27.749372,1
6.0,6,9.550824,-10.578733,0.55482125,-18.265022,-5.692694,-1.8076805,27.749374,1
6.0,6,9.550823,-10.578733,0.5548227,-18.265022,-5.692694,-1.8076807,27.749372,1
6.0,6,9.550824,-10.578733,0.55482125,-18.265022,-5.692694,-1.8076805,27.749374,1
6.0,6,9.550824,-10.578733,0.55482125,-18.265022,-5.692694,-1.8076805,27.749374,1
6.0,6,9.550824,-10.578733,0.55482125,-18.26502,-5.692695,-1.80768,27.749374,1
2.0,2,-12.010922,7.1991787,20.544352,-20.248676,-2.4856863,3.63719,-5.2353077,1
2.0,2,-12.010922,7.1991787,20.544352,-20.248676,-2.4856863,3.63719,-5.2353077,1
2.0,2,-12.010922,7.1991787,20.544352,-20.248676,-2.4856863,3.63719,-5.2353077,1
2.0,2,-12.010922,7.1991787,20.544352,-20.248676,-2.4856863,3.63719,-5.2353077,1
2.0,2,-12.010922,7.1991787,20.544352,-20.248676,-2.4856863,3.63719,-5.2353077,1
2.0,2,-12.010922,7.1991787,20.544352,-20.248676,-2.4856863,3.63719,-5.2353077,1
0.0,0,7.821355,-2.4130101,-5.743813,-0.19112778,-2.2857018,2.305742,0.6290146,1
0.0,0,7.8211327,-2.4128852,-5.7435226,-0.19122744,-2.2860088,2.3060906,0.6286925,1
0.0,0,7.8212385,-2.4130168,-5.743551,-0.19133401,-2.2859259,2.306015,0.62891304,1
0.0,0,7.8213587,-2.4130366,-5.7437778,-0.19115043,-2.2857256,2.3057218,0.6291119,1
0.0,0,7.821554,-2.413102,-5.7441044,-0.19087338,-2.2855296,2.3055182,0.62919486,1
0.0,0,7.8212614,-2.4130142,-5.7436123,-0.19133282,-2.2857895,2.3058634,0.62901676,1
3.0,3,9.060069,-0.48304784,-16.652914,35.37237,6.5385947,-4.987822,-13.068848,1
3.0,3,9.060119,-0.48317873,-16.65278,35.372227,6.538401,-4.98765,-13.068737,1
3.0,3,9.060061,-0.48307168,-16.652872,35.372402,6.5385594,-4.9877815,-13.068868,1
3.0,3,9.060085,-0.48309052,-16.652876,35.372353,6.538529,-4.9877644,-13.068822,1
3.0,3,9.059983,-0.4828645,-16.65309,35.37269,6.538893,-4.9880705,-13.069077,1
3.0,3,9.060066,-0.48306727,-16.652878,35.372364,6.5385604,-4.9877825,-13.068854,1
4.0,4,-3.410732,8.947912,-1.8039676,0.089422226,19.756577,-17.682114,-4.0972433,1
4.0,4,-3.410732,8.947912,-1.8039676,0.089422226,19.756577,-17.682114,-4.0972433,1
4.0,4,-3.410732,8.947912,-1.8039676,0.089422226,19.756577,-17.682114,-4.0972433,1
4.0,4,-3.410732,8.947912,-1.8039676,0.089422226,19.756577,-17.682114,-4.0972433,1
4.0,4,-3.410732,8.947912,-1.8039676,0.089422226,19.756577,-17.682114,-4.0972433,1
4.0,4,-3.410732,8.947912,-1.8039676,0.089422226,19.756577,-17.682114,-4.0972433,1
5.0,5,6.670884,-4.4088507,1.862195,-10.421995,-16.847633,16.660658,-0.12807369,1
5.0,5,6.670884,-4.4088507,1.862195,-10.421995,-16.847633,16.660658,-0.12807369,1
5.0,5,6.670884,-4.4088507,1.862195,-10.421995,-16.847633,16.660658,-0.12807369,1
5.0,5,6.670884,-4.4088507,1.862195,-10.421995,-16.847633,16.660658,-0.12807369,1
5.0,5,6.670884,-4.4088507,1.862195,-10.421995,-16.847633,16.660658,-0.12807369,1
5.0,5,6.670884,-4.4088507,1.862195,-10.421995,-16.847633,16.660658,-0.12807369,1
0.0,0,7.886881,-3.1383777,-4.7842827,-1.466028,-2.4183788,2.616754,1.5152136,1
0.0,0,7.886816,-3.1384435,-4.784096,-1.466159,-2.4182324,2.616641,1.5153779,1
0.0,0,7.8868113,-3.1385417,-4.783935,-1.4663944,-2.4183726,2.616764,1.515531,1
0.0,0,7.8868847,-3.1385412,-4.7840376,-1.4666547,-2.4183369,2.6165948,1.515855,1
0.0,0,7.8868,-3.1384592,-4.784017,-1.4664054,-2.4182892,2.6166573,1.5155216,1
0.0,0,7.886856,-3.1384892,-4.784053,-1.4666349,-2.4182563,2.6165295,1.5158094,1
6.0,6,9.436034,-10.571346,0.74523354,-18.233398,-5.348993,-2.0021584,27.624418,1
6.0,6,9.436034,-10.571346,0.74523354,-18.233398,-5.348993,-2.0021584,27.624418,1
6.0,6,9.436034,-10.571346,0.74523354,-18.233398,-5.348993,-2.0021584,27.624418,1
6.0,6,9.436034,-10.571346,0.74523354,-18.233398,-5.348993,-2.0021584,27.624418,1
6.0,6,9.436034,-10.571346,0.74523354,-18.233398,-5.348993,-2.0021584,27.624418,1
6.0,6,9.436034,-10.571346,0.74523354,-18.233398,-5.348993,-2.0021584,27.624418,1
6.0,6,9.587017,-10.683666,0.57920575,-18.242352,-5.5746164,-1.8932241,27.868797,1
6.0,6,9.587016,-10.683664,0.5792084,-18.242353,-5.574613,-1.8932256,27.868797,1
6.0,6,9.587016,-10.683664,0.5792084,-18.242353,-5.574613,-1.8932265,27.868797,1
6.0,6,9.587016,-10.683664,0.5792084,-18.242353,-5.574613,-1.8932256,27.868797,1
6.0,6,9.587017,-10.683664,0.5792062,-18.242353,-5.5746155,-1.8932239,27.868795,1
6.0,6,9.587016,-10.683664,0.5792084,-18.242353,-5.574613,-1.8932256,27.868797,1
4.0,4,-2.6844237,8.616961,-2.158941,-1.756334,16.809175,-15.411326,-3.212059,1
4.0,4,-2.684408,8.616978,-2.158954,-1.7563368,16.809032,-15.411213,-3.2121105,1
4.0,4,-2.684405,8.61698,-2.1589532,-1.7563432,16.809002,-15.411189,-3.2121134,1
4.0,4,-2.6844037,8.616978,-2.1589568,-1.7563349,16.809023,-15.411205,-3.2121148,1
4.0,4,-2.6843808,8.61697,-2.1589825,-1.7562907,16.809023,-15.411201,-3.2121282,1
4.0,4,-2.6842282,8.616847,-2.1591382,-1.7561616,16.808884,-15.411249,-3.2118416,1
5.0,5,7.7837954,-4.6562686,0.15138617,-7.799118,-18.558062,18.13547,-1.240003,1
5.0,5,7.7837954,-4.656269,0.15138677,-7.799119,-18.558062,18.13547,-1.240003,1
5.0,5,7.7837934,-4.656266,0.15138939,-7.7991295,-18.558064,18.135468,-1.2400008,1
5.0,5,7.7837934,-4.65627,0.15139654,-7.799136,-18.558056,18.135462,-1.2399966,1
5.0,5,7.7837934,-4.6562667,0.15138903,-7.7991285,-18.558062,18.135468,-1.2400001,1
5.0,5,7.7837934,-4.6562667,0.15138903,-7.7991285,-18.558062,18.135468,-1.2400001,1
0.0,0,8.1486025,-3.400599,-4.9949956,-0.7888769,-3.147686,3.2782276,1.2637254,1
0.0,0,8.1486,-3.4006004,-4.9949856,-0.7889044,-3.1476932,3.2782283,1.2637454,1
0.0,0,8.1486,-3.4006004,-4.9949856,-0.7889044,-3.1476932,3.2782283,1.2637454,1
0.0,0,8.1486,-3.4006004,-4.9949856,-0.7889044,-3.1476932,3.2782283,1.2637454,1
0.0,0,8.1486,-3.4006004,-4.9949856,-0.7889044,-3.1476932,3.2782283,1.2637454,1
0.0,0,8.1486,-3.4006004,-4.9949856,-0.7889044,-3.1476932,3.2782283,1.2637454,1
3.0,3,8.835444,-0.53495204,-16.309172,34.885998,6.770843,-5.2327166,-12.604601,1
3.0,3,8.835444,-0.53495204,-16.309172,34.885998,6.770843,-5.2327166,-12.604601,1
3.0,3,8.835444,-0.53495204,-16.309172,34.885998,6.770843,-5.2327166,-12.604601,1
3.0,3,8.835444,-0.53495204,-16.309172,34.885998,6.770843,-5.2327166,-12.604601,1
3.0,3,8.835444,-0.53495204,-16.309172,34.885998,6.770843,-5.2327166,-12.604601,1
3.0,3,8.835444,-0.53495204,-16.309172,34.885998,6.770843,-5.2327166,-12.604601,1
6.0,6,9.649512,-10.47435,0.3403342,-18.013182,-5.7958856,-1.6544944,27.337143,1
6.0,6,9.649512,-10.47435,0.3403342,-18.013182,-5.7958856,-1.6544944,27.337143,1
6.0,6,9.649512,-10.47435,0.3403342,-18.013182,-5.7958856,-1.6544944,27.337143,1
6.0,6,9.649512,-10.47435,0.3403342,-18.013182,-5.7958856,-1.6544944,27.337143,1
6.0,6,9.649512,-10.47435,0.3403342,-18.013182,-5.7958856,-1.6544944,27.337143,1
6.0,6,9.649512,-10.47435,0.3403342,-18.013182,-5.7958856,-1.6544944,27.337143,1
2.0,2,-12.017893,7.96619,19.676811,-20.5405,-1.8258456,2.890858,-5.542832,1
2.0,2,-12.017893,7.96619,19.676811,-20.5405,-1.8258456,2.890858,-5.542832,1
2.0,2,-12.017893,7.96619,19.676811,-20.5405,-1.8258456,2.890858,-5.542832,1
2.0,2,-12.017893,7.96619,19.676811,-20.5405,-1.8258456,2.890858,-5.542832,1
2.0,2,-12.017893,7.96619,19.676811,-20.5405,-1.8258456,2.890858,-5.542832,1
2.0,2,-12.017893,7.96619,19.676811,-20.5405,-1.8258456,2.890858,-5.542832,1
1.0,1,-6.1377506,12.799156,1.8637629,-11.138791,4.6124635,-3.541005,-8.9616995,1
1.0,1,-6.1377506,12.799156,1.8637629,-11.138791,4.6124635,-3.541005,-8.9616995,1
1.0,1,-6.1377506,12.799156,1.8637629,-11.138791,4.6124635,-3.541005,-8.9616995,1
1.0,1,-6.1377506,12.799156,1.8637629,-11.138791,4.6124635,-3.541005,-8.9616995,1
1.0,1,-6.1377506,12.799156,1.8637629,-11.138791,4.6124635,-3.541005,-8.9616995,1
1.0,1,-6.1377506,12.799156,1.8637629,-11.138791,4.6124635,-3.541005,-8.9616995,1
2.0,2,-12.279839,7.2588863,20.996378,-20.681967,-2.4205885,3.6423943,-5.289867,1
2.0,2,-12.279839,7.2588863,20.996378,-20.681967,-2.4205885,3.6423943,-5.289867,1
2.0,2,-12.279839,7.2588863,20.996378,-20.681967,-2.4205885,3.6423943,-5.289867,1
2.0,2,-12.279839,7.2588863,20.996378,-20.681967,-2.4205885,3.6423943,-5.289867,1
2.0,2,-12.279839,7.2588863,20.996378,-20.681967,-2.4205885,3.6423943,-5.289867,1
2.0,2,-12.279839,7.2588863,20.996378,-20.681967,-2.4205885,3.6423943,-5.289867,1
0.0,0,8.669506,-2.7826602,-6.266952,-0.48648512,-3.0338206,3.2953877,0.1136117,1
0.0,0,8.669506,-2.7826602,-6.266952,-0.48648512,-3.0338206,3.2953877,0.1136117,1
0.0,0,8.669506,-2.7826602,-6.266952,-0.48648512,-3.0338206,3.2953877,0.1136117,1
0.0,0,8.669506,-2.7826602,-6.266952,-0.48648512,-3.0338206,3.2953877,0.1136117,1
0.0,0,8.669506,-2.7826602,-6.266952,-0.48648512,-3.0338206,3.2953877,0.1136117,1
0.0,0,8.669506,-2.7826602,-6.266952,-0.48648512,-3.0338206,3.2953877,0.1136117,1
0.0,0,7.970211,-2.6650286,-5.7500105,-0.082751036,-2.6268215,2.7073743,0.57849467,1
0.0,0,7.9702272,-2.6650288,-5.7500377,-0.082737684,-2.6268196,2.7073739,0.5784918,1
0.0,0,7.9702244,-2.6650224,-5.7500234,-0.08279419,-2.626855,2.7073848,0.5785266,1
0.0,0,7.970188,-2.6650972,-5.7498617,-0.082885504,-2.626933,2.7075033,0.5785259,1
0.0,0,7.9702034,-2.6649535,-5.7500854,-0.08278394,-2.6267424,2.7072468,0.5785507,1
0.0,0,7.969988,-2.664922,-5.7497115,-0.08305144,-2.626954,2.7075632,0.57836545,1
5.0,5,7.314066,-4.1137023,0.3304961,-7.655468,-18.903828,19.122679,-2.7084098,1
5.0,5,7.314066,-4.1137023,0.3304961,-7.655468,-18.903828,19.122679,-2.7084098,1
5.0,5,7.314066,-4.1137023,0.3304961,-7.655468,-18.903828,19.122679,-2.7084098,1
5.0,5,7.314066,-4.1137023,0.3304961,-7.655468,-18.903828,19.122679,-2.7084098,1
5.0,5,7.314066,-4.1137023,0.3304961,-7.655468,-18.903828,19.122679,-2.7084098,1
5.0,5,7.314066,-4.1137023,0.3304961,-7.655468,-18.903828,19.122679,-2.7084098,1
0.0,0,8.143677,-3.4373593,-4.9678764,-0.90240276,-3.0311842,3.0309284,1.6381568,1
0.0,0,8.143677,-3.4373593,-4.9678764,-0.90240276,-3.0311842,3.0309284,1.6381568,1
0.0,0,8.143677,-3.4373593,-4.9678764,-0.90240276,-3.0311842,3.0309284,1.6381568,1
0.0,0,8.143677,-3.4373593,-4.9678764,-0.90240276,-3.0311842,3.0309284,1.6381568,1
0.0,0,8.143677,-3.4373593,-4.9678764,-0.90240276,-3.0311842,3.0309284,1.6381568,1
0.0,0,8.143677,-3.4373593,-4.9678764,-0.90240276,-3.0311842,3.0309284,1.6381568,1
1.0,1,-6.204131,12.986843,1.7200906,-10.928346,5.0565705,-3.8735976,-9.2258835,1
1.0,1,-6.204131,12.986843,1.7200906,-10.928346,5.0565705,-3.8735976,-9.2258835,1
1.0,1,-6.204131,12.986843,1.7200906,-10.928346,5.0565705,-3.8735976,-9.2258835,1
1.0,1,-6.204131,12.986843,1.7200906,-10.928346,5.0565705,-3.8735976,-9.2258835,1
1.0,1,-6.204131,12.986843,1.7200906,-10.928346,5.0565705,-3.8735976,-9.2258835,1
1.0,1,-6.204131,12.986843,1.7200906,-10.928346,5.0565705,-3.8735976,-9.2258835,1
6.0,6,9.647774,-10.724764,0.52584386,-18.18083,-5.533715,-1.8725342,27.79281,1
6.0,6,9.647774,-10.724764,0.52584386,-18.18083,-5.533715,-1.8725342,27.79281,1
6.0,6,9.647774,-10.724764,0.52584386,-18.18083,-5.533715,-1.8725342,27.79281,1
6.0,6,9.647774,-10.724764,0.52584386,-18.18083,-5.533715,-1.8725342,27.79281,1
6.0,6,9.647774,-10.724764,0.52584386,-18.18083,-5.533715,-1.8725342,27.79281,1
6.0,6,9.647774,-10.724764,0.52584386,-18.18083,-5.533715,-1.8725342,27.79281,1
3.0,3,9.152714,-0.73309004,-16.34553,34.902554,6.119064,-4.62835,-12.785219,1
3.0,3,9.152707,-0.7330209,-16.34567,34.902798,6.1192513,-4.6285257,-12.785308,1
3.0,3,9.152674,-0.73297393,-16.345678,34.902836,6.119223,-4.628481,-12.785396,1
3.0,3,9.15267,-0.7330067,-16.345583,34.902687,6.119162,-4.628421,-12.785352,1
3.0,3,9.1526985,-0.7330624,-16.345537,34.902573,6.119082,-4.628357,-12.785266,1
3.0,3,9.152706,-0.7330935,-16.3455,34.90251,6.118994,-4.6282787,-12.785232,1
4.0,4,-3.250026,8.629009,-1.5648702,-0.5100508,19.349676,-17.209799,-3.9024463,1
4.0,4,-3.250026,8.629009,-1.5648702,-0.5100508,19.349676,-17.209799,-3.9024463,1
4.0,4,-3.2500246,8.629,-1.5648534,-0.5100744,19.349566,-17.209717,-3.902433,1
4.0,4,-3.2500327,8.629015,-1.5648661,-0.51004124,19.34964,-17.209774,-3.9024553,1
4.0,4,-3.2500274,8.62898,-1.5648457,-0.5100994,19.349693,-17.20981,-3.9023952,1
4.0,4,-3.250026,8.629009,-1.5648702,-0.5100508,19.349676,-17.209799,-3.9024463,1
2.0,2,-11.962084,7.4155545,20.10366,-20.000359,-2.5500422,3.666725,-5.4298043,1
2.0,2,-11.962084,7.4155545,20.10366,-20.000359,-2.5500422,3.666725,-5.4298043,1
2.0,2,-11.962084,7.4155545,20.10366,-20.000359,-2.5500422,3.666725,-5.4298043,1
2.0,2,-11.962084,7.4155545,20.10366,-20.000359,-2.5500422,3.666725,-5.4298043,1
2.0,2,-11.962084,7.4155545,20.10366,-20.000359,-2.5500422,3.666725,-5.4298043,1
2.0,2,-11.962084,7.4155545,20.10366,-20.000359,-2.5500422,3.666725,-5.4298043,1
2.0,2,-12.321418,7.944882,20.07993,-19.971817,-2.0849838,3.2724688,-6.0454187,1
2.0,2,-12.321418,7.944882,20.07993,-19.971817,-2.0849838,3.2724688,-6.0454187,1
2.0,2,-12.321418,7.944882,20.07993,-19.971817,-2.0849838,3.2724688,-6.0454187,1
2.0,2,-12.321418,7.944882,20.07993,-19.971817,-2.0849838,3.2724688,-6.0454187,1
2.0,2,-12.321418,7.944882,20.07993,-19.971817,-2.0849838,3.2724688,-6.0454187,1
2.0,2,-12.321418,7.944882,20.07993,-19.971817,-2.0849838,3.2724688,-6.0454187,1
1.0,1,-5.8613977,12.294554,1.8270373,-10.680489,4.796957,-3.7209413,-8.453146,1
1.0,1,-5.8613977,12.294554,1.8270373,-10.680489,4.796957,-3.7209413,-8.453146,1
1.0,1,-5.8613977,12.294554,1.8270373,-10.680489,4.796957,-3.7209413,-8.453146,1
1.0,1,-5.8613977,12.294554,1.8270373,-10.680489,4.796957,-3.7209413,-8.453146,1
1.0,1,-5.8613977,12.294554,1.8270373,-10.680489,4.796957,-3.7209413,-8.453146,1
1.0,1,-5.8613977,12.294554,1.8270373,-10.680489,4.796957,-3.7209413,-8.453146,1
0.0,5,7.521637,-4.335023,-0.35885558,-7.3265085,-14.4381695,14.643379,-0.5827657,0
0.0,5,7.521637,-4.335023,-0.35885558,-7.3265085,-14.4381695,14.643379,-0.5827657,0
0.0,5,7.521637,-4.335023,-0.35885558,-7.3265085,-14.4381695,14.643379,-0.5827657,0
0.0,5,7.521637,-4.335023,-0.35885558,-7.3265085,-14.4381695,14.643379,-0.5827657,0
0.0,5,7.521637,-4.335023,-0.35885558,-7.3265085,-14.4381695,14.643379,-0.5827657,0
0.0,5,7.521637,-4.335023,-0.35885558,-7.3265085,-14.4381695,14.643379,-0.5827657,0
5.0,5,7.870967,-4.272476,-0.703467,-6.5554905,-17.623692,17.53225,-2.0710912,1
5.0,5,7.870967,-4.272476,-0.703467,-6.5554905,-17.623692,17.53225,-2.0710912,1
5.0,5,7.870967,-4.272476,-0.703467,-6.5554905,-17.623692,17.53225,-2.0710912,1
5.0,5,7.870967,-4.272476,-0.703467,-6.5554905,-17.623692,17.53225,-2.0710912,1
5.0,5,7.870967,-4.272476,-0.703467,-6.5554905,-17.623692,17.53225,-2.0710912,1
5.0,5,7.870967,-4.272476,-0.703467,-6.5554905,-17.623692,17.53225,-2.0710912,1
1.0,1,-6.2060604,12.962656,1.7937403,-11.091604,4.8409634,-3.7112653,-9.160075,1
1.0,1,-6.2060604,12.962656,1.7937403,-11.091604,4.8409634,-3.7112653,-9.160075,1
1.0,1,-6.2060604,12.962656,1.7937403,-11.091604,4.8409634,-3.7112653,-9.160075,1
1.0,1,-6.2060604,12.962656,1.7937403,-11.091604,4.8409634,-3.7112653,-9.160075,1
1.0,1,-6.2060604,12.962656,1.7937403,-11.091604,4.8409634,-3.7112653,-9.160075,1
1.0,1,-6.2060604,12.962656,1.7937403,-11.091604,4.8409634,-3.7112653,-9.160075,1
3.0,3,9.136443,-0.6534784,-16.497025,35.15698,6.279651,-4.7675133,-12.8932,1
3.0,3,9.136454,-0.6535009,-16.497005,35.156944,6.2796187,-4.7674856,-12.893172,1
3.0,3,9.136425,-0.65344155,-16.497066,35.15705,6.2797174,-4.7675705,-12.89324,1
3.0,3,9.13646,-0.6535131,-16.496994,35.156918,6.2796025,-4.7674713,-12.893159,1
3.0,3,9.136434,-0.65346014,-16.497042,35.15701,6.279678,-4.767536,-12.893219,1
3.0,3,9.136439,-0.6534724,-16.49703,35.15699,6.279661,-4.767521,-12.893207,1
5.0,5,7.2487516,-4.1014824,0.473048,-8.371293,-18.2033,18.181572,-1.9126444,1
5.0,5,7.248763,-4.1014876,0.47303453,-8.37129,-18.203272,18.181547,-1.91263,1
5.0,5,7.2487516,-4.101481,0.47304764,-8.371293,-18.203295,18.181576,-1.9126493,1
5.0,5,7.248763,-4.1014876,0.47303453,-8.37129,-18.203272,18.181547,-1.91263,1
5.0,5,7.2487507,-4.101482,0.4730499,-8.371297,-18.203299,18.18157,-1.912643,1
5.0,5,7.2487507,-4.101482,0.4730499,-8.371297,-18.203299,18.18157,-1.912643,1
2.0,2,-12.278671,7.259027,20.9935,-20.677216,-2.4242907,3.64586,-5.2920637,1
2.0,2,-12.278671,7.259025,20.9935,-20.677217,-2.4242926,3.6458619,-5.2920628,1
2.0,2,-12.278654,7.258986,20.993538,-20.677244,-2.424323,3.645888,-5.29203,1
2.0,2,-12.278664,7.2590013,20.99353,-20.677235,-2.4243102,3.6458778,-5.2920446,1
2.0,2,-12.278666,7.2590175,20.993507,-20.677221,-2.4242964,3.6458642,-5.292054,1
2.0,2,-12.278667,7.259019,20.993505,-20.677221,-2.424302,3.6458697,-5.2920566,1
3.0,3,9.110353,-0.6428846,-16.432037,35.087776,6.3181005,-4.7893906,-12.912854,1
3.0,3,9.110228,-0.6424618,-16.432745,35.088947,6.3190064,-4.790203,-12.913326,1
3.0,3,9.110121,-0.6424831,-16.432365,35.08844,6.3187366,-4.789914,-12.913347,1
3.0,3,9.110115,-0.64227474,-16.432774,35.089012,6.3190975,-4.7902412,-12.913608,1
3.0,3,9.110183,-0.64254665,-16.43235,35.088367,6.3186097,-4.7898083,-12.913292,1
3.0,3,9.110137,-0.6424488,-16.432432,35.088512,6.3188205,-4.7899866,-12.913412,1
5.0,5,6.3305345,-4.571431,2.542661,-11.9981785,-14.288702,13.9191265,2.144487,1
5.0,5,6.3305345,-4.571431,2.542661,-11.9981785,-14.288702,13.9191265,2.144487,1
5.0,5,6.3305345,-4.571431,2.542661,-11.9981785,-14.288702,13.9191265,2.144487,1
5.0,5,6.3305345,-4.571431,2.542661,-11.9981785,-14.288702,13.9191265,2.144487,1
5.0,5,6.3305345,-4.571431,2.542661,-11.9981785,-14.288702,13.9191265,2.144487,1
5.0,5,6.3305345,-4.571431,2.542661,-11.9981785,-14.288702,13.9191265,2.144487,1
4.0,4,-2.5630887,8.067427,-2.0127215,-2.0462303,19.111174,-17.390097,-1.987029,1
4.0,4,-2.5630887,8.067427,-2.0127215,-2.0462303,19.111174,-17.390097,-1.987029,1
4.0,4,-2.5630887,8.067427,-2.0127215,-2.0462303,19.111174,-17.390097,-1.987029,1
4.0,4,-2.5630887,8.067427,-2.0127215,-2.0462303,19.111174,-17.390097,-1.987029,1
4.0,4,-2.5630887,8.067427,-2.0127215,-2.0462303,19.111174,-17.390097,-1.987029,1
4.0,4,-2.5630887,8.067427,-2.0127215,-2.0462303,19.111174,-17.390097,-1.987029,1
3.0,3,9.573327,-1.3767877,-16.04534,33.99569,5.3767405,-4.1066422,-11.815644,1
3.0,3,9.573028,-1.3761773,-16.045937,33.996708,5.377789,-4.1075335,-11.816328,1
3.0,3,9.572076,-1.3741364,-16.048285,34.00142,5.3815374,-4.1104755,-11.819219,1
3.0,3,9.573098,-1.376328,-16.04582,33.996555,5.3775554,-4.1073227,-11.816178,1
3.0,3,9.572887,-1.3758683,-16.04633,33.997375,5.3783636,-4.108013,-11.816674,1
3.0,3,9.572625,-1.3753185,-16.046976,33.99874,5.3794265,-4.1088305,-11.8174925,1
2.0,2,-11.199935,7.638019,18.399654,-20.208742,-2.2013106,3.1640747,-4.793239,1
2.0,2,-11.199935,7.638019,18.399654,-20.208742,-2.2013106,3.1640747,-4.793239,1
2.0,2,-11.199935,7.638019,18.399654,-20.208742,-2.2013106,3.1640747,-4.793239,1
2.0,2,-11.199935,7.638019,18.399654,-20.208742,-2.2013106,3.1640747,-4.793239,1
2.0,2,-11.199935,7.638019,18.399654,-20.208742,-2.2013106,3.1640747,-4.793239,1
2.0,2,-11.199935,7.638019,18.399654,-20.208742,-2.2013106,3.1640747,-4.793239,1
