true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,prob_class_15,prob_class_16,prob_class_17,prob_class_18,prob_class_19,prob_class_20,prob_class_21,prob_class_22,correct
4.0,0,4.088624,0.49260563,-0.6426326,0.29474565,0.20980254,-1.1284975,-0.3558125,-0.6185486,-2.1830177,-0.58951974,-0.13369504,-1.0466344,-0.78284067,-0.9704517,-0.93289024,-0.8288512,0.016301945,-0.41031837,-0.91303676,-0.5147403,-0.6946383,-1.1356971,-1.0746039,0
4.0,0,4.088624,0.49260563,-0.6426326,0.29474565,0.20980254,-1.1284975,-0.3558125,-0.6185486,-2.1830177,-0.58951974,-0.13369504,-1.0466344,-0.78284067,-0.9704517,-0.93289024,-0.8288512,0.016301945,-0.41031837,-0.91303676,-0.5147403,-0.6946383,-1.1356971,-1.0746039,0
4.0,0,4.088624,0.49260563,-0.6426326,0.29474565,0.20980254,-1.1284975,-0.3558125,-0.6185486,-2.1830177,-0.58951974,-0.13369504,-1.0466344,-0.78284067,-0.9704517,-0.93289024,-0.8288512,0.016301945,-0.41031837,-0.91303676,-0.5147403,-0.6946383,-1.1356971,-1.0746039,0
4.0,0,4.088624,0.49260563,-0.6426326,0.29474565,0.20980254,-1.1284975,-0.3558125,-0.6185486,-2.1830177,-0.58951974,-0.13369504,-1.0466344,-0.78284067,-0.9704517,-0.93289024,-0.8288512,0.016301945,-0.41031837,-0.91303676,-0.5147403,-0.6946383,-1.1356971,-1.0746039,0
4.0,0,4.088624,0.49260563,-0.6426326,0.29474565,0.20980254,-1.1284975,-0.3558125,-0.6185486,-2.1830177,-0.58951974,-0.13369504,-1.0466344,-0.78284067,-0.9704517,-0.93289024,-0.8288512,0.016301945,-0.41031837,-0.91303676,-0.5147403,-0.6946383,-1.1356971,-1.0746039,0
4.0,0,4.088624,0.49260563,-0.6426326,0.29474565,0.20980254,-1.1284975,-0.3558125,-0.6185486,-2.1830177,-0.58951974,-0.13369504,-1.0466344,-0.78284067,-0.9704517,-0.93289024,-0.8288512,0.016301945,-0.41031837,-0.91303676,-0.5147403,-0.6946383,-1.1356971,-1.0746039,0
1.0,1,1.0450541,3.8260918,1.4105837,1.3164601,2.7561746,-1.8387749,-1.4086143,-1.4386063,-1.9175729,-1.7530565,-1.0577236,-1.5833063,-1.9220853,-1.5392916,-1.7178819,-1.7203165,-1.0076894,-1.6596725,-2.2099884,-1.37526,-1.1446483,-2.1891854,-1.548483,1
1.0,1,1.0450505,3.8260903,1.410588,1.3164595,2.756176,-1.8387758,-1.4086137,-1.4386064,-1.9175727,-1.7530576,-1.0577246,-1.5833073,-1.9220858,-1.5392928,-1.7178833,-1.7203175,-1.0076907,-1.6596735,-2.2099879,-1.3752606,-1.1446494,-2.1891856,-1.5484833,1
1.0,1,1.045054,3.826092,1.4105841,1.3164599,2.756175,-1.8387749,-1.4086142,-1.4386063,-1.917573,-1.7530568,-1.0577239,-1.5833066,-1.9220855,-1.5392917,-1.7178819,-1.7203166,-1.0076895,-1.6596727,-2.2099886,-1.3752602,-1.1446484,-2.1891856,-1.548483,1
1.0,1,1.0450621,3.826099,1.4105788,1.3164573,2.7561774,-1.8387754,-1.4086139,-1.4386069,-1.9175748,-1.7530558,-1.0577234,-1.5833075,-1.9220865,-1.5392909,-1.7178816,-1.7203163,-1.0076892,-1.6596727,-2.2099903,-1.375261,-1.144647,-2.189186,-1.5484843,1
