true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,prob_class_15,prob_class_16,prob_class_17,prob_class_18,prob_class_19,correct
18.0,18,-3.8164775,-7.302422,-5.9779415,-12.66571,-5.1418157,-11.68601,-4.2809362,0.65674365,7.2005444,7.724559,-3.292317,-1.7533878,6.2250724,3.2427702,-11.822134,-9.220673,3.396113,3.9440064,18.858595,12.590586,1
18.0,18,-3.8151543,-7.3010902,-5.977743,-12.6643095,-5.14288,-11.68587,-4.280819,0.65697587,7.2003145,7.7247057,-3.2918034,-1.7528695,6.223861,3.2408648,-11.822725,-9.2207,3.3955374,3.9444537,18.858597,12.592701,1
18.0,18,-3.8135674,-7.2994523,-5.9812536,-12.66248,-5.1443963,-11.682493,-4.2773747,0.6608051,7.199624,7.7223015,-3.287055,-1.747976,6.2172675,3.236493,-11.823228,-9.222839,3.3975434,3.9487677,18.8539,12.596004,1
18.0,18,-3.8166234,-7.3025236,-5.981639,-12.665694,-5.1419725,-11.68291,-4.2776184,0.6602174,7.199766,7.721815,-3.288971,-1.7499202,6.2209926,3.2412133,-11.822552,-9.222991,3.3989563,3.9474554,18.85471,12.590981,1
18.0,18,-3.8197248,-7.305647,-5.9821177,-12.66892,-5.1395082,-11.683167,-4.2780256,0.65955675,7.20083,7.721634,-3.2890582,-1.7500771,6.222714,3.245462,-11.820176,-9.222628,3.4002023,3.9466898,18.853409,12.586012,1
18.0,18,-3.8178155,-7.3037653,-5.9787683,-12.667062,-5.1407547,-11.685516,-4.280429,0.6571747,7.2008533,7.7239723,-3.2921224,-1.753167,6.2252893,3.244165,-11.821575,-9.221036,3.396946,3.9443386,18.857958,12.588889,1
0.0,1,13.651952,14.794166,7.0769567,8.083297,-5.4754863,-0.85038316,-1.2182618,-4.3902736,1.133736,4.7420826,3.1174264,-0.25788224,-2.7727752,-6.143451,2.1349974,4.9988766,-6.438714,-10.930696,-7.583087,-0.98307467,0
0.0,1,13.651684,14.794134,7.0771,8.083414,-5.4751353,-0.85018665,-1.2184134,-4.390334,1.133558,4.7419634,3.1173184,-0.25771976,-2.7729383,-6.143612,2.13533,4.9991984,-6.4388137,-10.930643,-7.5831904,-0.9832289,0
0.0,1,13.651498,14.794135,7.077119,8.083565,-5.4748964,-0.84994245,-1.2184355,-4.3902817,1.1333575,4.74178,3.1172998,-0.25753546,-2.773162,-6.1438313,2.1355178,4.999379,-6.438828,-10.930489,-7.583325,-0.98327553,0
0.0,1,13.650936,14.794946,7.0778294,8.084886,-5.4737234,-0.84864163,-1.2187552,-4.39051,1.1322708,4.7408614,3.117142,-0.25646532,-2.7742195,-6.144894,2.1367576,5.0005856,-6.439131,-10.930616,-7.5843763,-0.9839965,0
0.0,1,13.651214,14.79451,7.077523,8.084097,-5.474368,-0.8494867,-1.2187229,-4.390487,1.1329156,4.741475,3.1171541,-0.25701487,-2.773583,-6.144258,2.1361117,4.9999585,-6.4389896,-10.930646,-7.5836854,-0.98357415,0
0.0,1,13.652067,14.794161,7.0767584,8.083278,-5.475695,-0.85044134,-1.2181153,-4.3901496,1.1337732,4.742069,3.1175375,-0.25792956,-2.77277,-6.1434484,2.134759,4.998645,-6.438581,-10.930603,-7.583029,-0.9829078,0
