true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,correct
5.0,5,-3.7393405,2.2035072,-1.3644234,0.8220525,-9.944492,24.31849,1
5.0,5,-3.7393405,2.2035072,-1.3644234,0.8220525,-9.944492,24.31849,1
5.0,5,-3.7393405,2.2035072,-1.3644234,0.8220525,-9.944492,24.31849,1
5.0,5,-3.7393405,2.2035072,-1.3644234,0.8220525,-9.944492,24.31849,1
5.0,5,-3.7393405,2.2035072,-1.3644234,0.8220525,-9.944492,24.31849,1
5.0,5,-3.7393405,2.2035072,-1.3644234,0.8220525,-9.944492,24.31849,1
4.0,4,-2.79965,-6.8262763,-4.0797415,5.758563,11.435259,-14.340249,1
4.0,4,-2.79965,-6.8262763,-4.0797415,5.758563,11.435259,-14.340249,1
4.0,4,-2.79965,-6.8262763,-4.0797415,5.758563,11.435259,-14.340249,1
4.0,4,-2.79965,-6.8262763,-4.0797405,5.758562,11.435261,-14.340249,1
4.0,4,-2.79965,-6.8262763,-4.0797415,5.758563,11.435259,-14.340249,1
4.0,4,-2.79965,-6.8262763,-4.0797415,5.758563,11.435259,-14.340249,1
1.0,1,2.9529612,17.685509,-8.070547,-4.615637,-6.9362836,-4.8673463,1
1.0,1,2.9529612,17.685509,-8.070547,-4.615637,-6.9362836,-4.8673463,1
1.0,1,2.9529612,17.685509,-8.070547,-4.615637,-6.9362836,-4.8673463,1
1.0,1,2.9529612,17.685509,-8.070547,-4.615637,-6.9362836,-4.8673463,1
1.0,1,2.9529612,17.685509,-8.070547,-4.615637,-6.9362836,-4.8673463,1
1.0,1,2.9529612,17.685509,-8.070547,-4.615637,-6.9362836,-4.8673463,1
3.0,3,-6.8699613,-8.101154,-3.7381687,12.374478,3.5734534,-7.2487693,1
3.0,3,-6.8699613,-8.101154,-3.7381687,12.374478,3.5734534,-7.2487693,1
3.0,3,-6.8699613,-8.101154,-3.7381687,12.374478,3.5734534,-7.2487693,1
3.0,3,-6.8699613,-8.101154,-3.7381687,12.374478,3.5734534,-7.2487693,1
3.0,3,-6.8699613,-8.101154,-3.7381687,12.374478,3.5734534,-7.2487693,1
3.0,3,-6.8699613,-8.101154,-3.7381687,12.374478,3.5734534,-7.2487693,1
3.0,3,-4.305905,-6.1792684,-3.7564125,8.156244,6.9669666,-11.956419,1
3.0,3,-4.305905,-6.1792684,-3.7564125,8.156244,6.9669666,-11.956419,1
3.0,3,-4.305905,-6.1792684,-3.7564125,8.156244,6.9669666,-11.956419,1
3.0,3,-4.3059053,-6.1792684,-3.7564125,8.156244,6.9669666,-11.956419,1
3.0,3,-4.305905,-6.1792684,-3.7564125,8.156244,6.9669666,-11.956419,1
3.0,3,-4.305905,-6.1792684,-3.7564125,8.156244,6.9669666,-11.956419,1
5.0,5,-3.6926215,2.2504287,-1.3053073,0.77768075,-9.993607,24.197071,1
5.0,5,-3.6926215,2.2504287,-1.3053073,0.77768075,-9.993607,24.197071,1
5.0,5,-3.6926215,2.2504287,-1.3053073,0.77768075,-9.993607,24.197071,1
5.0,5,-3.6926215,2.2504287,-1.3053073,0.77768075,-9.993607,24.197071,1
5.0,5,-3.6926215,2.2504287,-1.3053073,0.77768075,-9.993607,24.197071,1
5.0,5,-3.6926215,2.2504287,-1.3053073,0.77768075,-9.993607,24.197071,1
3.0,3,-6.9114723,-7.587893,-4.465544,12.464537,3.069409,-6.963821,1
3.0,3,-6.9114723,-7.587893,-4.465544,12.464537,3.069409,-6.963821,1
3.0,3,-6.9114723,-7.587893,-4.465544,12.464537,3.069409,-6.963821,1
3.0,3,-6.9114723,-7.587893,-4.465544,12.464537,3.069409,-6.963821,1
3.0,3,-6.9114723,-7.587893,-4.465544,12.464537,3.069409,-6.963821,1
3.0,3,-6.9114723,-7.587893,-4.465544,12.464537,3.069409,-6.963821,1
1.0,1,3.1939237,17.396488,-8.076425,-4.718231,-6.807176,-5.0903935,1
1.0,1,3.1939237,17.396488,-8.076425,-4.718231,-6.807176,-5.0903935,1
1.0,1,3.1939237,17.396488,-8.076425,-4.718231,-6.807176,-5.0903935,1
1.0,1,3.1939237,17.396488,-8.076425,-4.718231,-6.807176,-5.0903935,1
1.0,1,3.1939237,17.396488,-8.076425,-4.718231,-6.807176,-5.0903935,1
1.0,1,3.1939237,17.396488,-8.076425,-4.718231,-6.807176,-5.0903935,1
3.0,3,-7.1420493,-8.254501,-3.477819,12.65906,3.1551883,-6.8281164,1
3.0,3,-7.1420493,-8.254501,-3.477819,12.65906,3.1551883,-6.8281164,1
3.0,3,-7.1420493,-8.254501,-3.477819,12.65906,3.1551883,-6.8281164,1
3.0,3,-7.1420493,-8.254501,-3.477819,12.65906,3.1551883,-6.8281164,1
3.0,3,-7.1420493,-8.254501,-3.477819,12.65906,3.1551883,-6.8281164,1
3.0,3,-7.1420493,-8.254501,-3.477819,12.65906,3.1551883,-6.8281164,1
0.0,0,14.863046,0.43096846,-6.057792,-6.7868667,-3.789981,-11.213987,1
0.0,0,14.863046,0.43096846,-6.057792,-6.7868667,-3.789981,-11.213987,1
0.0,0,14.863046,0.43096846,-6.057792,-6.7868667,-3.789981,-11.213987,1
0.0,0,14.863046,0.43096846,-6.057792,-6.7868667,-3.789981,-11.213987,1
0.0,0,14.863046,0.43096846,-6.057792,-6.7868667,-3.789981,-11.213987,1
0.0,0,14.863046,0.43096846,-6.057792,-6.7868667,-3.789981,-11.213987,1
1.0,1,3.0254524,17.586506,-8.220105,-4.589657,-6.8094697,-4.921946,1
1.0,1,3.0254524,17.586506,-8.220105,-4.589657,-6.8094697,-4.921946,1
1.0,1,3.0254524,17.586506,-8.220105,-4.589657,-6.8094697,-4.921946,1
1.0,1,3.0254524,17.586506,-8.220105,-4.589657,-6.8094697,-4.921946,1
1.0,1,3.0254524,17.586506,-8.220105,-4.589657,-6.8094697,-4.921946,1
1.0,1,3.0254524,17.586506,-8.220105,-4.589657,-6.8094697,-4.921946,1
2.0,2,-3.398792,-6.1750655,19.78955,-0.8070049,-4.467644,-6.566338,1
2.0,2,-3.398792,-6.175065,19.789549,-0.8070049,-4.467645,-6.566338,1
2.0,2,-3.3987916,-6.1750655,19.78955,-0.8070049,-4.467645,-6.566338,1
2.0,2,-3.398792,-6.1750655,19.78955,-0.8070049,-4.467644,-6.566338,1
2.0,2,-3.398792,-6.1750655,19.78955,-0.8070049,-4.467644,-6.566338,1
2.0,2,-3.3987918,-6.1750655,19.78955,-0.8070049,-4.4676447,-6.566338,1
3.0,3,-7.4207325,-8.402414,-4.012385,12.8523,3.4347444,-6.2772155,1
3.0,3,-7.4207325,-8.402414,-4.012385,12.8523,3.4347444,-6.2772155,1
3.0,3,-7.4207325,-8.402414,-4.012385,12.8523,3.4347444,-6.2772155,1
3.0,3,-7.4207325,-8.402414,-4.012385,12.8523,3.4347444,-6.2772155,1
3.0,3,-7.4207325,-8.402414,-4.012385,12.8523,3.4347444,-6.2772155,1
3.0,3,-7.4207325,-8.402414,-4.012385,12.8523,3.4347444,-6.2772155,1
2.0,2,-3.4035943,-6.177053,19.791473,-0.8043628,-4.464805,-6.5597377,1
2.0,2,-3.4035943,-6.177053,19.791473,-0.8043628,-4.464805,-6.5597377,1
2.0,2,-3.4035943,-6.177053,19.791473,-0.8043628,-4.464805,-6.5597377,1
2.0,2,-3.4035943,-6.177053,19.791473,-0.8043628,-4.464805,-6.5597377,1
2.0,2,-3.4035943,-6.177053,19.791473,-0.8043628,-4.464805,-6.5597377,1
2.0,2,-3.4035943,-6.177053,19.791473,-0.8043628,-4.464805,-6.5597377,1
3.0,3,-6.712838,-7.5107684,-3.8604856,11.900079,3.9297595,-7.8443274,1
3.0,3,-6.712861,-7.510794,-3.8605204,11.90009,3.929791,-7.844259,1
3.0,3,-6.7128525,-7.510794,-3.860519,11.90007,3.9298165,-7.844274,1
3.0,3,-6.7128277,-7.510778,-3.8605046,11.900046,3.9298239,-7.8443313,1
3.0,3,-6.7128277,-7.510778,-3.8605046,11.900046,3.9298239,-7.8443313,1
3.0,3,-6.712861,-7.510797,-3.8605146,11.900096,3.9297843,-7.844264,1
5.0,5,-3.7006032,2.2548742,-1.3363135,0.79919124,-9.958523,24.198208,1
5.0,5,-3.7006032,2.2548742,-1.3363135,0.79919124,-9.958523,24.198208,1
5.0,5,-3.7006032,2.2548742,-1.3363135,0.79919124,-9.958523,24.198208,1
5.0,5,-3.7006032,2.2548742,-1.3363135,0.79919124,-9.958523,24.198208,1
5.0,5,-3.7006032,2.2548742,-1.3363135,0.79919124,-9.958523,24.198208,1
5.0,5,-3.7006032,2.2548742,-1.3363135,0.79919124,-9.958523,24.198208,1
4.0,4,-2.961665,-8.058339,-5.7843146,4.9452567,14.558027,-12.634313,1
4.0,4,-2.961665,-8.058339,-5.7843146,4.9452567,14.558027,-12.634313,1
4.0,4,-2.961665,-8.058339,-5.7843146,4.9452567,14.558027,-12.634313,1
4.0,4,-2.961665,-8.058339,-5.7843146,4.9452567,14.558027,-12.634313,1
4.0,4,-2.961665,-8.058339,-5.7843146,4.9452567,14.558027,-12.634313,1
4.0,4,-2.961665,-8.058339,-5.7843146,4.9452567,14.558027,-12.634313,1
4.0,3,-5.4394608,-6.6223083,-2.861923,11.314228,2.9944727,-10.843457,0
4.0,3,-5.4394608,-6.6223083,-2.861923,11.314228,2.9944727,-10.843457,0
4.0,3,-5.4394608,-6.6223083,-2.861923,11.314228,2.9944727,-10.843457,0
4.0,3,-5.4394608,-6.6223083,-2.861923,11.314228,2.9944727,-10.843457,0
4.0,3,-5.4394608,-6.6223083,-2.861923,11.314228,2.9944727,-10.843457,0
4.0,3,-5.4394608,-6.6223083,-2.861923,11.314228,2.9944727,-10.843457,0
4.0,4,-2.9461153,-8.5282,-4.497381,4.372612,15.532825,-13.743386,1
4.0,4,-2.9461153,-8.5282,-4.497381,4.372612,15.532825,-13.743386,1
4.0,4,-2.9461153,-8.5282,-4.497381,4.372612,15.532825,-13.743386,1
4.0,4,-2.9461153,-8.5282,-4.497381,4.372612,15.532825,-13.743386,1
4.0,4,-2.9461153,-8.5282,-4.497381,4.372612,15.532825,-13.743386,1
4.0,4,-2.9461153,-8.5282,-4.497381,4.372612,15.532825,-13.743386,1
2.0,2,-3.3992035,-6.172317,19.795723,-0.8108611,-4.4684606,-6.5678353,1
2.0,2,-3.3992035,-6.172317,19.795723,-0.8108611,-4.4684606,-6.5678353,1
2.0,2,-3.3992035,-6.172317,19.795723,-0.8108611,-4.4684606,-6.5678353,1
2.0,2,-3.3992035,-6.172317,19.795723,-0.8108611,-4.4684606,-6.5678353,1
2.0,2,-3.3992035,-6.172317,19.795723,-0.8108611,-4.4684606,-6.5678353,1
2.0,2,-3.3992035,-6.172317,19.795723,-0.8108611,-4.4684606,-6.5678353,1
2.0,2,-3.3988101,-6.17298,19.772062,-0.797626,-4.4813776,-6.5514965,1
2.0,2,-3.3988101,-6.17298,19.772062,-0.797626,-4.4813776,-6.5514965,1
2.0,2,-3.3988101,-6.17298,19.772062,-0.797626,-4.4813776,-6.5514965,1
2.0,2,-3.3988101,-6.17298,19.772062,-0.797626,-4.4813776,-6.5514965,1
2.0,2,-3.3988101,-6.17298,19.772062,-0.797626,-4.4813776,-6.5514965,1
2.0,2,-3.3988101,-6.17298,19.772062,-0.797626,-4.4813776,-6.5514965,1
5.0,5,-3.6925466,2.2503698,-1.3599067,0.80796015,-9.969986,24.243505,1
5.0,5,-3.6925466,2.2503698,-1.3599067,0.80796015,-9.969986,24.243505,1
5.0,5,-3.6925466,2.2503698,-1.3599067,0.80796015,-9.969986,24.243505,1
5.0,5,-3.6925466,2.2503698,-1.3599067,0.80796015,-9.969986,24.243505,1
5.0,5,-3.6925466,2.2503698,-1.3599067,0.80796015,-9.969986,24.243505,1
5.0,5,-3.6925466,2.2503698,-1.3599067,0.80796015,-9.969986,24.243505,1
1.0,1,2.9675744,17.53739,-8.276328,-4.470251,-6.810005,-4.810395,1
1.0,1,2.9675744,17.53739,-8.276328,-4.470251,-6.810005,-4.810395,1
1.0,1,2.9675744,17.53739,-8.276328,-4.470251,-6.810005,-4.810395,1
1.0,1,2.9675744,17.53739,-8.276328,-4.470251,-6.810005,-4.810395,1
1.0,1,2.9675744,17.53739,-8.276328,-4.470251,-6.810005,-4.810395,1
1.0,1,2.9675744,17.53739,-8.276328,-4.470251,-6.810005,-4.810395,1
5.0,5,-3.738687,2.204434,-1.3672442,0.832533,-9.9534,24.319834,1
5.0,5,-3.738687,2.204434,-1.3672442,0.832533,-9.9534,24.319834,1
5.0,5,-3.738687,2.204434,-1.3672442,0.832533,-9.9534,24.319834,1
5.0,5,-3.738687,2.204434,-1.3672442,0.832533,-9.9534,24.319834,1
5.0,5,-3.738687,2.204434,-1.3672442,0.832533,-9.9534,24.319834,1
5.0,5,-3.738687,2.204434,-1.3672442,0.832533,-9.9534,24.319834,1
2.0,2,-3.3933847,-6.173267,19.79374,-0.8161452,-4.459161,-6.576803,1
2.0,2,-3.3933847,-6.173267,19.79374,-0.8161452,-4.459161,-6.576803,1
2.0,2,-3.3933847,-6.173267,19.79374,-0.8161452,-4.459161,-6.576803,1
