true_label,predicted_label
0,0
9,8
15,15
14,15
8,8
8,8
12,12
19,19
3,3
16,16
12,12
15,15
14,14
1,1
1,1
14,4
9,9
4,4
8,9
19,19
2,2
9,2
10,10
15,15
4,15
18,18
19,19
15,15
3,3
5,15
9,9
14,15
8,8
13,13
4,6
15,5
9,9
3,3
10,10
17,17
10,10
0,0
3,16
7,7
0,0
19,9
14,15
3,3
2,5
5,5
4,5
9,2
0,0
5,7
18,18
16,16
3,3
17,17
6,6
5,5
1,1
18,18
1,1
17,17
8,8
5,5
0,0
11,11
7,7
14,15
13,13
9,9
2,2
0,0
8,9
14,15
4,15
6,6
8,8
8,8
3,3
13,13
8,9
11,3
10,10
0,0
5,5
3,3
2,2
5,5
9,9
15,5
6,6
8,8
2,2
12,13
9,9
17,10
14,15
0,0
10,10
15,15
5,5
7,7
9,8
2,2
15,5
16,16
3,3
13,13
2,2
9,9
2,2
4,15
14,5
18,18
15,5
18,18
7,7
13,13
9,9
18,18
18,18
6,6
15,6
11,11
18,18
9,9
2,2
9,9
0,0
8,8
16,16
11,11
19,19
3,3
17,10
4,5
19,19
19,19
12,12
18,18
5,5
19,19
2,2
0,0
17,17
11,10
15,5
4,4
13,13
4,4
14,15
16,16
19,19
16,16
10,10
13,13
7,7
3,3
13,13
5,5
17,17
6,6
7,7
18,18
1,1
16,3
14,5
10,10
16,10
19,9
11,3
18,18
14,15
19,19
1,1
0,0
1,1
6,6
19,19
5,5
10,10
5,5
19,19
19,19
15,14
12,12
7,7
10,10
14,10
9,9
9,9
10,10
13,12
17,17
3,3
1,1
2,2
11,3
7,7
2,9
8,8
8,2
6,6
9,9
9,9
0,0
14,14
12,12
2,2
9,9
15,5
8,8
7,7
0,0
2,9
6,6
13,13
15,5
10,10
14,5
17,17
19,19
17,17
9,9
1,1
1,1
0,0
8,8
18,18
13,13
8,8
11,11
1,1
17,10
8,8
1,1
16,17
9,9
6,6
9,9
5,5
19,19
18,18
16,16
1,1
18,18
11,16
18,18
13,13
12,12
6,6
10,10
19,19
6,6
1,1
11,16
6,6
19,19
14,14
15,15
10,10
12,12
11,16
18,18
6,5
12,12
5,5
16,16
8,9
10,10
4,15
5,5
7,7
15,15
3,3
17,10
8,8
13,13
13,13
11,11
14,10
0,0
5,5
13,13
12,12
18,18
12,12
3,3
19,19
3,3
8,8
11,11
2,2
14,14
8,8
12,12
16,10
0,0
16,16
5,5
16,16
2,2
12,12
7,7
18,18
12,2
9,9
16,16
11,11
2,2
7,7
19,19
6,4
4,15
7,0
1,1
10,10
14,4
4,4
11,16
16,16
4,4
19,19
1,1
5,5
16,16
12,12
15,5
14,15
9,9
7,7
14,15
11,11
