true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,correct,prob_class_6
0.0,0,10.514262,-0.9415735,-2.952769,-2.9140365,-3.8348417,-1.6864353,1,
0.0,0,10.514245,-0.94148624,-2.9528227,-2.9141312,-3.8348904,-1.6863816,1,
0.0,0,10.51425,-0.94151056,-2.9528112,-2.914114,-3.8348894,-1.686363,1,
0.0,0,10.514251,-0.94151366,-2.95281,-2.914115,-3.8348875,-1.6863602,1,
0.0,0,10.514268,-0.9416137,-2.9527626,-2.9140315,-3.8348653,-1.6863359,1,
0.0,0,10.514247,-0.9414929,-2.952818,-2.9141266,-3.834884,-1.6863871,1,
2.0,2,0.070509166,-0.7723373,13.257677,-1.3367107,-2.3559265,0.12802154,1,
2.0,2,0.07050899,-0.77233756,13.257678,-1.3367109,-2.3559258,0.12802187,1,
2.0,2,0.07050845,-0.7723372,13.257678,-1.3367107,-2.3559258,0.12802179,1,
2.0,2,0.07050878,-0.7723372,13.257678,-1.3367109,-2.3559263,0.1280216,1,
2.0,2,0.07050866,-0.7723373,13.257678,-1.3367108,-2.3559256,0.12802163,1,
2.0,2,0.070508525,-0.7723372,13.257678,-1.3367109,-2.3559258,0.12802157,1,
3.0,3,-2.6609256,-1.742023,-2.538517,12.264323,-0.8282223,-1.1886272,1,
3.0,3,-2.6609251,-1.7420236,-2.538516,12.264322,-0.82822233,-1.1886268,1,
3.0,3,-2.6609254,-1.7420233,-2.5385168,12.264323,-0.8282223,-1.1886272,1,
3.0,3,-2.6609251,-1.742023,-2.5385168,12.264323,-0.8282222,-1.1886272,1,
3.0,3,-2.6609254,-1.7420233,-2.5385163,12.264322,-0.8282225,-1.1886274,1,
3.0,3,-2.6609256,-1.7420228,-2.5385172,12.264323,-0.82822245,-1.1886272,1,
2.0,2,-1.1712085,-0.5248115,13.445686,-1.0665526,-1.8829955,0.37307224,1,
2.0,2,-1.171209,-0.5248112,13.445686,-1.0665532,-1.8829951,0.37307227,1,
2.0,2,-1.1712092,-0.5248112,13.445686,-1.0665531,-1.8829949,0.37307233,1,
2.0,2,-1.1712091,-0.52481127,13.445686,-1.0665534,-1.8829949,0.37307233,1,
2.0,2,-1.1712092,-0.52481115,13.445686,-1.0665534,-1.8829949,0.37307215,1,
2.0,2,-1.1712089,-0.524811,13.445686,-1.0665532,-1.8829949,0.3730724,1,
3.0,3,-3.7484326,-2.8016691,0.7450124,11.616196,0.026547585,-0.5049048,1,
3.0,3,-3.7484324,-2.8016691,0.74501085,11.616196,0.026548188,-0.50490516,1,
3.0,3,-3.748432,-2.8016691,0.74501073,11.616196,0.026547305,-0.50490546,1,
3.0,3,-3.7484324,-2.8016691,0.74501085,11.616196,0.026548337,-0.50490576,1,
3.0,3,-3.7484322,-2.8016696,0.74500966,11.616196,0.026548099,-0.5049052,1,
3.0,3,-3.7484326,-2.8016691,0.74501014,11.616196,0.026547771,-0.50490564,1,
2.0,2,-3.1424422,0.1968021,12.846674,-1.3798083,-0.40169287,0.15011492,1,
2.0,2,-3.142442,0.19680198,12.846674,-1.3798082,-0.40169314,0.15011504,1,
2.0,2,-3.1424422,0.19680193,12.846674,-1.3798087,-0.4016927,0.15011501,1,
2.0,2,-3.1424422,0.19680206,12.846674,-1.3798084,-0.4016929,0.1501149,1,
2.0,2,-3.142442,0.19680184,12.846674,-1.3798083,-0.40169275,0.15011498,1,
2.0,2,-3.142442,0.19680224,12.846674,-1.3798083,-0.40169287,0.15011507,1,
2.0,2,-0.9985507,-1.0598006,13.58695,-0.73557127,-1.8114759,0.54303056,1,
